['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep5_opt0vr1.log']
2020-07-31 05:08:04.547251

Round   0, Devices participated 10, Average loss 2.299, Central accuracy on global test data 12.390, Local accuracy on global train data 11.006, Local accuracy on local train data 11.416
Round   1, Devices participated 10, Average loss 2.280, Central accuracy on global test data 10.998, Local accuracy on global train data 14.966, Local accuracy on local train data 15.604
Round   2, Devices participated 10, Average loss 2.187, Central accuracy on global test data 24.679, Local accuracy on global train data 22.163, Local accuracy on local train data 19.864
Round   3, Devices participated 10, Average loss 2.001, Central accuracy on global test data 28.185, Local accuracy on global train data 24.895, Local accuracy on local train data 25.808
Round   4, Devices participated 10, Average loss 1.928, Central accuracy on global test data 31.100, Local accuracy on global train data 27.173, Local accuracy on local train data 29.220
Round   5, Devices participated 10, Average loss 1.876, Central accuracy on global test data 35.166, Local accuracy on global train data 29.966, Local accuracy on local train data 31.764
Round   6, Devices participated 10, Average loss 1.825, Central accuracy on global test data 37.230, Local accuracy on global train data 32.729, Local accuracy on local train data 33.408
Round   7, Devices participated 10, Average loss 1.718, Central accuracy on global test data 40.795, Local accuracy on global train data 35.544, Local accuracy on local train data 37.436
Round   8, Devices participated 10, Average loss 1.662, Central accuracy on global test data 41.296, Local accuracy on global train data 35.471, Local accuracy on local train data 39.700
Round   9, Devices participated 10, Average loss 1.612, Central accuracy on global test data 43.389, Local accuracy on global train data 37.007, Local accuracy on local train data 41.292
Round  10, Devices participated 10, Average loss 1.530, Central accuracy on global test data 44.862, Local accuracy on global train data 38.906, Local accuracy on local train data 44.596
Round  11, Devices participated 10, Average loss 1.475, Central accuracy on global test data 45.503, Local accuracy on global train data 40.688, Local accuracy on local train data 47.308
Round  12, Devices participated 10, Average loss 1.428, Central accuracy on global test data 46.404, Local accuracy on global train data 42.009, Local accuracy on local train data 48.652
Round  13, Devices participated 10, Average loss 1.388, Central accuracy on global test data 47.216, Local accuracy on global train data 40.322, Local accuracy on local train data 50.100
Round  14, Devices participated 10, Average loss 1.291, Central accuracy on global test data 48.237, Local accuracy on global train data 43.213, Local accuracy on local train data 53.844
Round  15, Devices participated 10, Average loss 1.239, Central accuracy on global test data 48.688, Local accuracy on global train data 42.788, Local accuracy on local train data 56.356
Round  16, Devices participated 10, Average loss 1.201, Central accuracy on global test data 48.818, Local accuracy on global train data 43.892, Local accuracy on local train data 58.036
Round  17, Devices participated 10, Average loss 1.138, Central accuracy on global test data 49.469, Local accuracy on global train data 43.838, Local accuracy on local train data 60.172
Round  18, Devices participated 10, Average loss 1.112, Central accuracy on global test data 49.369, Local accuracy on global train data 43.015, Local accuracy on local train data 61.172
Round  19, Devices participated 10, Average loss 1.050, Central accuracy on global test data 50.381, Local accuracy on global train data 45.264, Local accuracy on local train data 64.620
Round  20, Devices participated 10, Average loss 1.043, Central accuracy on global test data 50.140, Local accuracy on global train data 45.681, Local accuracy on local train data 64.708
Round  21, Devices participated 10, Average loss 0.973, Central accuracy on global test data 50.721, Local accuracy on global train data 45.918, Local accuracy on local train data 67.208
Round  22, Devices participated 10, Average loss 0.986, Central accuracy on global test data 50.861, Local accuracy on global train data 47.231, Local accuracy on local train data 67.048
Round  23, Devices participated 10, Average loss 0.913, Central accuracy on global test data 51.182, Local accuracy on global train data 46.787, Local accuracy on local train data 69.452
Round  24, Devices participated 10, Average loss 0.876, Central accuracy on global test data 51.032, Local accuracy on global train data 48.154, Local accuracy on local train data 71.220
Round  25, Devices participated 10, Average loss 0.887, Central accuracy on global test data 50.451, Local accuracy on global train data 49.150, Local accuracy on local train data 70.636
Round  26, Devices participated 10, Average loss 0.867, Central accuracy on global test data 50.621, Local accuracy on global train data 48.958, Local accuracy on local train data 71.972
Round  27, Devices participated 10, Average loss 0.851, Central accuracy on global test data 50.270, Local accuracy on global train data 49.065, Local accuracy on local train data 72.428
Round  28, Devices participated 10, Average loss 0.863, Central accuracy on global test data 50.531, Local accuracy on global train data 49.309, Local accuracy on local train data 72.068
Round  29, Devices participated 10, Average loss 0.895, Central accuracy on global test data 49.710, Local accuracy on global train data 49.160, Local accuracy on local train data 70.480
Round  30, Devices participated 10, Average loss 0.867, Central accuracy on global test data 50.260, Local accuracy on global train data 49.707, Local accuracy on local train data 71.632
Round  31, Devices participated 10, Average loss 0.864, Central accuracy on global test data 50.431, Local accuracy on global train data 48.850, Local accuracy on local train data 71.596
