['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '0', '--vr_mode', '1', '--vr_scale', '0.01', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt0vr1_vrs001.log']
2020-08-01 01:12:59.309883

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.425, Local accuracy on global train data 9.272, Local accuracy on local train data 9.233
Round   1, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.455, Local accuracy on global train data 9.512, Local accuracy on local train data 9.127
Round   2, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.455, Local accuracy on global train data 9.326, Local accuracy on local train data 8.660
Round   3, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.515, Local accuracy on global train data 9.417, Local accuracy on local train data 9.627
Round   4, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.665, Local accuracy on global train data 9.695, Local accuracy on local train data 9.240
Round   5, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.675, Local accuracy on global train data 9.604, Local accuracy on local train data 9.727
Round   6, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.716, Local accuracy on global train data 9.675, Local accuracy on local train data 9.907
Round   7, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.726, Local accuracy on global train data 9.663, Local accuracy on local train data 9.487
Round   8, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.726, Local accuracy on global train data 9.536, Local accuracy on local train data 9.973
Round   9, Devices participated 10, Average loss 2.305, Central accuracy on global test data 9.726, Local accuracy on global train data 9.927, Local accuracy on local train data 9.247
Round  10, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.696, Local accuracy on global train data 9.888, Local accuracy on local train data 9.313
Round  11, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.756, Local accuracy on global train data 9.795, Local accuracy on local train data 9.667
Round  12, Devices participated 10, Average loss 2.302, Central accuracy on global test data 9.786, Local accuracy on global train data 9.722, Local accuracy on local train data 9.940
Round  13, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.776, Local accuracy on global train data 9.941, Local accuracy on local train data 9.300
Round  14, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.786, Local accuracy on global train data 10.183, Local accuracy on local train data 10.087
Round  15, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.906, Local accuracy on global train data 9.985, Local accuracy on local train data 9.800
Round  16, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.956, Local accuracy on global train data 9.973, Local accuracy on local train data 9.733
Round  17, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.966, Local accuracy on global train data 10.037, Local accuracy on local train data 9.787
Round  18, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.016, Local accuracy on global train data 10.127, Local accuracy on local train data 10.587
Round  19, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.016, Local accuracy on global train data 10.066, Local accuracy on local train data 10.507
