['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '0', '--vr_mode', '1', '--vr_scale', '0.5', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt0vr1_vrs05.log']
2020-08-01 01:13:00.341678

Round   0, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.627, Local accuracy on global train data 10.342, Local accuracy on local train data 10.420
Round   1, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.188, Local accuracy on global train data 11.130, Local accuracy on local train data 10.993
Round   2, Devices participated 10, Average loss 2.299, Central accuracy on global test data 13.011, Local accuracy on global train data 12.046, Local accuracy on local train data 12.140
Round   3, Devices participated 10, Average loss 2.293, Central accuracy on global test data 15.966, Local accuracy on global train data 15.396, Local accuracy on local train data 15.100
Round   4, Devices participated 10, Average loss 2.274, Central accuracy on global test data 14.673, Local accuracy on global train data 15.623, Local accuracy on local train data 17.300
Round   5, Devices participated 10, Average loss 2.217, Central accuracy on global test data 19.311, Local accuracy on global train data 18.989, Local accuracy on local train data 17.973
Round   6, Devices participated 10, Average loss 2.158, Central accuracy on global test data 23.838, Local accuracy on global train data 22.649, Local accuracy on local train data 21.547
Round   7, Devices participated 10, Average loss 2.062, Central accuracy on global test data 27.694, Local accuracy on global train data 24.646, Local accuracy on local train data 24.573
Round   8, Devices participated 10, Average loss 2.024, Central accuracy on global test data 29.257, Local accuracy on global train data 25.532, Local accuracy on local train data 25.913
Round   9, Devices participated 10, Average loss 1.972, Central accuracy on global test data 30.319, Local accuracy on global train data 27.463, Local accuracy on local train data 27.140
Round  10, Devices participated 10, Average loss 1.933, Central accuracy on global test data 30.719, Local accuracy on global train data 28.899, Local accuracy on local train data 29.673
Round  11, Devices participated 10, Average loss 1.909, Central accuracy on global test data 32.502, Local accuracy on global train data 29.688, Local accuracy on local train data 29.727
Round  12, Devices participated 10, Average loss 1.866, Central accuracy on global test data 34.425, Local accuracy on global train data 31.035, Local accuracy on local train data 32.647
Round  13, Devices participated 10, Average loss 1.812, Central accuracy on global test data 36.088, Local accuracy on global train data 32.112, Local accuracy on local train data 33.593
Round  14, Devices participated 10, Average loss 1.764, Central accuracy on global test data 37.760, Local accuracy on global train data 34.373, Local accuracy on local train data 36.200
Round  15, Devices participated 10, Average loss 1.750, Central accuracy on global test data 38.832, Local accuracy on global train data 35.840, Local accuracy on local train data 36.380
Round  16, Devices participated 10, Average loss 1.709, Central accuracy on global test data 39.493, Local accuracy on global train data 36.965, Local accuracy on local train data 37.887
Round  17, Devices participated 10, Average loss 1.660, Central accuracy on global test data 41.106, Local accuracy on global train data 37.595, Local accuracy on local train data 39.833
Round  18, Devices participated 10, Average loss 1.622, Central accuracy on global test data 42.218, Local accuracy on global train data 38.613, Local accuracy on local train data 40.653
Round  19, Devices participated 10, Average loss 1.592, Central accuracy on global test data 42.698, Local accuracy on global train data 39.893, Local accuracy on local train data 42.013
Round  20, Devices participated 10, Average loss 1.597, Central accuracy on global test data 43.560, Local accuracy on global train data 41.250, Local accuracy on local train data 42.100
Round  21, Devices participated 10, Average loss 1.572, Central accuracy on global test data 44.681, Local accuracy on global train data 41.016, Local accuracy on local train data 42.780
Round  22, Devices participated 10, Average loss 1.529, Central accuracy on global test data 44.631, Local accuracy on global train data 42.065, Local accuracy on local train data 45.007
Round  23, Devices participated 10, Average loss 1.498, Central accuracy on global test data 45.312, Local accuracy on global train data 41.892, Local accuracy on local train data 45.580
Round  24, Devices participated 10, Average loss 1.472, Central accuracy on global test data 46.334, Local accuracy on global train data 42.979, Local accuracy on local train data 46.113
Round  25, Devices participated 10, Average loss 1.465, Central accuracy on global test data 47.145, Local accuracy on global train data 43.264, Local accuracy on local train data 46.947
Round  26, Devices participated 10, Average loss 1.418, Central accuracy on global test data 47.817, Local accuracy on global train data 44.766, Local accuracy on local train data 49.273
Round  27, Devices participated 10, Average loss 1.418, Central accuracy on global test data 47.967, Local accuracy on global train data 44.893, Local accuracy on local train data 48.573
Round  28, Devices participated 10, Average loss 1.407, Central accuracy on global test data 48.538, Local accuracy on global train data 44.910, Local accuracy on local train data 48.753
Round  29, Devices participated 10, Average loss 1.392, Central accuracy on global test data 48.838, Local accuracy on global train data 45.701, Local accuracy on local train data 49.687
Round  30, Devices participated 10, Average loss 1.360, Central accuracy on global test data 48.498, Local accuracy on global train data 46.177, Local accuracy on local train data 50.993
Round  31, Devices participated 10, Average loss 1.341, Central accuracy on global test data 49.499, Local accuracy on global train data 46.914, Local accuracy on local train data 51.373
Round  32, Devices participated 10, Average loss 1.342, Central accuracy on global test data 50.691, Local accuracy on global train data 48.743, Local accuracy on local train data 51.507
Round  33, Devices participated 10, Average loss 1.299, Central accuracy on global test data 50.711, Local accuracy on global train data 47.559, Local accuracy on local train data 53.267
Round  34, Devices participated 10, Average loss 1.298, Central accuracy on global test data 51.352, Local accuracy on global train data 48.345, Local accuracy on local train data 53.580
Round  35, Devices participated 10, Average loss 1.263, Central accuracy on global test data 51.052, Local accuracy on global train data 49.026, Local accuracy on local train data 54.967
Round  36, Devices participated 10, Average loss 1.260, Central accuracy on global test data 52.183, Local accuracy on global train data 48.936, Local accuracy on local train data 54.720
Round  37, Devices participated 10, Average loss 1.229, Central accuracy on global test data 52.644, Local accuracy on global train data 50.269, Local accuracy on local train data 56.713
Round  38, Devices participated 10, Average loss 1.247, Central accuracy on global test data 52.784, Local accuracy on global train data 50.981, Local accuracy on local train data 55.287
Round  39, Devices participated 10, Average loss 1.204, Central accuracy on global test data 53.095, Local accuracy on global train data 50.498, Local accuracy on local train data 56.973
Round  40, Devices participated 10, Average loss 1.205, Central accuracy on global test data 53.826, Local accuracy on global train data 51.191, Local accuracy on local train data 57.473
Round  41, Devices participated 10, Average loss 1.169, Central accuracy on global test data 53.295, Local accuracy on global train data 51.887, Local accuracy on local train data 58.660
Round  42, Devices participated 10, Average loss 1.198, Central accuracy on global test data 53.435, Local accuracy on global train data 52.029, Local accuracy on local train data 57.807
Round  43, Devices participated 10, Average loss 1.137, Central accuracy on global test data 54.357, Local accuracy on global train data 52.720, Local accuracy on local train data 59.760
Round  44, Devices participated 10, Average loss 1.109, Central accuracy on global test data 54.738, Local accuracy on global train data 53.481, Local accuracy on local train data 61.173
