['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '1', '--vr_mode', '1', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep1_opt1vr1.log']
2020-07-31 05:08:01.135589

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.226, Local accuracy on global train data 10.181, Local accuracy on local train data 9.820
Round   1, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.988, Local accuracy on global train data 10.774, Local accuracy on local train data 10.260
Round   2, Devices participated 10, Average loss 2.303, Central accuracy on global test data 11.609, Local accuracy on global train data 10.735, Local accuracy on local train data 10.080
Round   3, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.749, Local accuracy on global train data 10.767, Local accuracy on local train data 11.020
Round   4, Devices participated 10, Average loss 2.301, Central accuracy on global test data 12.169, Local accuracy on global train data 11.895, Local accuracy on local train data 11.220
Round   5, Devices participated 10, Average loss 2.299, Central accuracy on global test data 13.111, Local accuracy on global train data 13.362, Local accuracy on local train data 11.760
Round   6, Devices participated 10, Average loss 2.299, Central accuracy on global test data 15.845, Local accuracy on global train data 14.893, Local accuracy on local train data 12.200
Round   7, Devices participated 10, Average loss 2.295, Central accuracy on global test data 18.440, Local accuracy on global train data 17.346, Local accuracy on local train data 15.400
Round   8, Devices participated 10, Average loss 2.292, Central accuracy on global test data 19.972, Local accuracy on global train data 18.298, Local accuracy on local train data 16.960
Round   9, Devices participated 10, Average loss 2.284, Central accuracy on global test data 18.450, Local accuracy on global train data 17.754, Local accuracy on local train data 17.800
Round  10, Devices participated 10, Average loss 2.267, Central accuracy on global test data 18.460, Local accuracy on global train data 17.712, Local accuracy on local train data 16.120
Round  11, Devices participated 10, Average loss 2.246, Central accuracy on global test data 19.872, Local accuracy on global train data 18.948, Local accuracy on local train data 17.180
Round  12, Devices participated 10, Average loss 2.225, Central accuracy on global test data 22.065, Local accuracy on global train data 20.234, Local accuracy on local train data 18.800
Round  13, Devices participated 10, Average loss 2.197, Central accuracy on global test data 23.347, Local accuracy on global train data 20.415, Local accuracy on local train data 20.620
Round  14, Devices participated 10, Average loss 2.159, Central accuracy on global test data 24.599, Local accuracy on global train data 21.750, Local accuracy on local train data 22.940
Round  15, Devices participated 10, Average loss 2.139, Central accuracy on global test data 25.230, Local accuracy on global train data 23.005, Local accuracy on local train data 22.460
Round  16, Devices participated 10, Average loss 2.122, Central accuracy on global test data 26.422, Local accuracy on global train data 21.985, Local accuracy on local train data 21.860
Round  17, Devices participated 10, Average loss 2.083, Central accuracy on global test data 25.220, Local accuracy on global train data 23.640, Local accuracy on local train data 24.100
Round  18, Devices participated 10, Average loss 2.066, Central accuracy on global test data 27.013, Local accuracy on global train data 24.705, Local accuracy on local train data 23.780
Round  19, Devices participated 10, Average loss 2.054, Central accuracy on global test data 27.634, Local accuracy on global train data 24.041, Local accuracy on local train data 24.060
Round  20, Devices participated 10, Average loss 2.045, Central accuracy on global test data 28.295, Local accuracy on global train data 25.420, Local accuracy on local train data 23.180
Round  21, Devices participated 10, Average loss 2.048, Central accuracy on global test data 27.234, Local accuracy on global train data 25.942, Local accuracy on local train data 24.300
Round  22, Devices participated 10, Average loss 2.024, Central accuracy on global test data 29.157, Local accuracy on global train data 26.350, Local accuracy on local train data 25.880
Round  23, Devices participated 10, Average loss 2.004, Central accuracy on global test data 28.856, Local accuracy on global train data 25.498, Local accuracy on local train data 26.700
Round  24, Devices participated 10, Average loss 2.004, Central accuracy on global test data 30.078, Local accuracy on global train data 26.472, Local accuracy on local train data 25.520
Round  25, Devices participated 10, Average loss 2.004, Central accuracy on global test data 30.449, Local accuracy on global train data 26.931, Local accuracy on local train data 26.740
Round  26, Devices participated 10, Average loss 1.980, Central accuracy on global test data 30.919, Local accuracy on global train data 27.266, Local accuracy on local train data 27.600
Round  27, Devices participated 10, Average loss 1.972, Central accuracy on global test data 31.000, Local accuracy on global train data 27.820, Local accuracy on local train data 27.300
Round  28, Devices participated 10, Average loss 1.976, Central accuracy on global test data 31.631, Local accuracy on global train data 28.372, Local accuracy on local train data 26.700
Round  29, Devices participated 10, Average loss 1.967, Central accuracy on global test data 32.612, Local accuracy on global train data 29.219, Local accuracy on local train data 27.800
Round  30, Devices participated 10, Average loss 1.957, Central accuracy on global test data 32.442, Local accuracy on global train data 29.238, Local accuracy on local train data 29.320
Round  31, Devices participated 10, Average loss 1.932, Central accuracy on global test data 32.923, Local accuracy on global train data 29.590, Local accuracy on local train data 30.360
Round  32, Devices participated 10, Average loss 1.938, Central accuracy on global test data 34.075, Local accuracy on global train data 30.828, Local accuracy on local train data 28.440
Round  33, Devices participated 10, Average loss 1.914, Central accuracy on global test data 34.305, Local accuracy on global train data 30.732, Local accuracy on local train data 30.640
Round  34, Devices participated 10, Average loss 1.912, Central accuracy on global test data 35.417, Local accuracy on global train data 31.399, Local accuracy on local train data 30.360
Round  35, Devices participated 10, Average loss 1.894, Central accuracy on global test data 34.756, Local accuracy on global train data 29.788, Local accuracy on local train data 30.660
Round  36, Devices participated 10, Average loss 1.896, Central accuracy on global test data 35.577, Local accuracy on global train data 33.066, Local accuracy on local train data 31.840
Round  37, Devices participated 10, Average loss 1.879, Central accuracy on global test data 36.298, Local accuracy on global train data 32.427, Local accuracy on local train data 31.980
Round  38, Devices participated 10, Average loss 1.876, Central accuracy on global test data 36.228, Local accuracy on global train data 33.757, Local accuracy on local train data 31.680
Round  39, Devices participated 10, Average loss 1.866, Central accuracy on global test data 37.280, Local accuracy on global train data 32.603, Local accuracy on local train data 32.140
Round  40, Devices participated 10, Average loss 1.846, Central accuracy on global test data 37.660, Local accuracy on global train data 33.948, Local accuracy on local train data 33.120
Round  41, Devices participated 10, Average loss 1.842, Central accuracy on global test data 37.750, Local accuracy on global train data 31.355, Local accuracy on local train data 34.080
Round  42, Devices participated 10, Average loss 1.815, Central accuracy on global test data 37.861, Local accuracy on global train data 33.953, Local accuracy on local train data 34.120
Round  43, Devices participated 10, Average loss 1.840, Central accuracy on global test data 39.243, Local accuracy on global train data 33.923, Local accuracy on local train data 34.020
Round  44, Devices participated 10, Average loss 1.800, Central accuracy on global test data 39.794, Local accuracy on global train data 34.202, Local accuracy on local train data 34.700
Round  45, Devices participated 10, Average loss 1.791, Central accuracy on global test data 39.804, Local accuracy on global train data 35.188, Local accuracy on local train data 34.760
Round  46, Devices participated 10, Average loss 1.775, Central accuracy on global test data 39.523, Local accuracy on global train data 35.376, Local accuracy on local train data 36.280
Round  47, Devices participated 10, Average loss 1.770, Central accuracy on global test data 40.685, Local accuracy on global train data 36.243, Local accuracy on local train data 35.280
Round  48, Devices participated 10, Average loss 1.772, Central accuracy on global test data 41.186, Local accuracy on global train data 36.987, Local accuracy on local train data 35.100
Round  49, Devices participated 10, Average loss 1.777, Central accuracy on global test data 41.176, Local accuracy on global train data 36.516, Local accuracy on local train data 35.220
Round  50, Devices participated 10, Average loss 1.776, Central accuracy on global test data 40.825, Local accuracy on global train data 37.097, Local accuracy on local train data 35.360
Round  51, Devices participated 10, Average loss 1.735, Central accuracy on global test data 41.757, Local accuracy on global train data 38.086, Local accuracy on local train data 37.420
Round  52, Devices participated 10, Average loss 1.740, Central accuracy on global test data 41.677, Local accuracy on global train data 36.963, Local accuracy on local train data 37.220
Round  53, Devices participated 10, Average loss 1.745, Central accuracy on global test data 41.897, Local accuracy on global train data 38.833, Local accuracy on local train data 36.740
Round  54, Devices participated 10, Average loss 1.741, Central accuracy on global test data 42.318, Local accuracy on global train data 37.124, Local accuracy on local train data 36.700
Round  55, Devices participated 10, Average loss 1.723, Central accuracy on global test data 42.989, Local accuracy on global train data 37.439, Local accuracy on local train data 36.600
Round  56, Devices participated 10, Average loss 1.714, Central accuracy on global test data 43.169, Local accuracy on global train data 38.062, Local accuracy on local train data 37.600
Round  57, Devices participated 10, Average loss 1.689, Central accuracy on global test data 43.209, Local accuracy on global train data 39.265, Local accuracy on local train data 38.360
Round  58, Devices participated 10, Average loss 1.708, Central accuracy on global test data 43.500, Local accuracy on global train data 40.444, Local accuracy on local train data 37.980
Round  59, Devices participated 10, Average loss 1.676, Central accuracy on global test data 42.358, Local accuracy on global train data 38.975, Local accuracy on local train data 39.080
Round  60, Devices participated 10, Average loss 1.705, Central accuracy on global test data 40.505, Local accuracy on global train data 37.275, Local accuracy on local train data 39.220
Round  61, Devices participated 10, Average loss 1.708, Central accuracy on global test data 44.431, Local accuracy on global train data 39.126, Local accuracy on local train data 37.620
Round  62, Devices participated 10, Average loss 1.674, Central accuracy on global test data 44.852, Local accuracy on global train data 40.710, Local accuracy on local train data 38.860
Round  63, Devices participated 10, Average loss 1.657, Central accuracy on global test data 44.782, Local accuracy on global train data 41.516, Local accuracy on local train data 38.960
Round  64, Devices participated 10, Average loss 1.659, Central accuracy on global test data 44.111, Local accuracy on global train data 40.908, Local accuracy on local train data 39.240
Round  65, Devices participated 10, Average loss 1.655, Central accuracy on global test data 44.631, Local accuracy on global train data 40.974, Local accuracy on local train data 40.160
Round  66, Devices participated 10, Average loss 1.725, Central accuracy on global test data 44.732, Local accuracy on global train data 40.610, Local accuracy on local train data 38.320
Round  67, Devices participated 10, Average loss 1.632, Central accuracy on global test data 45.112, Local accuracy on global train data 41.155, Local accuracy on local train data 41.420
Round  68, Devices participated 10, Average loss 1.630, Central accuracy on global test data 45.473, Local accuracy on global train data 41.672, Local accuracy on local train data 41.140
Round  69, Devices participated 10, Average loss 1.646, Central accuracy on global test data 45.683, Local accuracy on global train data 41.372, Local accuracy on local train data 40.260
Round  70, Devices participated 10, Average loss 1.773, Central accuracy on global test data 42.598, Local accuracy on global train data 40.054, Local accuracy on local train data 39.220
Round  71, Devices participated 10, Average loss 1.639, Central accuracy on global test data 45.944, Local accuracy on global train data 40.837, Local accuracy on local train data 40.120
Round  72, Devices participated 10, Average loss 1.631, Central accuracy on global test data 46.074, Local accuracy on global train data 42.151, Local accuracy on local train data 40.960
Round  73, Devices participated 10, Average loss 1.625, Central accuracy on global test data 45.853, Local accuracy on global train data 41.895, Local accuracy on local train data 40.660
Round  74, Devices participated 10, Average loss 1.648, Central accuracy on global test data 46.484, Local accuracy on global train data 42.483, Local accuracy on local train data 40.220
Round  75, Devices participated 10, Average loss 1.633, Central accuracy on global test data 46.074, Local accuracy on global train data 42.749, Local accuracy on local train data 40.600
Round  76, Devices participated 10, Average loss 1.811, Central accuracy on global test data 43.440, Local accuracy on global train data 40.608, Local accuracy on local train data 39.300
Round  77, Devices participated 10, Average loss 1.599, Central accuracy on global test data 46.705, Local accuracy on global train data 43.352, Local accuracy on local train data 42.060
Round  78, Devices participated 10, Average loss 1.591, Central accuracy on global test data 47.105, Local accuracy on global train data 44.111, Local accuracy on local train data 42.680
Round  79, Devices participated 10, Average loss 1.604, Central accuracy on global test data 47.346, Local accuracy on global train data 43.525, Local accuracy on local train data 41.540
Round  80, Devices participated 10, Average loss 1.591, Central accuracy on global test data 47.546, Local accuracy on global train data 45.510, Local accuracy on local train data 41.280
Round  81, Devices participated 10, Average loss 1.583, Central accuracy on global test data 47.666, Local accuracy on global train data 43.552, Local accuracy on local train data 42.440
Round  82, Devices participated 10, Average loss 1.580, Central accuracy on global test data 47.786, Local accuracy on global train data 44.863, Local accuracy on local train data 42.620
Round  83, Devices participated 10, Average loss 1.580, Central accuracy on global test data 47.947, Local accuracy on global train data 45.378, Local accuracy on local train data 42.380
Round  84, Devices participated 10, Average loss 1.562, Central accuracy on global test data 48.097, Local accuracy on global train data 44.094, Local accuracy on local train data 44.340
Round  85, Devices participated 10, Average loss 1.618, Central accuracy on global test data 47.837, Local accuracy on global train data 44.551, Local accuracy on local train data 42.480
Round  86, Devices participated 10, Average loss 1.572, Central accuracy on global test data 47.947, Local accuracy on global train data 43.127, Local accuracy on local train data 42.880
Round  87, Devices participated 10, Average loss 1.566, Central accuracy on global test data 48.548, Local accuracy on global train data 45.415, Local accuracy on local train data 44.240
Round  88, Devices participated 10, Average loss 1.558, Central accuracy on global test data 48.498, Local accuracy on global train data 45.442, Local accuracy on local train data 43.520
Round  89, Devices participated 10, Average loss 1.553, Central accuracy on global test data 48.317, Local accuracy on global train data 45.583, Local accuracy on local train data 42.880
Round  90, Devices participated 10, Average loss 1.552, Central accuracy on global test data 49.249, Local accuracy on global train data 46.521, Local accuracy on local train data 43.920
Round  91, Devices participated 10, Average loss 1.682, Central accuracy on global test data 48.327, Local accuracy on global train data 44.299, Local accuracy on local train data 42.640
Round  92, Devices participated 10, Average loss 1.541, Central accuracy on global test data 49.008, Local accuracy on global train data 46.199, Local accuracy on local train data 43.760
Round  93, Devices participated 10, Average loss 1.568, Central accuracy on global test data 49.099, Local accuracy on global train data 46.436, Local accuracy on local train data 43.960
Round  94, Devices participated 10, Average loss 1.550, Central accuracy on global test data 49.299, Local accuracy on global train data 46.218, Local accuracy on local train data 43.960
Round  95, Devices participated 10, Average loss 1.551, Central accuracy on global test data 49.669, Local accuracy on global train data 47.302, Local accuracy on local train data 44.120
Round  96, Devices participated 10, Average loss 1.541, Central accuracy on global test data 50.040, Local accuracy on global train data 47.087, Local accuracy on local train data 44.620
Round  97, Devices participated 10, Average loss 1.556, Central accuracy on global test data 49.930, Local accuracy on global train data 46.006, Local accuracy on local train data 45.340
Round  98, Devices participated 10, Average loss 1.538, Central accuracy on global test data 49.920, Local accuracy on global train data 46.892, Local accuracy on local train data 44.900
Round  99, Devices participated 10, Average loss 1.531, Central accuracy on global test data 50.080, Local accuracy on global train data 47.122, Local accuracy on local train data 45.060
Round 100, Devices participated 10, Average loss 1.530, Central accuracy on global test data 50.260, Local accuracy on global train data 48.293, Local accuracy on local train data 44.960
Round 101, Devices participated 10, Average loss 1.535, Central accuracy on global test data 50.230, Local accuracy on global train data 47.332, Local accuracy on local train data 44.720
Round 102, Devices participated 10, Average loss 1.530, Central accuracy on global test data 50.681, Local accuracy on global train data 47.468, Local accuracy on local train data 45.780
Round 103, Devices participated 10, Average loss 1.526, Central accuracy on global test data 50.721, Local accuracy on global train data 47.405, Local accuracy on local train data 45.200
Round 104, Devices participated 10, Average loss 1.520, Central accuracy on global test data 50.351, Local accuracy on global train data 47.124, Local accuracy on local train data 44.920
Round 105, Devices participated 10, Average loss 1.539, Central accuracy on global test data 50.561, Local accuracy on global train data 47.600, Local accuracy on local train data 44.560
Round 106, Devices participated 10, Average loss 1.524, Central accuracy on global test data 50.601, Local accuracy on global train data 47.041, Local accuracy on local train data 44.740
Round 107, Devices participated 10, Average loss 1.509, Central accuracy on global test data 50.771, Local accuracy on global train data 48.416, Local accuracy on local train data 45.800
Round 108, Devices participated 10, Average loss 1.507, Central accuracy on global test data 50.711, Local accuracy on global train data 47.905, Local accuracy on local train data 46.140
Round 109, Devices participated 10, Average loss 1.511, Central accuracy on global test data 50.481, Local accuracy on global train data 47.346, Local accuracy on local train data 45.980
Round 110, Devices participated 10, Average loss 1.544, Central accuracy on global test data 51.242, Local accuracy on global train data 48.049, Local accuracy on local train data 45.040
Round 111, Devices participated 10, Average loss 1.546, Central accuracy on global test data 50.811, Local accuracy on global train data 48.748, Local accuracy on local train data 45.340
Round 112, Devices participated 10, Average loss 1.478, Central accuracy on global test data 51.052, Local accuracy on global train data 48.176, Local accuracy on local train data 47.640
Round 113, Devices participated 10, Average loss 1.816, Central accuracy on global test data 44.671, Local accuracy on global train data 45.920, Local accuracy on local train data 43.480
Round 114, Devices participated 10, Average loss 1.553, Central accuracy on global test data 51.032, Local accuracy on global train data 47.056, Local accuracy on local train data 44.300
Round 115, Devices participated 10, Average loss 1.526, Central accuracy on global test data 51.242, Local accuracy on global train data 48.159, Local accuracy on local train data 45.380
Round 116, Devices participated 10, Average loss 1.492, Central accuracy on global test data 51.052, Local accuracy on global train data 47.966, Local accuracy on local train data 46.980
Round 117, Devices participated 10, Average loss 1.482, Central accuracy on global test data 51.683, Local accuracy on global train data 48.586, Local accuracy on local train data 47.040
Round 118, Devices participated 10, Average loss 1.792, Central accuracy on global test data 49.770, Local accuracy on global train data 46.633, Local accuracy on local train data 43.460
Round 119, Devices participated 10, Average loss 1.544, Central accuracy on global test data 51.512, Local accuracy on global train data 48.765, Local accuracy on local train data 45.480
Round 120, Devices participated 10, Average loss 1.500, Central accuracy on global test data 51.993, Local accuracy on global train data 49.561, Local accuracy on local train data 46.160
Round 121, Devices participated 10, Average loss 1.488, Central accuracy on global test data 51.963, Local accuracy on global train data 49.041, Local accuracy on local train data 47.100
Round 122, Devices participated 10, Average loss 1.499, Central accuracy on global test data 52.143, Local accuracy on global train data 49.307, Local accuracy on local train data 46.720
Round 123, Devices participated 10, Average loss 1.493, Central accuracy on global test data 52.013, Local accuracy on global train data 48.735, Local accuracy on local train data 46.900
Round 124, Devices participated 10, Average loss 1.760, Central accuracy on global test data 46.294, Local accuracy on global train data 44.722, Local accuracy on local train data 44.880
Round 125, Devices participated 10, Average loss 1.477, Central accuracy on global test data 52.294, Local accuracy on global train data 49.487, Local accuracy on local train data 47.140
Round 126, Devices participated 10, Average loss 1.463, Central accuracy on global test data 52.083, Local accuracy on global train data 49.937, Local accuracy on local train data 47.840
Round 127, Devices participated 10, Average loss 1.484, Central accuracy on global test data 52.434, Local accuracy on global train data 49.026, Local accuracy on local train data 46.560
Round 128, Devices participated 10, Average loss 1.471, Central accuracy on global test data 52.394, Local accuracy on global train data 49.253, Local accuracy on local train data 47.300
Round 129, Devices participated 10, Average loss 1.490, Central accuracy on global test data 52.244, Local accuracy on global train data 50.393, Local accuracy on local train data 47.480
Round 130, Devices participated 10, Average loss 1.462, Central accuracy on global test data 52.804, Local accuracy on global train data 49.260, Local accuracy on local train data 48.280
Round 131, Devices participated 10, Average loss 1.459, Central accuracy on global test data 52.214, Local accuracy on global train data 50.369, Local accuracy on local train data 47.760
Round 132, Devices participated 10, Average loss 1.480, Central accuracy on global test data 52.804, Local accuracy on global train data 49.331, Local accuracy on local train data 47.680
Round 133, Devices participated 10, Average loss 1.479, Central accuracy on global test data 52.825, Local accuracy on global train data 51.189, Local accuracy on local train data 47.040
Round 134, Devices participated 10, Average loss 1.439, Central accuracy on global test data 52.574, Local accuracy on global train data 50.452, Local accuracy on local train data 49.520
Round 135, Devices participated 10, Average loss 1.443, Central accuracy on global test data 52.794, Local accuracy on global train data 50.371, Local accuracy on local train data 49.200
