['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep1_opt0vr1.log']
2020-07-31 05:08:00.323849

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.266, Local accuracy on global train data 10.181, Local accuracy on local train data 9.820
Round   1, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.637, Local accuracy on global train data 10.850, Local accuracy on local train data 10.220
Round   2, Devices participated 10, Average loss 2.301, Central accuracy on global test data 13.602, Local accuracy on global train data 11.582, Local accuracy on local train data 10.900
Round   3, Devices participated 10, Average loss 2.297, Central accuracy on global test data 15.495, Local accuracy on global train data 15.415, Local accuracy on local train data 13.920
Round   4, Devices participated 10, Average loss 2.286, Central accuracy on global test data 13.922, Local accuracy on global train data 15.413, Local accuracy on local train data 15.680
Round   5, Devices participated 10, Average loss 2.251, Central accuracy on global test data 14.794, Local accuracy on global train data 15.845, Local accuracy on local train data 15.180
Round   6, Devices participated 10, Average loss 2.219, Central accuracy on global test data 20.393, Local accuracy on global train data 19.072, Local accuracy on local train data 18.120
Round   7, Devices participated 10, Average loss 2.146, Central accuracy on global test data 24.990, Local accuracy on global train data 21.108, Local accuracy on local train data 20.580
Round   8, Devices participated 10, Average loss 2.235, Central accuracy on global test data 27.294, Local accuracy on global train data 24.221, Local accuracy on local train data 20.620
Round   9, Devices participated 10, Average loss 2.072, Central accuracy on global test data 28.245, Local accuracy on global train data 24.060, Local accuracy on local train data 25.040
Round  10, Devices participated 10, Average loss 2.042, Central accuracy on global test data 26.993, Local accuracy on global train data 24.661, Local accuracy on local train data 25.240
Round  11, Devices participated 10, Average loss 2.019, Central accuracy on global test data 29.748, Local accuracy on global train data 26.731, Local accuracy on local train data 24.780
Round  12, Devices participated 10, Average loss 2.006, Central accuracy on global test data 29.657, Local accuracy on global train data 26.206, Local accuracy on local train data 27.160
Round  13, Devices participated 10, Average loss 1.987, Central accuracy on global test data 31.190, Local accuracy on global train data 27.537, Local accuracy on local train data 27.800
Round  14, Devices participated 10, Average loss 1.946, Central accuracy on global test data 32.462, Local accuracy on global train data 29.739, Local accuracy on local train data 28.920
Round  15, Devices participated 10, Average loss 1.934, Central accuracy on global test data 34.325, Local accuracy on global train data 31.133, Local accuracy on local train data 28.900
Round  16, Devices participated 10, Average loss 1.889, Central accuracy on global test data 34.445, Local accuracy on global train data 30.796, Local accuracy on local train data 31.720
Round  17, Devices participated 10, Average loss 1.846, Central accuracy on global test data 36.548, Local accuracy on global train data 34.932, Local accuracy on local train data 33.340
Round  18, Devices participated 10, Average loss 1.795, Central accuracy on global test data 38.442, Local accuracy on global train data 35.498, Local accuracy on local train data 34.460
Round  19, Devices participated 10, Average loss 1.776, Central accuracy on global test data 39.583, Local accuracy on global train data 35.674, Local accuracy on local train data 35.640
Round  20, Devices participated 10, Average loss 1.784, Central accuracy on global test data 40.224, Local accuracy on global train data 36.736, Local accuracy on local train data 35.300
Round  21, Devices participated 10, Average loss 1.760, Central accuracy on global test data 40.124, Local accuracy on global train data 37.742, Local accuracy on local train data 35.440
Round  22, Devices participated 10, Average loss 1.738, Central accuracy on global test data 41.206, Local accuracy on global train data 38.823, Local accuracy on local train data 37.660
Round  23, Devices participated 10, Average loss 1.696, Central accuracy on global test data 41.977, Local accuracy on global train data 39.429, Local accuracy on local train data 39.320
Round  24, Devices participated 10, Average loss 1.662, Central accuracy on global test data 42.468, Local accuracy on global train data 38.438, Local accuracy on local train data 38.780
Round  25, Devices participated 10, Average loss 1.651, Central accuracy on global test data 42.328, Local accuracy on global train data 39.617, Local accuracy on local train data 40.060
Round  26, Devices participated 10, Average loss 1.635, Central accuracy on global test data 43.900, Local accuracy on global train data 39.170, Local accuracy on local train data 41.120
Round  27, Devices participated 10, Average loss 1.614, Central accuracy on global test data 45.242, Local accuracy on global train data 41.533, Local accuracy on local train data 41.460
Round  28, Devices participated 10, Average loss 1.620, Central accuracy on global test data 45.312, Local accuracy on global train data 42.031, Local accuracy on local train data 40.020
Round  29, Devices participated 10, Average loss 1.593, Central accuracy on global test data 45.423, Local accuracy on global train data 43.552, Local accuracy on local train data 41.480
Round  30, Devices participated 10, Average loss 1.589, Central accuracy on global test data 45.944, Local accuracy on global train data 43.765, Local accuracy on local train data 41.880
Round  31, Devices participated 10, Average loss 1.572, Central accuracy on global test data 46.284, Local accuracy on global train data 44.253, Local accuracy on local train data 43.120
Round  32, Devices participated 10, Average loss 1.580, Central accuracy on global test data 47.135, Local accuracy on global train data 44.714, Local accuracy on local train data 42.820
Round  33, Devices participated 10, Average loss 1.535, Central accuracy on global test data 47.656, Local accuracy on global train data 44.377, Local accuracy on local train data 43.920
Round  34, Devices participated 10, Average loss 1.551, Central accuracy on global test data 47.556, Local accuracy on global train data 45.852, Local accuracy on local train data 44.140
Round  35, Devices participated 10, Average loss 1.510, Central accuracy on global test data 48.177, Local accuracy on global train data 45.710, Local accuracy on local train data 45.240
Round  36, Devices participated 10, Average loss 1.530, Central accuracy on global test data 48.898, Local accuracy on global train data 45.999, Local accuracy on local train data 44.600
Round  37, Devices participated 10, Average loss 1.499, Central accuracy on global test data 48.818, Local accuracy on global train data 47.214, Local accuracy on local train data 46.120
Round  38, Devices participated 10, Average loss 1.520, Central accuracy on global test data 49.249, Local accuracy on global train data 47.747, Local accuracy on local train data 44.500
Round  39, Devices participated 10, Average loss 1.493, Central accuracy on global test data 49.740, Local accuracy on global train data 48.396, Local accuracy on local train data 46.020
Round  40, Devices participated 10, Average loss 1.485, Central accuracy on global test data 50.160, Local accuracy on global train data 48.811, Local accuracy on local train data 45.900
Round  41, Devices participated 10, Average loss 1.458, Central accuracy on global test data 50.381, Local accuracy on global train data 48.230, Local accuracy on local train data 48.240
Round  42, Devices participated 10, Average loss 1.481, Central accuracy on global test data 50.110, Local accuracy on global train data 49.031, Local accuracy on local train data 46.400
Round  43, Devices participated 10, Average loss 1.456, Central accuracy on global test data 50.691, Local accuracy on global train data 49.087, Local accuracy on local train data 48.400
Round  44, Devices participated 10, Average loss 1.442, Central accuracy on global test data 50.982, Local accuracy on global train data 49.492, Local accuracy on local train data 48.900
Round  45, Devices participated 10, Average loss 1.440, Central accuracy on global test data 51.532, Local accuracy on global train data 49.700, Local accuracy on local train data 47.980
Round  46, Devices participated 10, Average loss 1.415, Central accuracy on global test data 51.372, Local accuracy on global train data 51.011, Local accuracy on local train data 49.240
