['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '1', '--vr_mode', '2', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep5_opt1vr2.log']
2020-08-01 04:09:49.199572

Round   0, Devices participated 10, Average loss 2.299, Central accuracy on global test data 12.740, Local accuracy on global train data 11.006, Local accuracy on local train data 11.416
Round   1, Devices participated 10, Average loss 2.281, Central accuracy on global test data 19.621, Local accuracy on global train data 14.834, Local accuracy on local train data 15.504
Round   2, Devices participated 10, Average loss 2.176, Central accuracy on global test data 25.210, Local accuracy on global train data 21.987, Local accuracy on local train data 20.568
Round   3, Devices participated 10, Average loss 2.034, Central accuracy on global test data 27.444, Local accuracy on global train data 23.687, Local accuracy on local train data 25.068
Round   4, Devices participated 10, Average loss 1.981, Central accuracy on global test data 29.978, Local accuracy on global train data 25.391, Local accuracy on local train data 27.816
Round   5, Devices participated 10, Average loss 1.960, Central accuracy on global test data 32.232, Local accuracy on global train data 27.471, Local accuracy on local train data 28.696
Round   6, Devices participated 10, Average loss 1.939, Central accuracy on global test data 32.792, Local accuracy on global train data 28.320, Local accuracy on local train data 29.620
Round   7, Devices participated 10, Average loss 1.873, Central accuracy on global test data 35.176, Local accuracy on global train data 29.211, Local accuracy on local train data 31.820
Round   8, Devices participated 10, Average loss 1.861, Central accuracy on global test data 36.488, Local accuracy on global train data 30.242, Local accuracy on local train data 32.480
Round   9, Devices participated 10, Average loss 1.819, Central accuracy on global test data 38.001, Local accuracy on global train data 32.014, Local accuracy on local train data 33.824
Round  10, Devices participated 10, Average loss 1.755, Central accuracy on global test data 39.904, Local accuracy on global train data 35.413, Local accuracy on local train data 36.636
Round  11, Devices participated 10, Average loss 1.713, Central accuracy on global test data 40.415, Local accuracy on global train data 34.844, Local accuracy on local train data 38.476
Round  12, Devices participated 10, Average loss 1.720, Central accuracy on global test data 41.346, Local accuracy on global train data 35.244, Local accuracy on local train data 38.512
Round  13, Devices participated 10, Average loss 1.711, Central accuracy on global test data 42.728, Local accuracy on global train data 35.996, Local accuracy on local train data 38.432
Round  14, Devices participated 10, Average loss 1.662, Central accuracy on global test data 43.119, Local accuracy on global train data 37.156, Local accuracy on local train data 39.924
Round  15, Devices participated 10, Average loss 1.663, Central accuracy on global test data 43.049, Local accuracy on global train data 37.507, Local accuracy on local train data 40.768
Round  16, Devices participated 10, Average loss 1.676, Central accuracy on global test data 43.950, Local accuracy on global train data 37.166, Local accuracy on local train data 39.656
Round  17, Devices participated 10, Average loss 1.648, Central accuracy on global test data 43.319, Local accuracy on global train data 37.173, Local accuracy on local train data 41.052
Round  18, Devices participated 10, Average loss 1.623, Central accuracy on global test data 43.950, Local accuracy on global train data 37.625, Local accuracy on local train data 41.416
Round  19, Devices participated 10, Average loss 1.622, Central accuracy on global test data 44.471, Local accuracy on global train data 36.887, Local accuracy on local train data 42.084
Round  20, Devices participated 10, Average loss 1.642, Central accuracy on global test data 45.262, Local accuracy on global train data 38.879, Local accuracy on local train data 41.576
Round  21, Devices participated 10, Average loss 1.633, Central accuracy on global test data 45.052, Local accuracy on global train data 39.177, Local accuracy on local train data 41.372
Round  22, Devices participated 10, Average loss 1.633, Central accuracy on global test data 45.062, Local accuracy on global train data 39.890, Local accuracy on local train data 41.696
Round  23, Devices participated 10, Average loss 1.633, Central accuracy on global test data 45.323, Local accuracy on global train data 39.885, Local accuracy on local train data 41.564
Round  24, Devices participated 10, Average loss 1.601, Central accuracy on global test data 46.585, Local accuracy on global train data 39.023, Local accuracy on local train data 42.628
Round  25, Devices participated 10, Average loss 1.588, Central accuracy on global test data 45.753, Local accuracy on global train data 39.756, Local accuracy on local train data 43.064
Round  26, Devices participated 10, Average loss 1.569, Central accuracy on global test data 46.054, Local accuracy on global train data 37.976, Local accuracy on local train data 43.864
Round  27, Devices participated 10, Average loss 1.577, Central accuracy on global test data 46.725, Local accuracy on global train data 41.794, Local accuracy on local train data 43.436
Round  28, Devices participated 10, Average loss 1.592, Central accuracy on global test data 46.214, Local accuracy on global train data 39.429, Local accuracy on local train data 42.764
