['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '1', '--vr_mode', '0', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep1_opt1vr0.log']
2020-07-31 05:08:00.662258

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.226, Local accuracy on global train data 10.181, Local accuracy on local train data 9.820
Round   1, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.988, Local accuracy on global train data 10.774, Local accuracy on local train data 10.260
Round   2, Devices participated 10, Average loss 2.303, Central accuracy on global test data 11.609, Local accuracy on global train data 10.549, Local accuracy on local train data 9.980
Round   3, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.999, Local accuracy on global train data 10.823, Local accuracy on local train data 10.980
Round   4, Devices participated 10, Average loss 2.300, Central accuracy on global test data 12.190, Local accuracy on global train data 12.043, Local accuracy on local train data 11.540
Round   5, Devices participated 10, Average loss 2.298, Central accuracy on global test data 14.563, Local accuracy on global train data 13.782, Local accuracy on local train data 13.360
Round   6, Devices participated 10, Average loss 2.297, Central accuracy on global test data 19.962, Local accuracy on global train data 17.004, Local accuracy on local train data 14.800
Round   7, Devices participated 10, Average loss 2.292, Central accuracy on global test data 19.932, Local accuracy on global train data 16.865, Local accuracy on local train data 17.700
Round   8, Devices participated 10, Average loss 2.286, Central accuracy on global test data 17.608, Local accuracy on global train data 17.302, Local accuracy on local train data 17.380
Round   9, Devices participated 10, Average loss 2.272, Central accuracy on global test data 14.974, Local accuracy on global train data 15.281, Local accuracy on local train data 17.740
Round  10, Devices participated 10, Average loss 2.247, Central accuracy on global test data 17.798, Local accuracy on global train data 17.183, Local accuracy on local train data 15.520
Round  11, Devices participated 10, Average loss 2.224, Central accuracy on global test data 19.712, Local accuracy on global train data 18.948, Local accuracy on local train data 17.020
Round  12, Devices participated 10, Average loss 2.201, Central accuracy on global test data 23.488, Local accuracy on global train data 20.522, Local accuracy on local train data 19.540
Round  13, Devices participated 10, Average loss 2.164, Central accuracy on global test data 23.988, Local accuracy on global train data 20.557, Local accuracy on local train data 21.800
Round  14, Devices participated 10, Average loss 2.123, Central accuracy on global test data 25.711, Local accuracy on global train data 22.451, Local accuracy on local train data 23.200
Round  15, Devices participated 10, Average loss 2.111, Central accuracy on global test data 25.671, Local accuracy on global train data 22.942, Local accuracy on local train data 22.740
Round  16, Devices participated 10, Average loss 2.096, Central accuracy on global test data 27.404, Local accuracy on global train data 22.148, Local accuracy on local train data 22.700
Round  17, Devices participated 10, Average loss 2.061, Central accuracy on global test data 26.312, Local accuracy on global train data 24.106, Local accuracy on local train data 24.320
Round  18, Devices participated 10, Average loss 2.045, Central accuracy on global test data 27.975, Local accuracy on global train data 24.890, Local accuracy on local train data 24.720
Round  19, Devices participated 10, Average loss 2.037, Central accuracy on global test data 28.265, Local accuracy on global train data 24.900, Local accuracy on local train data 24.920
Round  20, Devices participated 10, Average loss 2.022, Central accuracy on global test data 29.337, Local accuracy on global train data 26.414, Local accuracy on local train data 23.980
Round  21, Devices participated 10, Average loss 2.029, Central accuracy on global test data 28.496, Local accuracy on global train data 26.323, Local accuracy on local train data 24.860
Round  22, Devices participated 10, Average loss 2.001, Central accuracy on global test data 30.018, Local accuracy on global train data 26.931, Local accuracy on local train data 27.040
Round  23, Devices participated 10, Average loss 1.979, Central accuracy on global test data 29.988, Local accuracy on global train data 25.664, Local accuracy on local train data 27.520
Round  24, Devices participated 10, Average loss 1.980, Central accuracy on global test data 31.100, Local accuracy on global train data 27.400, Local accuracy on local train data 26.780
Round  25, Devices participated 10, Average loss 1.975, Central accuracy on global test data 31.160, Local accuracy on global train data 27.307, Local accuracy on local train data 27.760
Round  26, Devices participated 10, Average loss 1.958, Central accuracy on global test data 31.540, Local accuracy on global train data 28.174, Local accuracy on local train data 28.640
Round  27, Devices participated 10, Average loss 1.946, Central accuracy on global test data 31.741, Local accuracy on global train data 28.662, Local accuracy on local train data 28.800
Round  28, Devices participated 10, Average loss 1.949, Central accuracy on global test data 32.542, Local accuracy on global train data 28.872, Local accuracy on local train data 27.740
Round  29, Devices participated 10, Average loss 1.940, Central accuracy on global test data 33.554, Local accuracy on global train data 29.324, Local accuracy on local train data 28.920
Round  30, Devices participated 10, Average loss 1.932, Central accuracy on global test data 32.913, Local accuracy on global train data 29.700, Local accuracy on local train data 30.280
Round  31, Devices participated 10, Average loss 1.912, Central accuracy on global test data 33.403, Local accuracy on global train data 29.836, Local accuracy on local train data 31.600
Round  32, Devices participated 10, Average loss 1.906, Central accuracy on global test data 34.816, Local accuracy on global train data 31.143, Local accuracy on local train data 29.400
Round  33, Devices participated 10, Average loss 1.885, Central accuracy on global test data 34.706, Local accuracy on global train data 30.864, Local accuracy on local train data 31.100
Round  34, Devices participated 10, Average loss 1.876, Central accuracy on global test data 36.078, Local accuracy on global train data 31.636, Local accuracy on local train data 31.420
Round  35, Devices participated 10, Average loss 1.865, Central accuracy on global test data 35.847, Local accuracy on global train data 30.588, Local accuracy on local train data 32.220
