['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '2', '--vr_mode', '1', '--vr_scale', '0.1', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_vrs01.log']
2020-08-01 01:13:03.119989

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.415, Local accuracy on global train data 9.824, Local accuracy on local train data 9.733
Round   1, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.716, Local accuracy on global train data 10.063, Local accuracy on local train data 9.387
Round   2, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.836, Local accuracy on global train data 9.678, Local accuracy on local train data 9.027
Round   3, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.086, Local accuracy on global train data 9.888, Local accuracy on local train data 10.407
Round   4, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.587, Local accuracy on global train data 10.403, Local accuracy on local train data 10.587
Round   5, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.757, Local accuracy on global train data 10.417, Local accuracy on local train data 10.127
Round   6, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.998, Local accuracy on global train data 11.179, Local accuracy on local train data 10.900
Round   7, Devices participated 10, Average loss 2.302, Central accuracy on global test data 11.088, Local accuracy on global train data 10.645, Local accuracy on local train data 10.833
Round   8, Devices participated 10, Average loss 2.302, Central accuracy on global test data 11.238, Local accuracy on global train data 10.527, Local accuracy on local train data 10.800
Round   9, Devices participated 10, Average loss 2.303, Central accuracy on global test data 11.298, Local accuracy on global train data 10.872, Local accuracy on local train data 10.213
Round  10, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.248, Local accuracy on global train data 10.825, Local accuracy on local train data 10.593
Round  11, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.458, Local accuracy on global train data 11.152, Local accuracy on local train data 11.340
Round  12, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.488, Local accuracy on global train data 10.967, Local accuracy on local train data 12.253
Round  13, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.528, Local accuracy on global train data 11.287, Local accuracy on local train data 10.973
Round  14, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.569, Local accuracy on global train data 11.299, Local accuracy on local train data 11.733
Round  15, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.659, Local accuracy on global train data 11.323, Local accuracy on local train data 11.493
Round  16, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.879, Local accuracy on global train data 11.931, Local accuracy on local train data 11.687
Round  17, Devices participated 10, Average loss 2.300, Central accuracy on global test data 12.190, Local accuracy on global train data 11.702, Local accuracy on local train data 12.087
Round  18, Devices participated 10, Average loss 2.299, Central accuracy on global test data 12.460, Local accuracy on global train data 11.880, Local accuracy on local train data 11.907
Round  19, Devices participated 10, Average loss 2.299, Central accuracy on global test data 12.760, Local accuracy on global train data 12.031, Local accuracy on local train data 12.273
Round  20, Devices participated 10, Average loss 2.299, Central accuracy on global test data 13.051, Local accuracy on global train data 12.520, Local accuracy on local train data 12.400
Round  21, Devices participated 10, Average loss 2.299, Central accuracy on global test data 13.331, Local accuracy on global train data 13.015, Local accuracy on local train data 12.620
Round  22, Devices participated 10, Average loss 2.298, Central accuracy on global test data 13.742, Local accuracy on global train data 13.206, Local accuracy on local train data 13.420
Round  23, Devices participated 10, Average loss 2.298, Central accuracy on global test data 14.473, Local accuracy on global train data 14.514, Local accuracy on local train data 14.300
Round  24, Devices participated 10, Average loss 2.298, Central accuracy on global test data 15.254, Local accuracy on global train data 15.054, Local accuracy on local train data 14.420
Round  25, Devices participated 10, Average loss 2.297, Central accuracy on global test data 16.306, Local accuracy on global train data 15.608, Local accuracy on local train data 15.600
Round  26, Devices participated 10, Average loss 2.296, Central accuracy on global test data 17.548, Local accuracy on global train data 17.231, Local accuracy on local train data 17.000
Round  27, Devices participated 10, Average loss 2.296, Central accuracy on global test data 19.040, Local accuracy on global train data 18.171, Local accuracy on local train data 17.287
Round  28, Devices participated 10, Average loss 2.295, Central accuracy on global test data 20.302, Local accuracy on global train data 18.728, Local accuracy on local train data 18.927
Round  29, Devices participated 10, Average loss 2.295, Central accuracy on global test data 20.633, Local accuracy on global train data 18.657, Local accuracy on local train data 19.533
Round  30, Devices participated 10, Average loss 2.294, Central accuracy on global test data 21.084, Local accuracy on global train data 20.237, Local accuracy on local train data 20.707
Round  31, Devices participated 10, Average loss 2.292, Central accuracy on global test data 21.394, Local accuracy on global train data 19.971, Local accuracy on local train data 21.673
Round  32, Devices participated 10, Average loss 2.291, Central accuracy on global test data 21.625, Local accuracy on global train data 20.544, Local accuracy on local train data 21.693
Round  33, Devices participated 10, Average loss 2.289, Central accuracy on global test data 21.474, Local accuracy on global train data 20.142, Local accuracy on local train data 22.213
Round  34, Devices participated 10, Average loss 2.288, Central accuracy on global test data 21.244, Local accuracy on global train data 19.531, Local accuracy on local train data 21.580
Round  35, Devices participated 10, Average loss 2.286, Central accuracy on global test data 20.873, Local accuracy on global train data 19.453, Local accuracy on local train data 21.527
Round  36, Devices participated 10, Average loss 2.283, Central accuracy on global test data 20.503, Local accuracy on global train data 19.197, Local accuracy on local train data 20.693
Round  37, Devices participated 10, Average loss 2.279, Central accuracy on global test data 19.862, Local accuracy on global train data 18.157, Local accuracy on local train data 20.840
Round  38, Devices participated 10, Average loss 2.279, Central accuracy on global test data 19.621, Local accuracy on global train data 18.252, Local accuracy on local train data 18.927
Round  39, Devices participated 10, Average loss 2.274, Central accuracy on global test data 18.970, Local accuracy on global train data 17.668, Local accuracy on local train data 18.713
Round  40, Devices participated 10, Average loss 2.270, Central accuracy on global test data 18.179, Local accuracy on global train data 16.899, Local accuracy on local train data 18.713
Round  41, Devices participated 10, Average loss 2.263, Central accuracy on global test data 18.079, Local accuracy on global train data 17.368, Local accuracy on local train data 18.940
Round  42, Devices participated 10, Average loss 2.262, Central accuracy on global test data 17.758, Local accuracy on global train data 17.549, Local accuracy on local train data 17.760
Round  43, Devices participated 10, Average loss 2.251, Central accuracy on global test data 17.548, Local accuracy on global train data 16.721, Local accuracy on local train data 18.087
Round  44, Devices participated 10, Average loss 2.248, Central accuracy on global test data 17.428, Local accuracy on global train data 17.339, Local accuracy on local train data 16.640
Round  45, Devices participated 10, Average loss 2.235, Central accuracy on global test data 17.438, Local accuracy on global train data 16.709, Local accuracy on local train data 18.180
Round  46, Devices participated 10, Average loss 2.232, Central accuracy on global test data 17.829, Local accuracy on global train data 17.644, Local accuracy on local train data 18.180
Round  47, Devices participated 10, Average loss 2.226, Central accuracy on global test data 17.989, Local accuracy on global train data 17.495, Local accuracy on local train data 18.413
Round  48, Devices participated 10, Average loss 2.225, Central accuracy on global test data 18.610, Local accuracy on global train data 18.811, Local accuracy on local train data 18.233
Round  49, Devices participated 10, Average loss 2.211, Central accuracy on global test data 18.750, Local accuracy on global train data 18.984, Local accuracy on local train data 19.580
