['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '2', '--vr_mode', '0', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt2vr0.log']
2020-07-31 05:08:03.759290

Round   0, Devices participated 10, Average loss 2.301, Central accuracy on global test data 9.415, Local accuracy on global train data 10.740, Local accuracy on local train data 10.733
Round   1, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.078, Local accuracy on global train data 11.226, Local accuracy on local train data 10.680
Round   2, Devices participated 10, Average loss 2.297, Central accuracy on global test data 13.682, Local accuracy on global train data 12.136, Local accuracy on local train data 12.160
Round   3, Devices participated 10, Average loss 2.290, Central accuracy on global test data 15.254, Local accuracy on global train data 15.122, Local accuracy on local train data 15.433
Round   4, Devices participated 10, Average loss 2.263, Central accuracy on global test data 13.682, Local accuracy on global train data 15.835, Local accuracy on local train data 16.287
Round   5, Devices participated 10, Average loss 2.209, Central accuracy on global test data 14.223, Local accuracy on global train data 20.347, Local accuracy on local train data 17.947
Round   6, Devices participated 10, Average loss 2.169, Central accuracy on global test data 15.865, Local accuracy on global train data 22.129, Local accuracy on local train data 20.620
Round   7, Devices participated 10, Average loss 2.106, Central accuracy on global test data 19.812, Local accuracy on global train data 22.898, Local accuracy on local train data 22.473
Round   8, Devices participated 10, Average loss 2.088, Central accuracy on global test data 25.030, Local accuracy on global train data 22.917, Local accuracy on local train data 23.120
Round   9, Devices participated 10, Average loss 2.042, Central accuracy on global test data 26.903, Local accuracy on global train data 25.283, Local accuracy on local train data 24.207
Round  10, Devices participated 10, Average loss 2.015, Central accuracy on global test data 28.215, Local accuracy on global train data 25.657, Local accuracy on local train data 26.113
Round  11, Devices participated 10, Average loss 1.998, Central accuracy on global test data 28.996, Local accuracy on global train data 26.152, Local accuracy on local train data 26.073
Round  12, Devices participated 10, Average loss 1.974, Central accuracy on global test data 29.347, Local accuracy on global train data 26.938, Local accuracy on local train data 28.047
Round  13, Devices participated 10, Average loss 1.941, Central accuracy on global test data 30.038, Local accuracy on global train data 26.973, Local accuracy on local train data 28.787
Round  14, Devices participated 10, Average loss 1.911, Central accuracy on global test data 31.320, Local accuracy on global train data 28.921, Local accuracy on local train data 30.267
Round  15, Devices participated 10, Average loss 1.907, Central accuracy on global test data 32.472, Local accuracy on global train data 30.322, Local accuracy on local train data 29.940
Round  16, Devices participated 10, Average loss 1.873, Central accuracy on global test data 33.784, Local accuracy on global train data 29.980, Local accuracy on local train data 31.380
Round  17, Devices participated 10, Average loss 1.843, Central accuracy on global test data 34.826, Local accuracy on global train data 31.467, Local accuracy on local train data 33.133
Round  18, Devices participated 10, Average loss 1.806, Central accuracy on global test data 36.068, Local accuracy on global train data 32.058, Local accuracy on local train data 34.100
Round  19, Devices participated 10, Average loss 1.782, Central accuracy on global test data 37.099, Local accuracy on global train data 32.766, Local accuracy on local train data 35.500
Round  20, Devices participated 10, Average loss 1.774, Central accuracy on global test data 38.582, Local accuracy on global train data 35.188, Local accuracy on local train data 35.533
Round  21, Devices participated 10, Average loss 1.755, Central accuracy on global test data 39.123, Local accuracy on global train data 34.348, Local accuracy on local train data 35.853
Round  22, Devices participated 10, Average loss 1.717, Central accuracy on global test data 39.704, Local accuracy on global train data 35.781, Local accuracy on local train data 37.933
Round  23, Devices participated 10, Average loss 1.677, Central accuracy on global test data 40.345, Local accuracy on global train data 36.248, Local accuracy on local train data 39.427
Round  24, Devices participated 10, Average loss 1.659, Central accuracy on global test data 41.036, Local accuracy on global train data 36.992, Local accuracy on local train data 39.267
Round  25, Devices participated 10, Average loss 1.642, Central accuracy on global test data 41.456, Local accuracy on global train data 37.588, Local accuracy on local train data 40.300
Round  26, Devices participated 10, Average loss 1.604, Central accuracy on global test data 42.328, Local accuracy on global train data 38.052, Local accuracy on local train data 42.213
Round  27, Devices participated 10, Average loss 1.593, Central accuracy on global test data 43.159, Local accuracy on global train data 38.030, Local accuracy on local train data 41.947
Round  28, Devices participated 10, Average loss 1.579, Central accuracy on global test data 43.460, Local accuracy on global train data 39.084, Local accuracy on local train data 41.987
Round  29, Devices participated 10, Average loss 1.571, Central accuracy on global test data 44.091, Local accuracy on global train data 39.358, Local accuracy on local train data 42.787
Round  30, Devices participated 10, Average loss 1.538, Central accuracy on global test data 44.922, Local accuracy on global train data 39.558, Local accuracy on local train data 44.767
Round  31, Devices participated 10, Average loss 1.511, Central accuracy on global test data 45.423, Local accuracy on global train data 40.071, Local accuracy on local train data 44.900
Round  32, Devices participated 10, Average loss 1.511, Central accuracy on global test data 46.014, Local accuracy on global train data 41.028, Local accuracy on local train data 45.060
Round  33, Devices participated 10, Average loss 1.470, Central accuracy on global test data 46.544, Local accuracy on global train data 40.593, Local accuracy on local train data 46.600
Round  34, Devices participated 10, Average loss 1.461, Central accuracy on global test data 46.725, Local accuracy on global train data 41.240, Local accuracy on local train data 47.880
Round  35, Devices participated 10, Average loss 1.426, Central accuracy on global test data 47.175, Local accuracy on global train data 41.553, Local accuracy on local train data 48.347
Round  36, Devices participated 10, Average loss 1.429, Central accuracy on global test data 47.516, Local accuracy on global train data 41.489, Local accuracy on local train data 48.513
Round  37, Devices participated 10, Average loss 1.396, Central accuracy on global test data 47.927, Local accuracy on global train data 43.289, Local accuracy on local train data 49.400
Round  38, Devices participated 10, Average loss 1.420, Central accuracy on global test data 48.047, Local accuracy on global train data 43.765, Local accuracy on local train data 48.447
Round  39, Devices participated 10, Average loss 1.355, Central accuracy on global test data 48.458, Local accuracy on global train data 41.765, Local accuracy on local train data 51.087
Round  40, Devices participated 10, Average loss 1.376, Central accuracy on global test data 48.558, Local accuracy on global train data 43.496, Local accuracy on local train data 50.567
Round  41, Devices participated 10, Average loss 1.333, Central accuracy on global test data 48.928, Local accuracy on global train data 44.141, Local accuracy on local train data 52.647
Round  42, Devices participated 10, Average loss 1.349, Central accuracy on global test data 49.058, Local accuracy on global train data 44.250, Local accuracy on local train data 51.727
Round  43, Devices participated 10, Average loss 1.298, Central accuracy on global test data 49.129, Local accuracy on global train data 44.553, Local accuracy on local train data 53.460
Round  44, Devices participated 10, Average loss 1.264, Central accuracy on global test data 49.579, Local accuracy on global train data 45.391, Local accuracy on local train data 54.707
Round  45, Devices participated 10, Average loss 1.242, Central accuracy on global test data 49.890, Local accuracy on global train data 44.517, Local accuracy on local train data 55.847
