['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '2', '--vr_mode', '1', '--vr_scale', '0.05', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_vrs005.log']
2020-08-01 01:13:02.917660

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.445, Local accuracy on global train data 9.446, Local accuracy on local train data 9.340
Round   1, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.525, Local accuracy on global train data 9.780, Local accuracy on local train data 9.153
Round   2, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.625, Local accuracy on global train data 9.390, Local accuracy on local train data 8.827
Round   3, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.716, Local accuracy on global train data 9.639, Local accuracy on local train data 9.900
Round   4, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.016, Local accuracy on global train data 10.200, Local accuracy on local train data 9.920
Round   5, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.076, Local accuracy on global train data 10.010, Local accuracy on local train data 9.880
Round   6, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.046, Local accuracy on global train data 10.496, Local accuracy on local train data 10.213
Round   7, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.086, Local accuracy on global train data 10.310, Local accuracy on local train data 10.300
Round   8, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.136, Local accuracy on global train data 10.056, Local accuracy on local train data 10.360
Round   9, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.196, Local accuracy on global train data 10.488, Local accuracy on local train data 9.887
Round  10, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.246, Local accuracy on global train data 10.427, Local accuracy on local train data 9.773
Round  11, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.286, Local accuracy on global train data 10.547, Local accuracy on local train data 10.640
Round  12, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.367, Local accuracy on global train data 10.464, Local accuracy on local train data 11.293
Round  13, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.437, Local accuracy on global train data 10.659, Local accuracy on local train data 9.813
Round  14, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.517, Local accuracy on global train data 10.674, Local accuracy on local train data 10.847
Round  15, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.617, Local accuracy on global train data 10.881, Local accuracy on local train data 10.653
Round  16, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.707, Local accuracy on global train data 11.023, Local accuracy on local train data 10.780
