['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '1', '--vr_mode', '1', '--vr_scale', '0.01', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt1vr1_vrs001.log']
2020-08-01 01:13:00.823770

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.435, Local accuracy on global train data 9.272, Local accuracy on local train data 9.233
Round   1, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.405, Local accuracy on global train data 9.514, Local accuracy on local train data 9.107
Round   2, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.415, Local accuracy on global train data 9.302, Local accuracy on local train data 8.627
Round   3, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.455, Local accuracy on global train data 9.343, Local accuracy on local train data 9.593
Round   4, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.575, Local accuracy on global train data 9.651, Local accuracy on local train data 9.147
Round   5, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.575, Local accuracy on global train data 9.473, Local accuracy on local train data 9.680
Round   6, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.635, Local accuracy on global train data 9.597, Local accuracy on local train data 9.813
Round   7, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.615, Local accuracy on global train data 9.463, Local accuracy on local train data 9.393
Round   8, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.495, Local accuracy on global train data 9.377, Local accuracy on local train data 9.880
Round   9, Devices participated 10, Average loss 2.305, Central accuracy on global test data 9.535, Local accuracy on global train data 9.717, Local accuracy on local train data 9.247
Round  10, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.465, Local accuracy on global train data 9.697, Local accuracy on local train data 9.300
Round  11, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.565, Local accuracy on global train data 9.658, Local accuracy on local train data 9.513
Round  12, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.575, Local accuracy on global train data 9.570, Local accuracy on local train data 9.767
Round  13, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.555, Local accuracy on global train data 9.805, Local accuracy on local train data 9.180
Round  14, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.515, Local accuracy on global train data 9.937, Local accuracy on local train data 10.013
Round  15, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.595, Local accuracy on global train data 9.790, Local accuracy on local train data 9.680
Round  16, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.585, Local accuracy on global train data 9.758, Local accuracy on local train data 9.453
Round  17, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.665, Local accuracy on global train data 9.719, Local accuracy on local train data 9.640
Round  18, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.706, Local accuracy on global train data 9.768, Local accuracy on local train data 10.307
Round  19, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.696, Local accuracy on global train data 9.722, Local accuracy on local train data 10.273
Round  20, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.655, Local accuracy on global train data 9.722, Local accuracy on local train data 9.820
Round  21, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.726, Local accuracy on global train data 9.897, Local accuracy on local train data 10.053
Round  22, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.806, Local accuracy on global train data 9.644, Local accuracy on local train data 9.980
Round  23, Devices participated 10, Average loss 2.303, Central accuracy on global test data 9.846, Local accuracy on global train data 10.044, Local accuracy on local train data 9.653
Round  24, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.896, Local accuracy on global train data 10.098, Local accuracy on local train data 9.773
