['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '0', '--vr_mode', '0', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep5_opt0vr0.log']
2020-07-31 05:08:04.192411

Round   0, Devices participated 10, Average loss 2.299, Central accuracy on global test data 12.390, Local accuracy on global train data 11.006, Local accuracy on local train data 11.416
Round   1, Devices participated 10, Average loss 2.280, Central accuracy on global test data 10.998, Local accuracy on global train data 14.966, Local accuracy on local train data 15.604
Round   2, Devices participated 10, Average loss 2.185, Central accuracy on global test data 24.730, Local accuracy on global train data 22.634, Local accuracy on local train data 19.944
Round   3, Devices participated 10, Average loss 1.999, Central accuracy on global test data 28.165, Local accuracy on global train data 24.822, Local accuracy on local train data 25.952
Round   4, Devices participated 10, Average loss 1.918, Central accuracy on global test data 31.120, Local accuracy on global train data 26.978, Local accuracy on local train data 29.636
Round   5, Devices participated 10, Average loss 1.842, Central accuracy on global test data 35.877, Local accuracy on global train data 30.994, Local accuracy on local train data 32.992
Round   6, Devices participated 10, Average loss 1.778, Central accuracy on global test data 38.091, Local accuracy on global train data 33.135, Local accuracy on local train data 34.828
Round   7, Devices participated 10, Average loss 1.679, Central accuracy on global test data 41.436, Local accuracy on global train data 36.096, Local accuracy on local train data 39.076
Round   8, Devices participated 10, Average loss 1.611, Central accuracy on global test data 41.777, Local accuracy on global train data 35.376, Local accuracy on local train data 41.476
Round   9, Devices participated 10, Average loss 1.540, Central accuracy on global test data 43.460, Local accuracy on global train data 37.500, Local accuracy on local train data 43.992
Round  10, Devices participated 10, Average loss 1.456, Central accuracy on global test data 45.182, Local accuracy on global train data 40.078, Local accuracy on local train data 47.532
Round  11, Devices participated 10, Average loss 1.395, Central accuracy on global test data 46.024, Local accuracy on global train data 41.206, Local accuracy on local train data 49.968
Round  12, Devices participated 10, Average loss 1.299, Central accuracy on global test data 46.384, Local accuracy on global train data 40.684, Local accuracy on local train data 53.524
Round  13, Devices participated 10, Average loss 1.205, Central accuracy on global test data 46.274, Local accuracy on global train data 40.261, Local accuracy on local train data 57.224
Round  14, Devices participated 10, Average loss 1.180, Central accuracy on global test data 47.887, Local accuracy on global train data 42.507, Local accuracy on local train data 57.884
Round  15, Devices participated 10, Average loss 1.087, Central accuracy on global test data 48.297, Local accuracy on global train data 42.300, Local accuracy on local train data 62.056
Round  16, Devices participated 10, Average loss 1.001, Central accuracy on global test data 48.478, Local accuracy on global train data 42.737, Local accuracy on local train data 65.732
Round  17, Devices participated 10, Average loss 0.951, Central accuracy on global test data 49.169, Local accuracy on global train data 44.382, Local accuracy on local train data 67.736
Round  18, Devices participated 10, Average loss 0.912, Central accuracy on global test data 49.509, Local accuracy on global train data 43.508, Local accuracy on local train data 69.344
Round  19, Devices participated 10, Average loss 0.863, Central accuracy on global test data 50.381, Local accuracy on global train data 46.165, Local accuracy on local train data 72.112
Round  20, Devices participated 10, Average loss 0.767, Central accuracy on global test data 49.659, Local accuracy on global train data 45.735, Local accuracy on local train data 75.224
Round  21, Devices participated 10, Average loss 0.825, Central accuracy on global test data 49.920, Local accuracy on global train data 46.116, Local accuracy on local train data 73.784
Round  22, Devices participated 10, Average loss 0.701, Central accuracy on global test data 49.780, Local accuracy on global train data 47.854, Local accuracy on local train data 77.628
Round  23, Devices participated 10, Average loss 0.691, Central accuracy on global test data 50.491, Local accuracy on global train data 47.578, Local accuracy on local train data 78.404
Round  24, Devices participated 10, Average loss 0.696, Central accuracy on global test data 50.441, Local accuracy on global train data 47.783, Local accuracy on local train data 78.224
Round  25, Devices participated 10, Average loss 0.687, Central accuracy on global test data 50.771, Local accuracy on global train data 48.655, Local accuracy on local train data 78.196
Round  26, Devices participated 10, Average loss 0.678, Central accuracy on global test data 49.980, Local accuracy on global train data 48.777, Local accuracy on local train data 78.868
Round  27, Devices participated 10, Average loss 0.648, Central accuracy on global test data 50.711, Local accuracy on global train data 49.375, Local accuracy on local train data 79.984
Round  28, Devices participated 10, Average loss 0.684, Central accuracy on global test data 50.721, Local accuracy on global train data 49.390, Local accuracy on local train data 78.504
Round  29, Devices participated 10, Average loss 0.640, Central accuracy on global test data 50.881, Local accuracy on global train data 50.044, Local accuracy on local train data 79.828
Round  30, Devices participated 10, Average loss 0.627, Central accuracy on global test data 51.282, Local accuracy on global train data 50.291, Local accuracy on local train data 80.632
Round  31, Devices participated 10, Average loss 0.667, Central accuracy on global test data 51.192, Local accuracy on global train data 50.271, Local accuracy on local train data 79.104
Round  32, Devices participated 10, Average loss 0.602, Central accuracy on global test data 51.292, Local accuracy on global train data 51.123, Local accuracy on local train data 81.188
Round  33, Devices participated 10, Average loss 0.588, Central accuracy on global test data 51.723, Local accuracy on global train data 51.970, Local accuracy on local train data 81.780
Round  34, Devices participated 10, Average loss 0.594, Central accuracy on global test data 51.472, Local accuracy on global train data 51.641, Local accuracy on local train data 81.928
Round  35, Devices participated 10, Average loss 0.542, Central accuracy on global test data 51.542, Local accuracy on global train data 52.026, Local accuracy on local train data 83.424
Round  36, Devices participated 10, Average loss 0.545, Central accuracy on global test data 51.292, Local accuracy on global train data 52.607, Local accuracy on local train data 83.236
Round  37, Devices participated 10, Average loss 0.522, Central accuracy on global test data 51.723, Local accuracy on global train data 52.827, Local accuracy on local train data 83.796
Round  38, Devices participated 10, Average loss 0.637, Central accuracy on global test data 52.133, Local accuracy on global train data 52.798, Local accuracy on local train data 79.872
Round  39, Devices participated 10, Average loss 0.484, Central accuracy on global test data 52.274, Local accuracy on global train data 53.669, Local accuracy on local train data 84.968
Round  40, Devices participated 10, Average loss 0.628, Central accuracy on global test data 52.013, Local accuracy on global train data 53.347, Local accuracy on local train data 80.760
Round  41, Devices participated 10, Average loss 0.485, Central accuracy on global test data 52.143, Local accuracy on global train data 54.080, Local accuracy on local train data 85.060
Round  42, Devices participated 10, Average loss 0.565, Central accuracy on global test data 52.754, Local accuracy on global train data 54.236, Local accuracy on local train data 82.656
