['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '0.5', '--opt_mode', '1', '--vr_mode', '1', '--vr_scale', '0.1', '--screendump_file', 'log/perf500_fedlisa_cifariid_lenet5_bs50ep3_opt1vr1_vrs01.log']
2020-08-01 01:13:01.506127

Round   0, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.575, Local accuracy on global train data 9.824, Local accuracy on local train data 9.733
Round   1, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.056, Local accuracy on global train data 10.215, Local accuracy on local train data 9.687
Round   2, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.036, Local accuracy on global train data 9.866, Local accuracy on local train data 9.247
Round   3, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.387, Local accuracy on global train data 10.061, Local accuracy on local train data 10.700
Round   4, Devices participated 10, Average loss 2.303, Central accuracy on global test data 11.058, Local accuracy on global train data 10.483, Local accuracy on local train data 10.847
Round   5, Devices participated 10, Average loss 2.302, Central accuracy on global test data 11.038, Local accuracy on global train data 10.725, Local accuracy on local train data 10.753
Round   6, Devices participated 10, Average loss 2.302, Central accuracy on global test data 11.208, Local accuracy on global train data 11.309, Local accuracy on local train data 11.020
Round   7, Devices participated 10, Average loss 2.302, Central accuracy on global test data 11.318, Local accuracy on global train data 10.884, Local accuracy on local train data 11.047
Round   8, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.178, Local accuracy on global train data 10.798, Local accuracy on local train data 11.060
Round   9, Devices participated 10, Average loss 2.302, Central accuracy on global test data 11.198, Local accuracy on global train data 11.030, Local accuracy on local train data 10.520
Round  10, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.088, Local accuracy on global train data 10.989, Local accuracy on local train data 10.847
Round  11, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.418, Local accuracy on global train data 11.272, Local accuracy on local train data 10.960
Round  12, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.508, Local accuracy on global train data 11.245, Local accuracy on local train data 12.260
Round  13, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.659, Local accuracy on global train data 11.501, Local accuracy on local train data 11.107
Round  14, Devices participated 10, Average loss 2.299, Central accuracy on global test data 11.609, Local accuracy on global train data 11.719, Local accuracy on local train data 12.033
Round  15, Devices participated 10, Average loss 2.299, Central accuracy on global test data 12.190, Local accuracy on global train data 11.807, Local accuracy on local train data 11.593
Round  16, Devices participated 10, Average loss 2.299, Central accuracy on global test data 13.081, Local accuracy on global train data 12.734, Local accuracy on local train data 11.913
Round  17, Devices participated 10, Average loss 2.298, Central accuracy on global test data 13.782, Local accuracy on global train data 12.883, Local accuracy on local train data 12.787
Round  18, Devices participated 10, Average loss 2.297, Central accuracy on global test data 14.734, Local accuracy on global train data 13.999, Local accuracy on local train data 14.287
Round  19, Devices participated 10, Average loss 2.296, Central accuracy on global test data 15.966, Local accuracy on global train data 15.474, Local accuracy on local train data 15.293
Round  20, Devices participated 10, Average loss 2.296, Central accuracy on global test data 17.448, Local accuracy on global train data 16.702, Local accuracy on local train data 16.587
Round  21, Devices participated 10, Average loss 2.295, Central accuracy on global test data 18.440, Local accuracy on global train data 18.313, Local accuracy on local train data 17.300
Round  22, Devices participated 10, Average loss 2.293, Central accuracy on global test data 19.631, Local accuracy on global train data 18.887, Local accuracy on local train data 19.587
Round  23, Devices participated 10, Average loss 2.291, Central accuracy on global test data 20.573, Local accuracy on global train data 19.761, Local accuracy on local train data 20.847
Round  24, Devices participated 10, Average loss 2.289, Central accuracy on global test data 20.903, Local accuracy on global train data 20.103, Local accuracy on local train data 20.327
Round  25, Devices participated 10, Average loss 2.287, Central accuracy on global test data 20.543, Local accuracy on global train data 19.661, Local accuracy on local train data 20.920
Round  26, Devices participated 10, Average loss 2.283, Central accuracy on global test data 20.032, Local accuracy on global train data 19.897, Local accuracy on local train data 20.380
Round  27, Devices participated 10, Average loss 2.280, Central accuracy on global test data 19.621, Local accuracy on global train data 19.214, Local accuracy on local train data 19.840
Round  28, Devices participated 10, Average loss 2.277, Central accuracy on global test data 19.812, Local accuracy on global train data 19.241, Local accuracy on local train data 18.820
Round  29, Devices participated 10, Average loss 2.269, Central accuracy on global test data 18.720, Local accuracy on global train data 18.352, Local accuracy on local train data 18.780
Round  30, Devices participated 10, Average loss 2.265, Central accuracy on global test data 18.950, Local accuracy on global train data 18.584, Local accuracy on local train data 18.387
Round  31, Devices participated 10, Average loss 2.249, Central accuracy on global test data 18.720, Local accuracy on global train data 18.315, Local accuracy on local train data 18.907
Round  32, Devices participated 10, Average loss 2.244, Central accuracy on global test data 18.540, Local accuracy on global train data 17.937, Local accuracy on local train data 18.960
Round  33, Devices participated 10, Average loss 2.230, Central accuracy on global test data 18.860, Local accuracy on global train data 18.408, Local accuracy on local train data 19.007
Round  34, Devices participated 10, Average loss 2.221, Central accuracy on global test data 19.391, Local accuracy on global train data 19.009, Local accuracy on local train data 19.767
Round  35, Devices participated 10, Average loss 2.206, Central accuracy on global test data 20.002, Local accuracy on global train data 19.185, Local accuracy on local train data 20.160
Round  36, Devices participated 10, Average loss 2.201, Central accuracy on global test data 20.463, Local accuracy on global train data 20.134, Local accuracy on local train data 20.447
Round  37, Devices participated 10, Average loss 2.184, Central accuracy on global test data 21.334, Local accuracy on global train data 20.566, Local accuracy on local train data 21.580
Round  38, Devices participated 10, Average loss 2.186, Central accuracy on global test data 22.696, Local accuracy on global train data 21.448, Local accuracy on local train data 20.867
Round  39, Devices participated 10, Average loss 2.166, Central accuracy on global test data 23.788, Local accuracy on global train data 22.175, Local accuracy on local train data 22.607
Round  40, Devices participated 10, Average loss 2.156, Central accuracy on global test data 24.048, Local accuracy on global train data 22.336, Local accuracy on local train data 23.207
Round  41, Devices participated 10, Average loss 2.132, Central accuracy on global test data 25.371, Local accuracy on global train data 23.831, Local accuracy on local train data 25.267
Round  42, Devices participated 10, Average loss 2.128, Central accuracy on global test data 25.321, Local accuracy on global train data 24.207, Local accuracy on local train data 24.553
Round  43, Devices participated 10, Average loss 2.098, Central accuracy on global test data 25.952, Local accuracy on global train data 24.587, Local accuracy on local train data 25.453
Round  44, Devices participated 10, Average loss 2.088, Central accuracy on global test data 25.881, Local accuracy on global train data 24.917, Local accuracy on local train data 24.833
Round  45, Devices participated 10, Average loss 2.065, Central accuracy on global test data 26.152, Local accuracy on global train data 24.707, Local accuracy on local train data 25.640
Round  46, Devices participated 10, Average loss 2.055, Central accuracy on global test data 26.552, Local accuracy on global train data 25.410, Local accuracy on local train data 26.567
Round  47, Devices participated 10, Average loss 2.045, Central accuracy on global test data 26.763, Local accuracy on global train data 25.449, Local accuracy on local train data 25.887
Round  48, Devices participated 10, Average loss 2.031, Central accuracy on global test data 26.863, Local accuracy on global train data 25.664, Local accuracy on local train data 26.393
Round  49, Devices participated 10, Average loss 2.023, Central accuracy on global test data 27.464, Local accuracy on global train data 26.572, Local accuracy on local train data 27.040
Round  50, Devices participated 10, Average loss 2.024, Central accuracy on global test data 28.025, Local accuracy on global train data 26.887, Local accuracy on local train data 26.420
Round  51, Devices participated 10, Average loss 1.995, Central accuracy on global test data 28.075, Local accuracy on global train data 26.431, Local accuracy on local train data 28.327
Round  52, Devices participated 10, Average loss 1.990, Central accuracy on global test data 28.395, Local accuracy on global train data 27.568, Local accuracy on local train data 27.173
Round  53, Devices participated 10, Average loss 1.978, Central accuracy on global test data 28.456, Local accuracy on global train data 27.297, Local accuracy on local train data 28.060
Round  54, Devices participated 10, Average loss 1.979, Central accuracy on global test data 28.726, Local accuracy on global train data 27.808, Local accuracy on local train data 26.847
Round  55, Devices participated 10, Average loss 1.971, Central accuracy on global test data 29.387, Local accuracy on global train data 28.259, Local accuracy on local train data 28.067
Round  56, Devices participated 10, Average loss 1.958, Central accuracy on global test data 29.497, Local accuracy on global train data 28.208, Local accuracy on local train data 28.747
Round  57, Devices participated 10, Average loss 1.946, Central accuracy on global test data 29.808, Local accuracy on global train data 29.019, Local accuracy on local train data 29.287
Round  58, Devices participated 10, Average loss 1.939, Central accuracy on global test data 29.998, Local accuracy on global train data 28.955, Local accuracy on local train data 29.393
Round  59, Devices participated 10, Average loss 1.924, Central accuracy on global test data 30.178, Local accuracy on global train data 29.231, Local accuracy on local train data 30.373
Round  60, Devices participated 10, Average loss 1.921, Central accuracy on global test data 30.278, Local accuracy on global train data 29.590, Local accuracy on local train data 30.413
