Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Ensemble accuracy on global test data 34.854, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round   1, Devices participated 10, Average loss 0.416, Central accuracy on global test data 31.791, Ensemble accuracy on global test data 30.654, Local accuracy on global train data 17.456, Local accuracy on local train data 90.950
Round   2, Devices participated 10, Average loss 0.430, Central accuracy on global test data 32.993, Ensemble accuracy on global test data 32.061, Local accuracy on global train data 19.504, Local accuracy on local train data 92.233
Round   3, Devices participated 10, Average loss 0.508, Central accuracy on global test data 36.028, Ensemble accuracy on global test data 40.586, Local accuracy on global train data 20.586, Local accuracy on local train data 91.517
Round   4, Devices participated 10, Average loss 0.402, Central accuracy on global test data 38.291, Ensemble accuracy on global test data 46.494, Local accuracy on global train data 18.816, Local accuracy on local train data 93.767
Round   5, Devices participated 10, Average loss 0.443, Central accuracy on global test data 36.448, Ensemble accuracy on global test data 41.260, Local accuracy on global train data 20.139, Local accuracy on local train data 92.750
Round   6, Devices participated 10, Average loss 0.353, Central accuracy on global test data 35.467, Ensemble accuracy on global test data 17.812, Local accuracy on global train data 19.683, Local accuracy on local train data 93.133
Round   7, Devices participated 10, Average loss 0.314, Central accuracy on global test data 40.855, Ensemble accuracy on global test data 57.051, Local accuracy on global train data 19.629, Local accuracy on local train data 92.033
Round   8, Devices participated 10, Average loss 0.282, Central accuracy on global test data 55.749, Ensemble accuracy on global test data 50.684, Local accuracy on global train data 18.828, Local accuracy on local train data 94.000
Round   9, Devices participated 10, Average loss 0.356, Central accuracy on global test data 63.421, Ensemble accuracy on global test data 25.723, Local accuracy on global train data 19.641, Local accuracy on local train data 92.850
Round  10, Devices participated 10, Average loss 0.258, Central accuracy on global test data 59.175, Ensemble accuracy on global test data 54.834, Local accuracy on global train data 18.525, Local accuracy on local train data 93.667
Round  11, Devices participated 10, Average loss 0.138, Central accuracy on global test data 55.509, Ensemble accuracy on global test data 55.215, Local accuracy on global train data 20.469, Local accuracy on local train data 96.183
Round  12, Devices participated 10, Average loss 0.457, Central accuracy on global test data 54.818, Ensemble accuracy on global test data 48.271, Local accuracy on global train data 20.403, Local accuracy on local train data 91.183
Round  13, Devices participated 10, Average loss 0.224, Central accuracy on global test data 60.597, Ensemble accuracy on global test data 28.271, Local accuracy on global train data 18.865, Local accuracy on local train data 93.933
Round  14, Devices participated 10, Average loss 0.391, Central accuracy on global test data 69.471, Ensemble accuracy on global test data 50.654, Local accuracy on global train data 22.471, Local accuracy on local train data 92.383
Round  15, Devices participated 10, Average loss 0.158, Central accuracy on global test data 67.869, Ensemble accuracy on global test data 52.070, Local accuracy on global train data 19.810, Local accuracy on local train data 95.183
Round  16, Devices participated 10, Average loss 0.274, Central accuracy on global test data 70.563, Ensemble accuracy on global test data 61.396, Local accuracy on global train data 19.978, Local accuracy on local train data 93.267
Round  17, Devices participated 10, Average loss 0.178, Central accuracy on global test data 75.992, Ensemble accuracy on global test data 65.781, Local accuracy on global train data 22.078, Local accuracy on local train data 95.717
Round  18, Devices participated 10, Average loss 0.294, Central accuracy on global test data 71.194, Ensemble accuracy on global test data 50.322, Local accuracy on global train data 20.205, Local accuracy on local train data 92.933
Round  19, Devices participated 10, Average loss 0.097, Central accuracy on global test data 72.786, Ensemble accuracy on global test data 62.764, Local accuracy on global train data 21.418, Local accuracy on local train data 97.350
Round  20, Devices participated 10, Average loss 0.139, Central accuracy on global test data 79.127, Ensemble accuracy on global test data 53.818, Local accuracy on global train data 21.636, Local accuracy on local train data 95.967
Round  21, Devices participated 10, Average loss 0.151, Central accuracy on global test data 79.127, Ensemble accuracy on global test data 40.674, Local accuracy on global train data 20.166, Local accuracy on local train data 96.033
Round  22, Devices participated 10, Average loss 0.192, Central accuracy on global test data 77.063, Ensemble accuracy on global test data 65.361, Local accuracy on global train data 24.851, Local accuracy on local train data 95.683
Round  23, Devices participated 10, Average loss 0.143, Central accuracy on global test data 66.366, Ensemble accuracy on global test data 45.156, Local accuracy on global train data 24.043, Local accuracy on local train data 96.100
Round  24, Devices participated 10, Average loss 0.147, Central accuracy on global test data 63.952, Ensemble accuracy on global test data 70.361, Local accuracy on global train data 22.961, Local accuracy on local train data 95.750
Round  25, Devices participated 10, Average loss 0.265, Central accuracy on global test data 63.692, Ensemble accuracy on global test data 58.936, Local accuracy on global train data 21.335, Local accuracy on local train data 94.433
Round  26, Devices participated 10, Average loss 0.141, Central accuracy on global test data 74.069, Ensemble accuracy on global test data 78.965, Local accuracy on global train data 25.620, Local accuracy on local train data 95.550
Round  27, Devices participated 10, Average loss 0.182, Central accuracy on global test data 81.270, Ensemble accuracy on global test data 68.242, Local accuracy on global train data 27.427, Local accuracy on local train data 95.267
Round  28, Devices participated 10, Average loss 0.152, Central accuracy on global test data 79.457, Ensemble accuracy on global test data 67.480, Local accuracy on global train data 28.389, Local accuracy on local train data 96.417
Round  29, Devices participated 10, Average loss 0.221, Central accuracy on global test data 81.851, Ensemble accuracy on global test data 75.244, Local accuracy on global train data 24.685, Local accuracy on local train data 94.250
Round  30, Devices participated 10, Average loss 0.107, Central accuracy on global test data 79.708, Ensemble accuracy on global test data 64.814, Local accuracy on global train data 25.583, Local accuracy on local train data 96.667
Round  31, Devices participated 10, Average loss 0.092, Central accuracy on global test data 78.856, Ensemble accuracy on global test data 60.586, Local accuracy on global train data 28.459, Local accuracy on local train data 97.183
Round  32, Devices participated 10, Average loss 0.107, Central accuracy on global test data 79.267, Ensemble accuracy on global test data 77.393, Local accuracy on global train data 27.021, Local accuracy on local train data 97.117
Round  33, Devices participated 10, Average loss 0.124, Central accuracy on global test data 82.282, Ensemble accuracy on global test data 67.910, Local accuracy on global train data 29.099, Local accuracy on local train data 96.433
Round  34, Devices participated 10, Average loss 0.079, Central accuracy on global test data 82.913, Ensemble accuracy on global test data 71.123, Local accuracy on global train data 28.320, Local accuracy on local train data 97.633
Round  35, Devices participated 10, Average loss 0.195, Central accuracy on global test data 85.527, Ensemble accuracy on global test data 69.961, Local accuracy on global train data 27.722, Local accuracy on local train data 96.050
Round  36, Devices participated 10, Average loss 0.158, Central accuracy on global test data 85.347, Ensemble accuracy on global test data 79.971, Local accuracy on global train data 31.970, Local accuracy on local train data 95.917
Round  37, Devices participated 10, Average loss 0.185, Central accuracy on global test data 81.320, Ensemble accuracy on global test data 74.756, Local accuracy on global train data 29.363, Local accuracy on local train data 94.417
Round  38, Devices participated 10, Average loss 0.119, Central accuracy on global test data 83.574, Ensemble accuracy on global test data 76.885, Local accuracy on global train data 31.118, Local accuracy on local train data 96.500
Round  39, Devices participated 10, Average loss 0.135, Central accuracy on global test data 82.993, Ensemble accuracy on global test data 71.719, Local accuracy on global train data 30.464, Local accuracy on local train data 96.583
Round  40, Devices participated 10, Average loss 0.145, Central accuracy on global test data 83.754, Ensemble accuracy on global test data 78.398, Local accuracy on global train data 28.025, Local accuracy on local train data 95.850
Round  41, Devices participated 10, Average loss 0.164, Central accuracy on global test data 84.756, Ensemble accuracy on global test data 73.789, Local accuracy on global train data 34.199, Local accuracy on local train data 95.383
Round  42, Devices participated 10, Average loss 0.175, Central accuracy on global test data 84.876, Ensemble accuracy on global test data 80.215, Local accuracy on global train data 31.289, Local accuracy on local train data 95.700
Round  43, Devices participated 10, Average loss 0.116, Central accuracy on global test data 82.342, Ensemble accuracy on global test data 82.236, Local accuracy on global train data 31.323, Local accuracy on local train data 96.767
