Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Ensemble accuracy on global test data 21.123, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round   1, Devices participated 10, Average loss 0.059, Central accuracy on global test data 29.808, Ensemble accuracy on global test data 24.814, Local accuracy on global train data 10.088, Local accuracy on local train data 98.550
Round   2, Devices participated 10, Average loss 0.082, Central accuracy on global test data 18.339, Ensemble accuracy on global test data 11.504, Local accuracy on global train data 10.710, Local accuracy on local train data 98.183
Round   3, Devices participated 10, Average loss 0.058, Central accuracy on global test data 21.745, Ensemble accuracy on global test data 26.309, Local accuracy on global train data 10.002, Local accuracy on local train data 98.533
Round   4, Devices participated 10, Average loss 0.085, Central accuracy on global test data 29.778, Ensemble accuracy on global test data 31.133, Local accuracy on global train data 12.119, Local accuracy on local train data 97.983
Round   5, Devices participated 10, Average loss 0.031, Central accuracy on global test data 27.885, Ensemble accuracy on global test data 11.309, Local accuracy on global train data 10.322, Local accuracy on local train data 98.917
Round   6, Devices participated 10, Average loss 0.081, Central accuracy on global test data 38.061, Ensemble accuracy on global test data 18.330, Local accuracy on global train data 11.184, Local accuracy on local train data 98.150
Round   7, Devices participated 10, Average loss 0.045, Central accuracy on global test data 30.529, Ensemble accuracy on global test data 8.721, Local accuracy on global train data 9.729, Local accuracy on local train data 98.833
Round   8, Devices participated 10, Average loss 0.096, Central accuracy on global test data 34.485, Ensemble accuracy on global test data 17.178, Local accuracy on global train data 10.715, Local accuracy on local train data 98.033
Round   9, Devices participated 10, Average loss 0.050, Central accuracy on global test data 36.268, Ensemble accuracy on global test data 19.365, Local accuracy on global train data 10.625, Local accuracy on local train data 98.667
Round  10, Devices participated 10, Average loss 0.053, Central accuracy on global test data 43.269, Ensemble accuracy on global test data 17.949, Local accuracy on global train data 10.132, Local accuracy on local train data 98.650
Round  11, Devices participated 10, Average loss 0.051, Central accuracy on global test data 46.915, Ensemble accuracy on global test data 19.707, Local accuracy on global train data 9.883, Local accuracy on local train data 98.750
Round  12, Devices participated 10, Average loss 0.076, Central accuracy on global test data 35.617, Ensemble accuracy on global test data 17.148, Local accuracy on global train data 11.392, Local accuracy on local train data 98.367
Round  13, Devices participated 10, Average loss 0.045, Central accuracy on global test data 30.699, Ensemble accuracy on global test data 15.322, Local accuracy on global train data 10.315, Local accuracy on local train data 98.717
Round  14, Devices participated 10, Average loss 0.032, Central accuracy on global test data 43.750, Ensemble accuracy on global test data 18.750, Local accuracy on global train data 10.854, Local accuracy on local train data 99.183
Round  15, Devices participated 10, Average loss 0.049, Central accuracy on global test data 39.123, Ensemble accuracy on global test data 12.070, Local accuracy on global train data 10.410, Local accuracy on local train data 98.850
Round  16, Devices participated 10, Average loss 0.031, Central accuracy on global test data 44.060, Ensemble accuracy on global test data 35.479, Local accuracy on global train data 9.775, Local accuracy on local train data 99.050
Round  17, Devices participated 10, Average loss 0.069, Central accuracy on global test data 44.722, Ensemble accuracy on global test data 50.381, Local accuracy on global train data 13.252, Local accuracy on local train data 98.283
Round  18, Devices participated 10, Average loss 0.028, Central accuracy on global test data 46.184, Ensemble accuracy on global test data 32.354, Local accuracy on global train data 12.812, Local accuracy on local train data 99.017
Round  19, Devices participated 10, Average loss 0.035, Central accuracy on global test data 45.613, Ensemble accuracy on global test data 24.473, Local accuracy on global train data 12.500, Local accuracy on local train data 99.050
Round  20, Devices participated 10, Average loss 0.038, Central accuracy on global test data 42.999, Ensemble accuracy on global test data 28.633, Local accuracy on global train data 12.944, Local accuracy on local train data 98.900
Round  21, Devices participated 10, Average loss 0.042, Central accuracy on global test data 46.294, Ensemble accuracy on global test data 53.818, Local accuracy on global train data 14.849, Local accuracy on local train data 98.733
Round  22, Devices participated 10, Average loss 0.032, Central accuracy on global test data 41.947, Ensemble accuracy on global test data 35.889, Local accuracy on global train data 10.339, Local accuracy on local train data 99.150
Round  23, Devices participated 10, Average loss 0.023, Central accuracy on global test data 49.579, Ensemble accuracy on global test data 28.135, Local accuracy on global train data 11.401, Local accuracy on local train data 99.333
Round  24, Devices participated 10, Average loss 0.029, Central accuracy on global test data 53.546, Ensemble accuracy on global test data 41.855, Local accuracy on global train data 15.552, Local accuracy on local train data 99.067
Round  25, Devices participated 10, Average loss 0.028, Central accuracy on global test data 55.138, Ensemble accuracy on global test data 40.254, Local accuracy on global train data 11.685, Local accuracy on local train data 99.167
Round  26, Devices participated 10, Average loss 0.066, Central accuracy on global test data 56.691, Ensemble accuracy on global test data 37.422, Local accuracy on global train data 12.883, Local accuracy on local train data 98.267
Round  27, Devices participated 10, Average loss 0.020, Central accuracy on global test data 56.791, Ensemble accuracy on global test data 39.473, Local accuracy on global train data 15.994, Local accuracy on local train data 99.500
Round  28, Devices participated 10, Average loss 0.032, Central accuracy on global test data 55.369, Ensemble accuracy on global test data 43.818, Local accuracy on global train data 13.030, Local accuracy on local train data 98.917
Round  29, Devices participated 10, Average loss 0.036, Central accuracy on global test data 44.060, Ensemble accuracy on global test data 35.820, Local accuracy on global train data 12.578, Local accuracy on local train data 98.967
Round  30, Devices participated 10, Average loss 0.034, Central accuracy on global test data 51.492, Ensemble accuracy on global test data 46.660, Local accuracy on global train data 10.854, Local accuracy on local train data 98.900
Round  31, Devices participated 10, Average loss 0.066, Central accuracy on global test data 61.999, Ensemble accuracy on global test data 39.746, Local accuracy on global train data 15.310, Local accuracy on local train data 98.267
Round  32, Devices participated 10, Average loss 0.023, Central accuracy on global test data 61.138, Ensemble accuracy on global test data 48.535, Local accuracy on global train data 15.647, Local accuracy on local train data 99.467
Round  33, Devices participated 10, Average loss 0.026, Central accuracy on global test data 65.074, Ensemble accuracy on global test data 43.486, Local accuracy on global train data 13.960, Local accuracy on local train data 99.350
Round  34, Devices participated 10, Average loss 0.022, Central accuracy on global test data 67.087, Ensemble accuracy on global test data 42.520, Local accuracy on global train data 12.656, Local accuracy on local train data 99.167
Round  35, Devices participated 10, Average loss 0.041, Central accuracy on global test data 70.523, Ensemble accuracy on global test data 47.891, Local accuracy on global train data 15.886, Local accuracy on local train data 98.667
Round  36, Devices participated 10, Average loss 0.038, Central accuracy on global test data 66.597, Ensemble accuracy on global test data 36.953, Local accuracy on global train data 14.724, Local accuracy on local train data 98.900
Round  37, Devices participated 10, Average loss 0.052, Central accuracy on global test data 68.440, Ensemble accuracy on global test data 42.021, Local accuracy on global train data 12.893, Local accuracy on local train data 98.533
Round  38, Devices participated 10, Average loss 0.022, Central accuracy on global test data 63.331, Ensemble accuracy on global test data 63.896, Local accuracy on global train data 16.235, Local accuracy on local train data 99.267
Round  39, Devices participated 10, Average loss 0.022, Central accuracy on global test data 69.211, Ensemble accuracy on global test data 43.652, Local accuracy on global train data 15.110, Local accuracy on local train data 99.283
Round  40, Devices participated 10, Average loss 0.027, Central accuracy on global test data 67.538, Ensemble accuracy on global test data 46.982, Local accuracy on global train data 13.418, Local accuracy on local train data 99.100
Round  41, Devices participated 10, Average loss 0.034, Central accuracy on global test data 72.987, Ensemble accuracy on global test data 58.857, Local accuracy on global train data 14.561, Local accuracy on local train data 99.100
Round  42, Devices participated 10, Average loss 0.024, Central accuracy on global test data 75.180, Ensemble accuracy on global test data 52.393, Local accuracy on global train data 12.988, Local accuracy on local train data 99.417
Round  43, Devices participated 10, Average loss 0.051, Central accuracy on global test data 68.169, Ensemble accuracy on global test data 52.959, Local accuracy on global train data 15.012, Local accuracy on local train data 98.617
Round  44, Devices participated 10, Average loss 0.024, Central accuracy on global test data 74.910, Ensemble accuracy on global test data 61.270, Local accuracy on global train data 16.331, Local accuracy on local train data 99.317
Round  45, Devices participated 10, Average loss 0.027, Central accuracy on global test data 74.069, Ensemble accuracy on global test data 62.188, Local accuracy on global train data 19.155, Local accuracy on local train data 99.433
Round  46, Devices participated 10, Average loss 0.025, Central accuracy on global test data 66.987, Ensemble accuracy on global test data 54.209, Local accuracy on global train data 17.891, Local accuracy on local train data 99.450
Round  47, Devices participated 10, Average loss 0.029, Central accuracy on global test data 65.385, Ensemble accuracy on global test data 50.273, Local accuracy on global train data 17.778, Local accuracy on local train data 99.150
Round  48, Devices participated 10, Average loss 0.038, Central accuracy on global test data 69.050, Ensemble accuracy on global test data 61.084, Local accuracy on global train data 20.579, Local accuracy on local train data 99.217
Round  49, Devices participated 10, Average loss 0.027, Central accuracy on global test data 76.022, Ensemble accuracy on global test data 53.330, Local accuracy on global train data 15.945, Local accuracy on local train data 99.117
Round  50, Devices participated 10, Average loss 0.019, Central accuracy on global test data 74.619, Ensemble accuracy on global test data 59.062, Local accuracy on global train data 18.833, Local accuracy on local train data 99.317
Round  51, Devices participated 10, Average loss 0.013, Central accuracy on global test data 70.863, Ensemble accuracy on global test data 72.969, Local accuracy on global train data 20.684, Local accuracy on local train data 99.683
Round  52, Devices participated 10, Average loss 0.017, Central accuracy on global test data 77.304, Ensemble accuracy on global test data 59.805, Local accuracy on global train data 12.913, Local accuracy on local train data 99.517
Round  53, Devices participated 10, Average loss 0.024, Central accuracy on global test data 75.130, Ensemble accuracy on global test data 73.633, Local accuracy on global train data 21.416, Local accuracy on local train data 99.267
Round  54, Devices participated 10, Average loss 0.017, Central accuracy on global test data 76.623, Ensemble accuracy on global test data 49.990, Local accuracy on global train data 18.474, Local accuracy on local train data 99.433
Round  55, Devices participated 10, Average loss 0.031, Central accuracy on global test data 77.504, Ensemble accuracy on global test data 68.359, Local accuracy on global train data 15.762, Local accuracy on local train data 99.233
Round  56, Devices participated 10, Average loss 0.020, Central accuracy on global test data 80.028, Ensemble accuracy on global test data 64.277, Local accuracy on global train data 20.732, Local accuracy on local train data 99.383
Round  57, Devices participated 10, Average loss 0.025, Central accuracy on global test data 80.489, Ensemble accuracy on global test data 61.641, Local accuracy on global train data 23.801, Local accuracy on local train data 99.350
Round  58, Devices participated 10, Average loss 0.017, Central accuracy on global test data 78.305, Ensemble accuracy on global test data 61.904, Local accuracy on global train data 20.989, Local accuracy on local train data 99.517
Round  59, Devices participated 10, Average loss 0.026, Central accuracy on global test data 75.831, Ensemble accuracy on global test data 71.045, Local accuracy on global train data 20.815, Local accuracy on local train data 99.350
Round  60, Devices participated 10, Average loss 0.012, Central accuracy on global test data 73.568, Ensemble accuracy on global test data 66.416, Local accuracy on global train data 17.847, Local accuracy on local train data 99.717
