Round  37, Devices participated 10, Average loss 0.373, Central accuracy on global test data 65.875, Ensemble accuracy on global test data 69.082, Local accuracy on global train data 30.813, Local accuracy on local train data 93.000
Round  38, Devices participated 10, Average loss 0.196, Central accuracy on global test data 75.841, Ensemble accuracy on global test data 74.775, Local accuracy on global train data 37.534, Local accuracy on local train data 95.483
Round  39, Devices participated 10, Average loss 0.222, Central accuracy on global test data 73.838, Ensemble accuracy on global test data 72.285, Local accuracy on global train data 33.862, Local accuracy on local train data 95.817
Round  40, Devices participated 10, Average loss 0.208, Central accuracy on global test data 78.365, Ensemble accuracy on global test data 75.410, Local accuracy on global train data 33.572, Local accuracy on local train data 95.467
Round  41, Devices participated 10, Average loss 0.209, Central accuracy on global test data 73.808, Ensemble accuracy on global test data 70.615, Local accuracy on global train data 36.462, Local accuracy on local train data 94.833
Round  42, Devices participated 10, Average loss 0.189, Central accuracy on global test data 77.514, Ensemble accuracy on global test data 74.990, Local accuracy on global train data 31.450, Local accuracy on local train data 95.850
Round  43, Devices participated 10, Average loss 0.225, Central accuracy on global test data 80.068, Ensemble accuracy on global test data 76.992, Local accuracy on global train data 26.387, Local accuracy on local train data 95.883
Round  44, Devices participated 10, Average loss 0.226, Central accuracy on global test data 80.048, Ensemble accuracy on global test data 76.328, Local accuracy on global train data 30.444, Local accuracy on local train data 94.783
Round  45, Devices participated 10, Average loss 0.280, Central accuracy on global test data 72.025, Ensemble accuracy on global test data 71.396, Local accuracy on global train data 36.221, Local accuracy on local train data 94.967
Round  46, Devices participated 10, Average loss 0.259, Central accuracy on global test data 77.334, Ensemble accuracy on global test data 72.656, Local accuracy on global train data 37.319, Local accuracy on local train data 94.367
Round  47, Devices participated 10, Average loss 0.099, Central accuracy on global test data 74.790, Ensemble accuracy on global test data 69.922, Local accuracy on global train data 37.463, Local accuracy on local train data 97.567
Round  48, Devices participated 10, Average loss 0.213, Central accuracy on global test data 83.534, Ensemble accuracy on global test data 80.049, Local accuracy on global train data 41.187, Local accuracy on local train data 95.183
Round  49, Devices participated 10, Average loss 0.158, Central accuracy on global test data 82.181, Ensemble accuracy on global test data 79.580, Local accuracy on global train data 41.489, Local accuracy on local train data 96.433
Round  50, Devices participated 10, Average loss 0.176, Central accuracy on global test data 78.055, Ensemble accuracy on global test data 75.381, Local accuracy on global train data 39.609, Local accuracy on local train data 95.500
Round  51, Devices participated 10, Average loss 0.160, Central accuracy on global test data 85.537, Ensemble accuracy on global test data 83.096, Local accuracy on global train data 43.481, Local accuracy on local train data 96.483
Round  52, Devices participated 10, Average loss 0.240, Central accuracy on global test data 72.426, Ensemble accuracy on global test data 69.219, Local accuracy on global train data 37.302, Local accuracy on local train data 95.150
Round  53, Devices participated 10, Average loss 0.149, Central accuracy on global test data 75.581, Ensemble accuracy on global test data 71.758, Local accuracy on global train data 36.873, Local accuracy on local train data 96.500
Round  54, Devices participated 10, Average loss 0.236, Central accuracy on global test data 77.514, Ensemble accuracy on global test data 73.955, Local accuracy on global train data 36.526, Local accuracy on local train data 96.600
Round  55, Devices participated 10, Average loss 0.150, Central accuracy on global test data 84.806, Ensemble accuracy on global test data 82.363, Local accuracy on global train data 41.377, Local accuracy on local train data 96.267
Round  56, Devices participated 10, Average loss 0.178, Central accuracy on global test data 82.392, Ensemble accuracy on global test data 81.777, Local accuracy on global train data 43.513, Local accuracy on local train data 95.933
Round  57, Devices participated 10, Average loss 0.124, Central accuracy on global test data 78.456, Ensemble accuracy on global test data 74.414, Local accuracy on global train data 39.612, Local accuracy on local train data 97.100
Round  58, Devices participated 10, Average loss 0.156, Central accuracy on global test data 84.385, Ensemble accuracy on global test data 82.910, Local accuracy on global train data 39.839, Local accuracy on local train data 95.583
Round  59, Devices participated 10, Average loss 0.129, Central accuracy on global test data 84.786, Ensemble accuracy on global test data 80.977, Local accuracy on global train data 46.052, Local accuracy on local train data 96.867
Round  60, Devices participated 10, Average loss 0.152, Central accuracy on global test data 78.476, Ensemble accuracy on global test data 76.699, Local accuracy on global train data 41.128, Local accuracy on local train data 96.117
Round  61, Devices participated 10, Average loss 0.172, Central accuracy on global test data 81.861, Ensemble accuracy on global test data 77.510, Local accuracy on global train data 38.577, Local accuracy on local train data 96.383
Round  62, Devices participated 10, Average loss 0.125, Central accuracy on global test data 81.831, Ensemble accuracy on global test data 79.697, Local accuracy on global train data 41.108, Local accuracy on local train data 96.983
Round  63, Devices participated 10, Average loss 0.226, Central accuracy on global test data 83.123, Ensemble accuracy on global test data 79.639, Local accuracy on global train data 39.641, Local accuracy on local train data 95.933
Round  64, Devices participated 10, Average loss 0.189, Central accuracy on global test data 77.574, Ensemble accuracy on global test data 71.494, Local accuracy on global train data 42.537, Local accuracy on local train data 95.833
Round  65, Devices participated 10, Average loss 0.208, Central accuracy on global test data 79.988, Ensemble accuracy on global test data 79.082, Local accuracy on global train data 45.317, Local accuracy on local train data 95.050
Round  66, Devices participated 10, Average loss 0.175, Central accuracy on global test data 80.308, Ensemble accuracy on global test data 77.344, Local accuracy on global train data 44.617, Local accuracy on local train data 96.117
Round  67, Devices participated 10, Average loss 0.113, Central accuracy on global test data 83.383, Ensemble accuracy on global test data 79.922, Local accuracy on global train data 43.025, Local accuracy on local train data 96.900
Round  68, Devices participated 10, Average loss 0.094, Central accuracy on global test data 85.667, Ensemble accuracy on global test data 80.869, Local accuracy on global train data 47.417, Local accuracy on local train data 97.850
Round  69, Devices participated 10, Average loss 0.165, Central accuracy on global test data 78.345, Ensemble accuracy on global test data 74.580, Local accuracy on global train data 42.754, Local accuracy on local train data 97.117
Round  70, Devices participated 10, Average loss 0.149, Central accuracy on global test data 85.427, Ensemble accuracy on global test data 83.223, Local accuracy on global train data 44.172, Local accuracy on local train data 96.250
Round  71, Devices participated 10, Average loss 0.128, Central accuracy on global test data 81.330, Ensemble accuracy on global test data 78.525, Local accuracy on global train data 45.537, Local accuracy on local train data 97.017
Round  72, Devices participated 10, Average loss 0.165, Central accuracy on global test data 77.694, Ensemble accuracy on global test data 76.016, Local accuracy on global train data 44.634, Local accuracy on local train data 96.583
Round  73, Devices participated 10, Average loss 0.091, Central accuracy on global test data 84.044, Ensemble accuracy on global test data 80.234, Local accuracy on global train data 46.116, Local accuracy on local train data 97.917
Round  74, Devices participated 10, Average loss 0.128, Central accuracy on global test data 82.382, Ensemble accuracy on global test data 79.883, Local accuracy on global train data 42.000, Local accuracy on local train data 96.433
Round  75, Devices participated 10, Average loss 0.149, Central accuracy on global test data 85.096, Ensemble accuracy on global test data 82.119, Local accuracy on global train data 42.681, Local accuracy on local train data 96.517
Round  76, Devices participated 10, Average loss 0.160, Central accuracy on global test data 87.380, Ensemble accuracy on global test data 82.480, Local accuracy on global train data 43.853, Local accuracy on local train data 95.767
Round  77, Devices participated 10, Average loss 0.167, Central accuracy on global test data 85.817, Ensemble accuracy on global test data 77.871, Local accuracy on global train data 39.653, Local accuracy on local train data 96.000
Round  78, Devices participated 10, Average loss 0.106, Central accuracy on global test data 86.869, Ensemble accuracy on global test data 83.418, Local accuracy on global train data 41.145, Local accuracy on local train data 97.367
Round  79, Devices participated 10, Average loss 0.146, Central accuracy on global test data 86.759, Ensemble accuracy on global test data 84.668, Local accuracy on global train data 42.820, Local accuracy on local train data 96.650
Round  80, Devices participated 10, Average loss 0.256, Central accuracy on global test data 82.642, Ensemble accuracy on global test data 79.160, Local accuracy on global train data 45.891, Local accuracy on local train data 95.400
Round  81, Devices participated 10, Average loss 0.112, Central accuracy on global test data 82.983, Ensemble accuracy on global test data 76.885, Local accuracy on global train data 45.034, Local accuracy on local train data 97.033
Round  82, Devices participated 10, Average loss 0.070, Central accuracy on global test data 87.690, Ensemble accuracy on global test data 83.740, Local accuracy on global train data 44.929, Local accuracy on local train data 98.033
