Round  37, Devices participated 10, Average loss 0.513, Central accuracy on global test data 14.734, Ensemble accuracy on global test data 12.148, Local accuracy on global train data 12.856, Local accuracy on local train data 97.783
Round  38, Devices participated 10, Average loss 0.137, Central accuracy on global test data 30.489, Ensemble accuracy on global test data 28.340, Local accuracy on global train data 12.993, Local accuracy on local train data 98.933
Round  39, Devices participated 10, Average loss 0.178, Central accuracy on global test data 23.197, Ensemble accuracy on global test data 21.943, Local accuracy on global train data 11.304, Local accuracy on local train data 98.850
Round  40, Devices participated 10, Average loss 0.290, Central accuracy on global test data 20.433, Ensemble accuracy on global test data 20.137, Local accuracy on global train data 11.294, Local accuracy on local train data 98.733
Round  41, Devices participated 10, Average loss 0.143, Central accuracy on global test data 42.167, Ensemble accuracy on global test data 39.297, Local accuracy on global train data 13.271, Local accuracy on local train data 98.700
Round  42, Devices participated 10, Average loss 0.259, Central accuracy on global test data 26.983, Ensemble accuracy on global test data 27.959, Local accuracy on global train data 11.553, Local accuracy on local train data 98.867
Round  43, Devices participated 10, Average loss 0.523, Central accuracy on global test data 18.680, Ensemble accuracy on global test data 18.262, Local accuracy on global train data 12.673, Local accuracy on local train data 97.667
Round  44, Devices participated 10, Average loss 0.211, Central accuracy on global test data 17.598, Ensemble accuracy on global test data 21.230, Local accuracy on global train data 14.766, Local accuracy on local train data 98.950
Round  45, Devices participated 10, Average loss 0.297, Central accuracy on global test data 19.611, Ensemble accuracy on global test data 19.414, Local accuracy on global train data 14.507, Local accuracy on local train data 98.400
Round  46, Devices participated 10, Average loss 0.269, Central accuracy on global test data 24.309, Ensemble accuracy on global test data 22.100, Local accuracy on global train data 16.501, Local accuracy on local train data 98.117
Round  47, Devices participated 10, Average loss 0.250, Central accuracy on global test data 11.929, Ensemble accuracy on global test data 10.342, Local accuracy on global train data 13.452, Local accuracy on local train data 98.500
Round  48, Devices participated 10, Average loss 0.223, Central accuracy on global test data 25.471, Ensemble accuracy on global test data 26.934, Local accuracy on global train data 15.454, Local accuracy on local train data 98.583
Round  49, Devices participated 10, Average loss 0.278, Central accuracy on global test data 27.344, Ensemble accuracy on global test data 21.514, Local accuracy on global train data 14.336, Local accuracy on local train data 98.817
