Round  37, Devices participated 10, Average loss 0.506, Central accuracy on global test data 74.249, Ensemble accuracy on global test data 69.756, Local accuracy on global train data 32.109, Local accuracy on local train data 91.517
Round  38, Devices participated 10, Average loss 0.252, Central accuracy on global test data 76.522, Ensemble accuracy on global test data 70.137, Local accuracy on global train data 32.668, Local accuracy on local train data 95.217
Round  39, Devices participated 10, Average loss 0.270, Central accuracy on global test data 68.389, Ensemble accuracy on global test data 63.984, Local accuracy on global train data 30.581, Local accuracy on local train data 95.800
Round  40, Devices participated 10, Average loss 0.302, Central accuracy on global test data 74.559, Ensemble accuracy on global test data 71.162, Local accuracy on global train data 31.428, Local accuracy on local train data 94.733
Round  41, Devices participated 10, Average loss 0.350, Central accuracy on global test data 67.017, Ensemble accuracy on global test data 64.551, Local accuracy on global train data 35.549, Local accuracy on local train data 94.100
Round  42, Devices participated 10, Average loss 0.435, Central accuracy on global test data 73.337, Ensemble accuracy on global test data 68.486, Local accuracy on global train data 31.545, Local accuracy on local train data 94.150
Round  43, Devices participated 10, Average loss 0.322, Central accuracy on global test data 75.921, Ensemble accuracy on global test data 79.639, Local accuracy on global train data 30.085, Local accuracy on local train data 95.983
Round  44, Devices participated 10, Average loss 0.386, Central accuracy on global test data 73.638, Ensemble accuracy on global test data 69.424, Local accuracy on global train data 29.011, Local accuracy on local train data 92.200
Round  45, Devices participated 10, Average loss 0.330, Central accuracy on global test data 67.668, Ensemble accuracy on global test data 55.010, Local accuracy on global train data 34.653, Local accuracy on local train data 94.933
Round  46, Devices participated 10, Average loss 0.337, Central accuracy on global test data 82.192, Ensemble accuracy on global test data 76.211, Local accuracy on global train data 36.589, Local accuracy on local train data 92.850
Round  47, Devices participated 10, Average loss 0.136, Central accuracy on global test data 69.071, Ensemble accuracy on global test data 55.859, Local accuracy on global train data 34.900, Local accuracy on local train data 97.517
Round  48, Devices participated 10, Average loss 0.195, Central accuracy on global test data 76.773, Ensemble accuracy on global test data 79.004, Local accuracy on global train data 41.050, Local accuracy on local train data 94.917
Round  49, Devices participated 10, Average loss 0.159, Central accuracy on global test data 73.628, Ensemble accuracy on global test data 74.873, Local accuracy on global train data 37.903, Local accuracy on local train data 96.600
Round  50, Devices participated 10, Average loss 0.234, Central accuracy on global test data 73.768, Ensemble accuracy on global test data 65.527, Local accuracy on global train data 39.565, Local accuracy on local train data 95.100
Round  51, Devices participated 10, Average loss 0.311, Central accuracy on global test data 76.753, Ensemble accuracy on global test data 75.234, Local accuracy on global train data 38.760, Local accuracy on local train data 94.567
Round  52, Devices participated 10, Average loss 0.281, Central accuracy on global test data 73.778, Ensemble accuracy on global test data 65.752, Local accuracy on global train data 34.675, Local accuracy on local train data 95.467
Round  53, Devices participated 10, Average loss 0.237, Central accuracy on global test data 70.873, Ensemble accuracy on global test data 66.533, Local accuracy on global train data 34.646, Local accuracy on local train data 95.733
Round  54, Devices participated 10, Average loss 0.158, Central accuracy on global test data 75.321, Ensemble accuracy on global test data 72.246, Local accuracy on global train data 36.768, Local accuracy on local train data 96.717
Round  55, Devices participated 10, Average loss 0.190, Central accuracy on global test data 76.783, Ensemble accuracy on global test data 75.693, Local accuracy on global train data 34.871, Local accuracy on local train data 95.533
Round  56, Devices participated 10, Average loss 0.221, Central accuracy on global test data 79.127, Ensemble accuracy on global test data 77.334, Local accuracy on global train data 40.303, Local accuracy on local train data 95.483
Round  57, Devices participated 10, Average loss 0.145, Central accuracy on global test data 76.302, Ensemble accuracy on global test data 68.018, Local accuracy on global train data 36.924, Local accuracy on local train data 97.067
Round  58, Devices participated 10, Average loss 0.299, Central accuracy on global test data 78.395, Ensemble accuracy on global test data 75.293, Local accuracy on global train data 34.436, Local accuracy on local train data 94.717
Round  59, Devices participated 10, Average loss 0.147, Central accuracy on global test data 76.382, Ensemble accuracy on global test data 76.963, Local accuracy on global train data 40.608, Local accuracy on local train data 96.717
Round  60, Devices participated 10, Average loss 0.204, Central accuracy on global test data 77.354, Ensemble accuracy on global test data 72.051, Local accuracy on global train data 36.973, Local accuracy on local train data 95.333
Round  61, Devices participated 10, Average loss 0.246, Central accuracy on global test data 74.519, Ensemble accuracy on global test data 74.102, Local accuracy on global train data 34.824, Local accuracy on local train data 95.783
Round  62, Devices participated 10, Average loss 0.169, Central accuracy on global test data 77.734, Ensemble accuracy on global test data 75.088, Local accuracy on global train data 38.538, Local accuracy on local train data 96.333
Round  63, Devices participated 10, Average loss 0.333, Central accuracy on global test data 78.456, Ensemble accuracy on global test data 74.971, Local accuracy on global train data 40.964, Local accuracy on local train data 95.383
Round  64, Devices participated 10, Average loss 0.249, Central accuracy on global test data 74.119, Ensemble accuracy on global test data 65.312, Local accuracy on global train data 40.928, Local accuracy on local train data 95.250
Round  65, Devices participated 10, Average loss 0.266, Central accuracy on global test data 77.244, Ensemble accuracy on global test data 72.139, Local accuracy on global train data 45.774, Local accuracy on local train data 93.900
Round  66, Devices participated 10, Average loss 0.178, Central accuracy on global test data 78.986, Ensemble accuracy on global test data 76.045, Local accuracy on global train data 40.908, Local accuracy on local train data 95.717
Round  67, Devices participated 10, Average loss 0.184, Central accuracy on global test data 79.798, Ensemble accuracy on global test data 78.145, Local accuracy on global train data 40.046, Local accuracy on local train data 95.933
Round  68, Devices participated 10, Average loss 0.139, Central accuracy on global test data 77.955, Ensemble accuracy on global test data 77.500, Local accuracy on global train data 41.238, Local accuracy on local train data 97.100
Round  69, Devices participated 10, Average loss 0.165, Central accuracy on global test data 82.292, Ensemble accuracy on global test data 70.518, Local accuracy on global train data 36.396, Local accuracy on local train data 96.700
Round  70, Devices participated 10, Average loss 0.191, Central accuracy on global test data 79.087, Ensemble accuracy on global test data 78.799, Local accuracy on global train data 43.999, Local accuracy on local train data 95.750
Round  71, Devices participated 10, Average loss 0.140, Central accuracy on global test data 80.218, Ensemble accuracy on global test data 77.695, Local accuracy on global train data 40.898, Local accuracy on local train data 96.683
Round  72, Devices participated 10, Average loss 0.180, Central accuracy on global test data 78.676, Ensemble accuracy on global test data 75.303, Local accuracy on global train data 45.012, Local accuracy on local train data 95.950
Round  73, Devices participated 10, Average loss 0.151, Central accuracy on global test data 76.502, Ensemble accuracy on global test data 71.416, Local accuracy on global train data 43.174, Local accuracy on local train data 96.900
Round  74, Devices participated 10, Average loss 0.201, Central accuracy on global test data 77.875, Ensemble accuracy on global test data 73.027, Local accuracy on global train data 39.080, Local accuracy on local train data 96.117
Round  75, Devices participated 10, Average loss 0.211, Central accuracy on global test data 82.502, Ensemble accuracy on global test data 81.064, Local accuracy on global train data 42.871, Local accuracy on local train data 96.167
Round  76, Devices participated 10, Average loss 0.228, Central accuracy on global test data 80.138, Ensemble accuracy on global test data 75.605, Local accuracy on global train data 42.322, Local accuracy on local train data 94.700
Round  77, Devices participated 10, Average loss 0.214, Central accuracy on global test data 77.955, Ensemble accuracy on global test data 74.365, Local accuracy on global train data 35.776, Local accuracy on local train data 95.333
Round  78, Devices participated 10, Average loss 0.139, Central accuracy on global test data 81.150, Ensemble accuracy on global test data 82.295, Local accuracy on global train data 40.139, Local accuracy on local train data 96.850
Round  79, Devices participated 10, Average loss 0.175, Central accuracy on global test data 80.679, Ensemble accuracy on global test data 82.070, Local accuracy on global train data 42.131, Local accuracy on local train data 96.017
Round  80, Devices participated 10, Average loss 0.284, Central accuracy on global test data 79.427, Ensemble accuracy on global test data 75.273, Local accuracy on global train data 41.875, Local accuracy on local train data 94.300
Round  81, Devices participated 10, Average loss 0.210, Central accuracy on global test data 86.188, Ensemble accuracy on global test data 79.414, Local accuracy on global train data 42.185, Local accuracy on local train data 95.200
Round  82, Devices participated 10, Average loss 0.149, Central accuracy on global test data 81.430, Ensemble accuracy on global test data 78.125, Local accuracy on global train data 41.274, Local accuracy on local train data 96.850
Round  83, Devices participated 10, Average loss 0.172, Central accuracy on global test data 78.806, Ensemble accuracy on global test data 73.379, Local accuracy on global train data 39.729, Local accuracy on local train data 96.517
Round  84, Devices participated 10, Average loss 0.318, Central accuracy on global test data 76.322, Ensemble accuracy on global test data 63.955, Local accuracy on global train data 38.694, Local accuracy on local train data 93.400
Round  85, Devices participated 10, Average loss 0.152, Central accuracy on global test data 79.848, Ensemble accuracy on global test data 80.674, Local accuracy on global train data 42.048, Local accuracy on local train data 96.283
Round  86, Devices participated 10, Average loss 0.155, Central accuracy on global test data 82.292, Ensemble accuracy on global test data 78.184, Local accuracy on global train data 44.980, Local accuracy on local train data 96.650
Round  87, Devices participated 10, Average loss 0.189, Central accuracy on global test data 77.774, Ensemble accuracy on global test data 70.859, Local accuracy on global train data 40.911, Local accuracy on local train data 96.133
Round  88, Devices participated 10, Average loss 0.113, Central accuracy on global test data 79.537, Ensemble accuracy on global test data 77.227, Local accuracy on global train data 43.201, Local accuracy on local train data 97.267
