Round  37, Devices participated 10, Average loss 0.076, Central accuracy on global test data 82.272, Ensemble accuracy on global test data 81.025, Local accuracy on global train data 40.339, Local accuracy on local train data 97.583
Round  38, Devices participated 10, Average loss 0.077, Central accuracy on global test data 76.923, Ensemble accuracy on global test data 78.428, Local accuracy on global train data 44.512, Local accuracy on local train data 97.767
Round  39, Devices participated 10, Average loss 0.082, Central accuracy on global test data 71.024, Ensemble accuracy on global test data 81.309, Local accuracy on global train data 47.690, Local accuracy on local train data 97.667
Round  40, Devices participated 10, Average loss 0.058, Central accuracy on global test data 67.738, Ensemble accuracy on global test data 81.055, Local accuracy on global train data 52.542, Local accuracy on local train data 98.300
Round  41, Devices participated 10, Average loss 0.097, Central accuracy on global test data 61.929, Ensemble accuracy on global test data 81.318, Local accuracy on global train data 46.086, Local accuracy on local train data 96.883
Round  42, Devices participated 10, Average loss 0.168, Central accuracy on global test data 69.301, Ensemble accuracy on global test data 77.490, Local accuracy on global train data 43.726, Local accuracy on local train data 95.533
Round  43, Devices participated 10, Average loss 0.062, Central accuracy on global test data 83.484, Ensemble accuracy on global test data 84.102, Local accuracy on global train data 52.756, Local accuracy on local train data 98.333
Round  44, Devices participated 10, Average loss 0.133, Central accuracy on global test data 84.615, Ensemble accuracy on global test data 86.533, Local accuracy on global train data 53.545, Local accuracy on local train data 96.650
Round  45, Devices participated 10, Average loss 0.099, Central accuracy on global test data 78.916, Ensemble accuracy on global test data 77.900, Local accuracy on global train data 51.975, Local accuracy on local train data 97.467
Round  46, Devices participated 10, Average loss 0.085, Central accuracy on global test data 81.751, Ensemble accuracy on global test data 82.012, Local accuracy on global train data 56.226, Local accuracy on local train data 97.917
Round  47, Devices participated 10, Average loss 0.085, Central accuracy on global test data 77.985, Ensemble accuracy on global test data 83.057, Local accuracy on global train data 51.633, Local accuracy on local train data 97.417
Round  48, Devices participated 10, Average loss 0.120, Central accuracy on global test data 73.588, Ensemble accuracy on global test data 75.225, Local accuracy on global train data 48.303, Local accuracy on local train data 96.533
Round  49, Devices participated 10, Average loss 0.064, Central accuracy on global test data 75.381, Ensemble accuracy on global test data 81.943, Local accuracy on global train data 47.468, Local accuracy on local train data 98.150
