['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep5_opt0vr1_qn1.log']
2020-08-01 16:16:45.898563

['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep5_opt0vr1_qn1.log']
2020-08-01 16:25:00.203943

Round   0, Devices participated 10, Average loss 2.298, Central accuracy on global test data 12.560, Local accuracy on global train data 10.759, Local accuracy on local train data 11.792
Round   1, Devices participated 10, Average loss 2.277, Central accuracy on global test data 17.198, Local accuracy on global train data 16.543, Local accuracy on local train data 15.220
Round   2, Devices participated 10, Average loss 2.124, Central accuracy on global test data 26.212, Local accuracy on global train data 22.559, Local accuracy on local train data 20.584
Round   3, Devices participated 10, Average loss 2.015, Central accuracy on global test data 28.526, Local accuracy on global train data 23.257, Local accuracy on local train data 24.624
Round   4, Devices participated 10, Average loss 1.932, Central accuracy on global test data 32.512, Local accuracy on global train data 26.865, Local accuracy on local train data 28.420
Round   5, Devices participated 10, Average loss 1.860, Central accuracy on global test data 33.844, Local accuracy on global train data 30.132, Local accuracy on local train data 31.132
Round   6, Devices participated 10, Average loss 1.787, Central accuracy on global test data 37.069, Local accuracy on global train data 32.239, Local accuracy on local train data 34.424
Round   7, Devices participated 10, Average loss 1.726, Central accuracy on global test data 38.882, Local accuracy on global train data 34.529, Local accuracy on local train data 36.192
Round   8, Devices participated 10, Average loss 1.663, Central accuracy on global test data 39.503, Local accuracy on global train data 35.745, Local accuracy on local train data 39.684
Round   9, Devices participated 10, Average loss 1.615, Central accuracy on global test data 42.127, Local accuracy on global train data 35.222, Local accuracy on local train data 41.400
Round  10, Devices participated 10, Average loss 1.521, Central accuracy on global test data 43.980, Local accuracy on global train data 36.584, Local accuracy on local train data 44.340
Round  11, Devices participated 10, Average loss 1.499, Central accuracy on global test data 45.773, Local accuracy on global train data 39.167, Local accuracy on local train data 45.636
Round  12, Devices participated 10, Average loss 1.448, Central accuracy on global test data 46.725, Local accuracy on global train data 40.635, Local accuracy on local train data 47.876
Round  13, Devices participated 10, Average loss 1.343, Central accuracy on global test data 47.716, Local accuracy on global train data 41.582, Local accuracy on local train data 52.048
Round  14, Devices participated 10, Average loss 1.293, Central accuracy on global test data 48.688, Local accuracy on global train data 42.561, Local accuracy on local train data 53.568
Round  15, Devices participated 10, Average loss 1.280, Central accuracy on global test data 49.369, Local accuracy on global train data 43.044, Local accuracy on local train data 55.028
Round  16, Devices participated 10, Average loss 1.200, Central accuracy on global test data 49.880, Local accuracy on global train data 45.237, Local accuracy on local train data 57.784
Round  17, Devices participated 10, Average loss 1.193, Central accuracy on global test data 50.521, Local accuracy on global train data 46.052, Local accuracy on local train data 57.744
Round  18, Devices participated 10, Average loss 1.091, Central accuracy on global test data 50.401, Local accuracy on global train data 46.714, Local accuracy on local train data 61.984
Round  19, Devices participated 10, Average loss 1.037, Central accuracy on global test data 50.931, Local accuracy on global train data 46.252, Local accuracy on local train data 64.284
Round  20, Devices participated 10, Average loss 1.035, Central accuracy on global test data 51.172, Local accuracy on global train data 47.134, Local accuracy on local train data 64.608
Round  21, Devices participated 10, Average loss 1.024, Central accuracy on global test data 50.671, Local accuracy on global train data 46.685, Local accuracy on local train data 64.972
Round  22, Devices participated 10, Average loss 1.015, Central accuracy on global test data 50.090, Local accuracy on global train data 45.410, Local accuracy on local train data 65.428
Round  23, Devices participated 10, Average loss 0.986, Central accuracy on global test data 50.701, Local accuracy on global train data 48.384, Local accuracy on local train data 67.336
Round  24, Devices participated 10, Average loss 0.963, Central accuracy on global test data 50.851, Local accuracy on global train data 48.147, Local accuracy on local train data 67.204
Round  25, Devices participated 10, Average loss 0.989, Central accuracy on global test data 50.321, Local accuracy on global train data 48.127, Local accuracy on local train data 66.784
Round  26, Devices participated 10, Average loss 0.940, Central accuracy on global test data 50.661, Local accuracy on global train data 49.192, Local accuracy on local train data 69.012
Round  27, Devices participated 10, Average loss 0.902, Central accuracy on global test data 50.911, Local accuracy on global train data 48.569, Local accuracy on local train data 70.000
Round  28, Devices participated 10, Average loss 0.924, Central accuracy on global test data 50.431, Local accuracy on global train data 48.311, Local accuracy on local train data 69.464
Round  29, Devices participated 10, Average loss 0.961, Central accuracy on global test data 50.561, Local accuracy on global train data 48.193, Local accuracy on local train data 68.084
Round  30, Devices participated 10, Average loss 0.921, Central accuracy on global test data 50.821, Local accuracy on global train data 48.806, Local accuracy on local train data 69.268
Round  31, Devices participated 10, Average loss 0.928, Central accuracy on global test data 51.002, Local accuracy on global train data 49.993, Local accuracy on local train data 68.964
Round  32, Devices participated 10, Average loss 0.962, Central accuracy on global test data 50.701, Local accuracy on global train data 48.689, Local accuracy on local train data 68.500
Round  33, Devices participated 10, Average loss 0.948, Central accuracy on global test data 50.321, Local accuracy on global train data 48.743, Local accuracy on local train data 68.004
Round  34, Devices participated 10, Average loss 0.863, Central accuracy on global test data 50.921, Local accuracy on global train data 50.842, Local accuracy on local train data 71.400
Round  35, Devices participated 10, Average loss 0.964, Central accuracy on global test data 50.140, Local accuracy on global train data 48.127, Local accuracy on local train data 67.676
Round  36, Devices participated 10, Average loss 0.961, Central accuracy on global test data 51.052, Local accuracy on global train data 50.972, Local accuracy on local train data 67.924
Round  37, Devices participated 10, Average loss 0.878, Central accuracy on global test data 51.312, Local accuracy on global train data 50.908, Local accuracy on local train data 70.360
Round  38, Devices participated 10, Average loss 0.984, Central accuracy on global test data 50.681, Local accuracy on global train data 48.652, Local accuracy on local train data 67.192
Round  39, Devices participated 10, Average loss 0.926, Central accuracy on global test data 50.911, Local accuracy on global train data 50.930, Local accuracy on local train data 69.192
Round  40, Devices participated 10, Average loss 0.898, Central accuracy on global test data 51.432, Local accuracy on global train data 50.701, Local accuracy on local train data 70.140
Round  41, Devices participated 10, Average loss 0.895, Central accuracy on global test data 52.244, Local accuracy on global train data 51.426, Local accuracy on local train data 70.444
Round  42, Devices participated 10, Average loss 0.960, Central accuracy on global test data 51.552, Local accuracy on global train data 51.577, Local accuracy on local train data 68.308
