['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '0', '--opt_mode', '0', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt0vr0_qn0.log']
2020-08-01 16:16:39.657868

Round   0, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.548, Local accuracy on global train data 10.430, Local accuracy on local train data 11.367
Round   1, Devices participated 10, Average loss 2.297, Central accuracy on global test data 15.365, Local accuracy on global train data 11.873, Local accuracy on local train data 12.527
Round   2, Devices participated 10, Average loss 2.209, Central accuracy on global test data 19.852, Local accuracy on global train data 19.082, Local accuracy on local train data 17.833
Round   3, Devices participated 10, Average loss 2.073, Central accuracy on global test data 25.731, Local accuracy on global train data 22.417, Local accuracy on local train data 21.740
Round   4, Devices participated 10, Average loss 1.995, Central accuracy on global test data 29.758, Local accuracy on global train data 25.063, Local accuracy on local train data 25.033
Round   5, Devices participated 10, Average loss 1.926, Central accuracy on global test data 34.365, Local accuracy on global train data 28.098, Local accuracy on local train data 28.487
Round   6, Devices participated 10, Average loss 1.842, Central accuracy on global test data 33.333, Local accuracy on global train data 30.845, Local accuracy on local train data 31.613
Round   7, Devices participated 10, Average loss 1.763, Central accuracy on global test data 37.440, Local accuracy on global train data 33.486, Local accuracy on local train data 34.527
Round   8, Devices participated 10, Average loss 1.706, Central accuracy on global test data 39.263, Local accuracy on global train data 34.226, Local accuracy on local train data 37.133
Round   9, Devices participated 10, Average loss 1.640, Central accuracy on global test data 41.106, Local accuracy on global train data 36.877, Local accuracy on local train data 40.307
Round  10, Devices participated 10, Average loss 1.586, Central accuracy on global test data 42.308, Local accuracy on global train data 38.647, Local accuracy on local train data 41.387
Round  11, Devices participated 10, Average loss 1.531, Central accuracy on global test data 44.621, Local accuracy on global train data 39.070, Local accuracy on local train data 43.913
Round  12, Devices participated 10, Average loss 1.491, Central accuracy on global test data 45.873, Local accuracy on global train data 41.604, Local accuracy on local train data 45.833
Round  13, Devices participated 10, Average loss 1.428, Central accuracy on global test data 46.314, Local accuracy on global train data 41.870, Local accuracy on local train data 48.180
Round  14, Devices participated 10, Average loss 1.375, Central accuracy on global test data 48.097, Local accuracy on global train data 43.237, Local accuracy on local train data 50.340
Round  15, Devices participated 10, Average loss 1.346, Central accuracy on global test data 48.468, Local accuracy on global train data 44.431, Local accuracy on local train data 51.687
Round  16, Devices participated 10, Average loss 1.302, Central accuracy on global test data 50.210, Local accuracy on global train data 44.812, Local accuracy on local train data 54.340
Round  17, Devices participated 10, Average loss 1.250, Central accuracy on global test data 50.771, Local accuracy on global train data 45.728, Local accuracy on local train data 55.233
Round  18, Devices participated 10, Average loss 1.210, Central accuracy on global test data 51.462, Local accuracy on global train data 47.168, Local accuracy on local train data 56.260
Round  19, Devices participated 10, Average loss 1.156, Central accuracy on global test data 51.332, Local accuracy on global train data 48.091, Local accuracy on local train data 59.313
Round  20, Devices participated 10, Average loss 1.147, Central accuracy on global test data 51.573, Local accuracy on global train data 48.291, Local accuracy on local train data 59.967
Round  21, Devices participated 10, Average loss 1.078, Central accuracy on global test data 52.204, Local accuracy on global train data 49.175, Local accuracy on local train data 62.107
Round  22, Devices participated 10, Average loss 1.021, Central accuracy on global test data 51.492, Local accuracy on global train data 49.011, Local accuracy on local train data 64.080
Round  23, Devices participated 10, Average loss 1.072, Central accuracy on global test data 52.504, Local accuracy on global train data 49.553, Local accuracy on local train data 63.573
Round  24, Devices participated 10, Average loss 0.948, Central accuracy on global test data 52.584, Local accuracy on global train data 50.452, Local accuracy on local train data 67.293
Round  25, Devices participated 10, Average loss 0.949, Central accuracy on global test data 52.835, Local accuracy on global train data 51.851, Local accuracy on local train data 67.487
Round  26, Devices participated 10, Average loss 0.930, Central accuracy on global test data 52.614, Local accuracy on global train data 51.753, Local accuracy on local train data 68.887
Round  27, Devices participated 10, Average loss 0.931, Central accuracy on global test data 53.055, Local accuracy on global train data 52.703, Local accuracy on local train data 68.820
Round  28, Devices participated 10, Average loss 0.945, Central accuracy on global test data 52.965, Local accuracy on global train data 53.027, Local accuracy on local train data 68.353
Round  29, Devices participated 10, Average loss 0.820, Central accuracy on global test data 53.536, Local accuracy on global train data 53.379, Local accuracy on local train data 72.347
Round  30, Devices participated 10, Average loss 0.888, Central accuracy on global test data 54.046, Local accuracy on global train data 53.345, Local accuracy on local train data 70.953
Round  31, Devices participated 10, Average loss 0.808, Central accuracy on global test data 54.036, Local accuracy on global train data 54.163, Local accuracy on local train data 73.547
Round  32, Devices participated 10, Average loss 0.802, Central accuracy on global test data 53.736, Local accuracy on global train data 54.663, Local accuracy on local train data 74.127
Round  33, Devices participated 10, Average loss 0.723, Central accuracy on global test data 53.896, Local accuracy on global train data 54.749, Local accuracy on local train data 76.507
Round  34, Devices participated 10, Average loss 0.837, Central accuracy on global test data 53.766, Local accuracy on global train data 54.302, Local accuracy on local train data 73.147
Round  35, Devices participated 10, Average loss 0.685, Central accuracy on global test data 54.207, Local accuracy on global train data 55.681, Local accuracy on local train data 77.640
Round  36, Devices participated 10, Average loss 0.743, Central accuracy on global test data 53.846, Local accuracy on global train data 56.050, Local accuracy on local train data 76.760
Round  37, Devices participated 10, Average loss 0.784, Central accuracy on global test data 54.167, Local accuracy on global train data 56.296, Local accuracy on local train data 75.127
Round  38, Devices participated 10, Average loss 0.560, Central accuracy on global test data 54.317, Local accuracy on global train data 56.665, Local accuracy on local train data 82.540
Round  39, Devices participated 10, Average loss 0.716, Central accuracy on global test data 54.016, Local accuracy on global train data 57.100, Local accuracy on local train data 77.680
Round  40, Devices participated 10, Average loss 0.709, Central accuracy on global test data 54.547, Local accuracy on global train data 57.114, Local accuracy on local train data 77.687
Round  41, Devices participated 10, Average loss 0.670, Central accuracy on global test data 54.497, Local accuracy on global train data 57.166, Local accuracy on local train data 78.893
Round  42, Devices participated 10, Average loss 0.647, Central accuracy on global test data 54.647, Local accuracy on global train data 57.729, Local accuracy on local train data 79.713
Round  43, Devices participated 10, Average loss 0.685, Central accuracy on global test data 54.036, Local accuracy on global train data 57.312, Local accuracy on local train data 78.473
