['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '0', '--opt_mode', '0', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt0vr0_qn0.log']
2020-08-01 16:16:37.029317

Round   0, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.737, Local accuracy on global train data 10.486, Local accuracy on local train data 10.060
Round   1, Devices participated 10, Average loss 2.304, Central accuracy on global test data 9.986, Local accuracy on global train data 10.437, Local accuracy on local train data 11.280
Round   2, Devices participated 10, Average loss 2.293, Central accuracy on global test data 14.353, Local accuracy on global train data 12.214, Local accuracy on local train data 10.920
Round   3, Devices participated 10, Average loss 2.275, Central accuracy on global test data 15.635, Local accuracy on global train data 15.593, Local accuracy on local train data 14.580
Round   4, Devices participated 10, Average loss 2.182, Central accuracy on global test data 21.374, Local accuracy on global train data 20.391, Local accuracy on local train data 19.000
Round   5, Devices participated 10, Average loss 2.088, Central accuracy on global test data 23.037, Local accuracy on global train data 21.682, Local accuracy on local train data 21.660
Round   6, Devices participated 10, Average loss 2.393, Central accuracy on global test data 19.461, Local accuracy on global train data 21.213, Local accuracy on local train data 18.640
Round   7, Devices participated 10, Average loss 2.164, Central accuracy on global test data 23.868, Local accuracy on global train data 20.894, Local accuracy on local train data 20.360
Round   8, Devices participated 10, Average loss 2.070, Central accuracy on global test data 22.827, Local accuracy on global train data 23.728, Local accuracy on local train data 22.880
Round   9, Devices participated 10, Average loss 2.075, Central accuracy on global test data 27.825, Local accuracy on global train data 23.999, Local accuracy on local train data 23.780
Round  10, Devices participated 10, Average loss 2.000, Central accuracy on global test data 29.337, Local accuracy on global train data 26.536, Local accuracy on local train data 26.820
Round  11, Devices participated 10, Average loss 1.966, Central accuracy on global test data 28.496, Local accuracy on global train data 27.976, Local accuracy on local train data 26.340
Round  12, Devices participated 10, Average loss 1.968, Central accuracy on global test data 30.459, Local accuracy on global train data 28.298, Local accuracy on local train data 26.740
Round  13, Devices participated 10, Average loss 1.908, Central accuracy on global test data 33.263, Local accuracy on global train data 30.142, Local accuracy on local train data 29.340
Round  14, Devices participated 10, Average loss 1.858, Central accuracy on global test data 32.943, Local accuracy on global train data 31.028, Local accuracy on local train data 30.160
Round  15, Devices participated 10, Average loss 1.860, Central accuracy on global test data 35.216, Local accuracy on global train data 33.145, Local accuracy on local train data 32.840
Round  16, Devices participated 10, Average loss 1.798, Central accuracy on global test data 34.425, Local accuracy on global train data 33.396, Local accuracy on local train data 33.700
Round  17, Devices participated 10, Average loss 1.767, Central accuracy on global test data 37.310, Local accuracy on global train data 34.539, Local accuracy on local train data 34.900
Round  18, Devices participated 10, Average loss 1.706, Central accuracy on global test data 39.734, Local accuracy on global train data 36.821, Local accuracy on local train data 37.180
Round  19, Devices participated 10, Average loss 1.656, Central accuracy on global test data 40.905, Local accuracy on global train data 37.463, Local accuracy on local train data 38.640
Round  20, Devices participated 10, Average loss 1.670, Central accuracy on global test data 41.026, Local accuracy on global train data 39.905, Local accuracy on local train data 38.660
Round  21, Devices participated 10, Average loss 1.638, Central accuracy on global test data 40.134, Local accuracy on global train data 40.100, Local accuracy on local train data 40.860
Round  22, Devices participated 10, Average loss 1.584, Central accuracy on global test data 43.700, Local accuracy on global train data 41.960, Local accuracy on local train data 42.140
Round  23, Devices participated 10, Average loss 1.577, Central accuracy on global test data 45.282, Local accuracy on global train data 42.383, Local accuracy on local train data 43.580
Round  24, Devices participated 10, Average loss 1.514, Central accuracy on global test data 46.004, Local accuracy on global train data 43.521, Local accuracy on local train data 44.980
Round  25, Devices participated 10, Average loss 1.529, Central accuracy on global test data 46.905, Local accuracy on global train data 44.282, Local accuracy on local train data 44.280
Round  26, Devices participated 10, Average loss 1.502, Central accuracy on global test data 47.376, Local accuracy on global train data 45.085, Local accuracy on local train data 45.780
Round  27, Devices participated 10, Average loss 1.502, Central accuracy on global test data 48.057, Local accuracy on global train data 45.579, Local accuracy on local train data 45.660
Round  28, Devices participated 10, Average loss 1.485, Central accuracy on global test data 48.548, Local accuracy on global train data 47.063, Local accuracy on local train data 46.280
Round  29, Devices participated 10, Average loss 1.454, Central accuracy on global test data 49.499, Local accuracy on global train data 48.291, Local accuracy on local train data 46.980
Round  30, Devices participated 10, Average loss 1.451, Central accuracy on global test data 48.998, Local accuracy on global train data 47.146, Local accuracy on local train data 47.920
Round  31, Devices participated 10, Average loss 1.433, Central accuracy on global test data 50.180, Local accuracy on global train data 48.467, Local accuracy on local train data 48.920
