['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '1', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt1vr0.log']
2020-08-01 16:16:40.664438

Round  44, Devices participated 10, Average loss 1.081, Central accuracy on global test data 53.125, Local accuracy on global train data 46.846, Local accuracy on local train data 62.873
Round  45, Devices participated 10, Average loss 1.100, Central accuracy on global test data 53.005, Local accuracy on global train data 48.269, Local accuracy on local train data 62.233
Round  46, Devices participated 10, Average loss 1.025, Central accuracy on global test data 53.235, Local accuracy on global train data 48.953, Local accuracy on local train data 64.360
Round  47, Devices participated 10, Average loss 0.995, Central accuracy on global test data 53.586, Local accuracy on global train data 49.204, Local accuracy on local train data 65.493
Round  48, Devices participated 10, Average loss 1.024, Central accuracy on global test data 54.107, Local accuracy on global train data 50.068, Local accuracy on local train data 64.780
Round  49, Devices participated 10, Average loss 1.005, Central accuracy on global test data 52.965, Local accuracy on global train data 48.562, Local accuracy on local train data 65.713
Round  50, Devices participated 10, Average loss 1.000, Central accuracy on global test data 54.507, Local accuracy on global train data 50.845, Local accuracy on local train data 65.787
Round  51, Devices participated 10, Average loss 1.010, Central accuracy on global test data 54.077, Local accuracy on global train data 49.702, Local accuracy on local train data 65.087
Round  52, Devices participated 10, Average loss 0.966, Central accuracy on global test data 54.708, Local accuracy on global train data 52.544, Local accuracy on local train data 66.587
Round  53, Devices participated 10, Average loss 0.962, Central accuracy on global test data 54.838, Local accuracy on global train data 50.303, Local accuracy on local train data 67.933
Round  54, Devices participated 10, Average loss 0.899, Central accuracy on global test data 54.617, Local accuracy on global train data 51.165, Local accuracy on local train data 69.153
Round  55, Devices participated 10, Average loss 0.921, Central accuracy on global test data 54.597, Local accuracy on global train data 51.863, Local accuracy on local train data 69.087
Round  56, Devices participated 10, Average loss 0.911, Central accuracy on global test data 54.738, Local accuracy on global train data 51.267, Local accuracy on local train data 69.207
Round  57, Devices participated 10, Average loss 0.898, Central accuracy on global test data 55.178, Local accuracy on global train data 52.107, Local accuracy on local train data 70.153
Round  58, Devices participated 10, Average loss 0.894, Central accuracy on global test data 55.248, Local accuracy on global train data 51.938, Local accuracy on local train data 70.200
Round  59, Devices participated 10, Average loss 0.935, Central accuracy on global test data 55.098, Local accuracy on global train data 52.571, Local accuracy on local train data 68.267
Round  60, Devices participated 10, Average loss 0.840, Central accuracy on global test data 55.699, Local accuracy on global train data 53.638, Local accuracy on local train data 71.787
Round  61, Devices participated 10, Average loss 0.818, Central accuracy on global test data 55.329, Local accuracy on global train data 52.771, Local accuracy on local train data 73.027
Round  62, Devices participated 10, Average loss 0.887, Central accuracy on global test data 55.228, Local accuracy on global train data 53.564, Local accuracy on local train data 70.740
Round  63, Devices participated 10, Average loss 0.851, Central accuracy on global test data 55.088, Local accuracy on global train data 52.878, Local accuracy on local train data 71.873
Round  64, Devices participated 10, Average loss 0.802, Central accuracy on global test data 55.789, Local accuracy on global train data 54.417, Local accuracy on local train data 73.060
Round  65, Devices participated 10, Average loss 0.804, Central accuracy on global test data 55.479, Local accuracy on global train data 53.779, Local accuracy on local train data 73.427
Round  66, Devices participated 10, Average loss 0.802, Central accuracy on global test data 55.308, Local accuracy on global train data 54.453, Local accuracy on local train data 73.607
Round  67, Devices participated 10, Average loss 0.799, Central accuracy on global test data 55.238, Local accuracy on global train data 53.745, Local accuracy on local train data 73.600
Round  68, Devices participated 10, Average loss 0.882, Central accuracy on global test data 55.479, Local accuracy on global train data 54.453, Local accuracy on local train data 71.353
Round  69, Devices participated 10, Average loss 0.775, Central accuracy on global test data 55.649, Local accuracy on global train data 55.322, Local accuracy on local train data 74.627
Round  70, Devices participated 10, Average loss 0.769, Central accuracy on global test data 55.940, Local accuracy on global train data 54.929, Local accuracy on local train data 75.167
Round  71, Devices participated 10, Average loss 0.803, Central accuracy on global test data 55.759, Local accuracy on global train data 54.390, Local accuracy on local train data 73.653
Round  72, Devices participated 10, Average loss 0.731, Central accuracy on global test data 56.210, Local accuracy on global train data 55.977, Local accuracy on local train data 76.253
Round  73, Devices participated 10, Average loss 0.759, Central accuracy on global test data 55.929, Local accuracy on global train data 54.961, Local accuracy on local train data 75.587
Round  74, Devices participated 10, Average loss 0.773, Central accuracy on global test data 55.519, Local accuracy on global train data 55.339, Local accuracy on local train data 74.887
Round  75, Devices participated 10, Average loss 0.784, Central accuracy on global test data 56.230, Local accuracy on global train data 55.793, Local accuracy on local train data 74.240
Round  76, Devices participated 10, Average loss 0.778, Central accuracy on global test data 55.629, Local accuracy on global train data 55.820, Local accuracy on local train data 74.600
Round  77, Devices participated 10, Average loss 0.766, Central accuracy on global test data 55.889, Local accuracy on global train data 55.784, Local accuracy on local train data 75.187
Round  78, Devices participated 10, Average loss 0.717, Central accuracy on global test data 55.679, Local accuracy on global train data 55.894, Local accuracy on local train data 76.940
Round  79, Devices participated 10, Average loss 0.734, Central accuracy on global test data 55.529, Local accuracy on global train data 55.847, Local accuracy on local train data 76.440
Round  80, Devices participated 10, Average loss 0.761, Central accuracy on global test data 55.429, Local accuracy on global train data 56.506, Local accuracy on local train data 75.360
Round  81, Devices participated 10, Average loss 0.740, Central accuracy on global test data 55.659, Local accuracy on global train data 56.321, Local accuracy on local train data 76.233
Round  82, Devices participated 10, Average loss 0.712, Central accuracy on global test data 56.180, Local accuracy on global train data 56.799, Local accuracy on local train data 77.313
Round  83, Devices participated 10, Average loss 0.704, Central accuracy on global test data 55.759, Local accuracy on global train data 57.026, Local accuracy on local train data 77.527
Round  84, Devices participated 10, Average loss 0.702, Central accuracy on global test data 55.849, Local accuracy on global train data 57.268, Local accuracy on local train data 77.533
Round  85, Devices participated 10, Average loss 0.711, Central accuracy on global test data 56.120, Local accuracy on global train data 57.297, Local accuracy on local train data 77.460
Round  86, Devices participated 10, Average loss 0.700, Central accuracy on global test data 55.899, Local accuracy on global train data 57.104, Local accuracy on local train data 77.333
Round  87, Devices participated 10, Average loss 0.707, Central accuracy on global test data 55.980, Local accuracy on global train data 57.747, Local accuracy on local train data 77.627
Round  88, Devices participated 10, Average loss 0.687, Central accuracy on global test data 56.300, Local accuracy on global train data 58.210, Local accuracy on local train data 78.033
Round  89, Devices participated 10, Average loss 0.707, Central accuracy on global test data 55.829, Local accuracy on global train data 57.361, Local accuracy on local train data 77.473
Round  90, Devices participated 10, Average loss 0.640, Central accuracy on global test data 56.000, Local accuracy on global train data 58.145, Local accuracy on local train data 79.807
Round  91, Devices participated 10, Average loss 0.640, Central accuracy on global test data 55.849, Local accuracy on global train data 57.698, Local accuracy on local train data 79.620
Round  92, Devices participated 10, Average loss 0.728, Central accuracy on global test data 55.679, Local accuracy on global train data 58.079, Local accuracy on local train data 77.133
Round  93, Devices participated 10, Average loss 0.708, Central accuracy on global test data 56.120, Local accuracy on global train data 57.676, Local accuracy on local train data 77.573
Round  94, Devices participated 10, Average loss 0.681, Central accuracy on global test data 56.180, Local accuracy on global train data 58.635, Local accuracy on local train data 78.287
Round  95, Devices participated 10, Average loss 0.648, Central accuracy on global test data 56.170, Local accuracy on global train data 58.577, Local accuracy on local train data 79.660
Round  96, Devices participated 10, Average loss 0.684, Central accuracy on global test data 56.180, Local accuracy on global train data 58.728, Local accuracy on local train data 78.193
Round  97, Devices participated 10, Average loss 0.614, Central accuracy on global test data 56.290, Local accuracy on global train data 58.926, Local accuracy on local train data 80.373
Round  98, Devices participated 10, Average loss 0.722, Central accuracy on global test data 55.829, Local accuracy on global train data 58.120, Local accuracy on local train data 77.087
