['main_fedlisa.py', '--dataset', 'mnist', '--model', 'mlp', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '0', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_mnistnoniid_mlp_bs50ep5_opt0vr0.log']
2020-08-02 00:10:48.397266

Round   0, Devices participated 10, Average loss 0.400, Central accuracy on global test data 27.143, Local accuracy on global train data 20.649, Local accuracy on local train data 93.957
Round   1, Devices participated 10, Average loss 0.094, Central accuracy on global test data 40.094, Local accuracy on global train data 19.248, Local accuracy on local train data 97.300
Round   2, Devices participated 10, Average loss 0.091, Central accuracy on global test data 56.731, Local accuracy on global train data 20.391, Local accuracy on local train data 97.347
Round   3, Devices participated 10, Average loss 0.062, Central accuracy on global test data 61.959, Local accuracy on global train data 22.449, Local accuracy on local train data 98.363
Round   4, Devices participated 10, Average loss 0.095, Central accuracy on global test data 76.733, Local accuracy on global train data 24.717, Local accuracy on local train data 97.873
Round   5, Devices participated 10, Average loss 0.127, Central accuracy on global test data 82.562, Local accuracy on global train data 27.156, Local accuracy on local train data 96.990
Round   6, Devices participated 10, Average loss 0.061, Central accuracy on global test data 81.510, Local accuracy on global train data 37.888, Local accuracy on local train data 98.503
Round   7, Devices participated 10, Average loss 0.035, Central accuracy on global test data 84.255, Local accuracy on global train data 48.931, Local accuracy on local train data 99.067
Round   8, Devices participated 10, Average loss 0.037, Central accuracy on global test data 87.119, Local accuracy on global train data 43.123, Local accuracy on local train data 98.980
Round   9, Devices participated 10, Average loss 0.018, Central accuracy on global test data 87.420, Local accuracy on global train data 52.739, Local accuracy on local train data 99.507
Round  10, Devices participated 10, Average loss 0.025, Central accuracy on global test data 87.200, Local accuracy on global train data 51.943, Local accuracy on local train data 99.313
Round  11, Devices participated 10, Average loss 0.022, Central accuracy on global test data 85.517, Local accuracy on global train data 51.353, Local accuracy on local train data 99.350
Round  12, Devices participated 10, Average loss 0.050, Central accuracy on global test data 81.330, Local accuracy on global train data 58.140, Local accuracy on local train data 98.910
Round  13, Devices participated 10, Average loss 0.025, Central accuracy on global test data 90.084, Local accuracy on global train data 60.168, Local accuracy on local train data 99.320
