['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '0', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_qn0.log']
2020-08-01 16:16:41.853034

Round   0, Devices participated 10, Average loss 2.300, Central accuracy on global test data 10.216, Local accuracy on global train data 10.430, Local accuracy on local train data 11.367
Round   1, Devices participated 10, Average loss 2.301, Central accuracy on global test data 13.902, Local accuracy on global train data 10.347, Local accuracy on local train data 11.733
Round   2, Devices participated 10, Average loss 2.284, Central accuracy on global test data 15.675, Local accuracy on global train data 16.113, Local accuracy on local train data 15.493
Round   3, Devices participated 10, Average loss 2.241, Central accuracy on global test data 14.052, Local accuracy on global train data 18.213, Local accuracy on local train data 16.933
Round   4, Devices participated 10, Average loss 2.117, Central accuracy on global test data 18.119, Local accuracy on global train data 20.732, Local accuracy on local train data 21.060
Round   5, Devices participated 10, Average loss 2.079, Central accuracy on global test data 22.045, Local accuracy on global train data 23.650, Local accuracy on local train data 22.160
Round   6, Devices participated 10, Average loss 2.046, Central accuracy on global test data 28.095, Local accuracy on global train data 23.369, Local accuracy on local train data 24.200
Round   7, Devices participated 10, Average loss 2.001, Central accuracy on global test data 27.915, Local accuracy on global train data 26.567, Local accuracy on local train data 25.507
Round   8, Devices participated 10, Average loss 1.961, Central accuracy on global test data 30.379, Local accuracy on global train data 27.966, Local accuracy on local train data 27.280
Round   9, Devices participated 10, Average loss 1.930, Central accuracy on global test data 32.883, Local accuracy on global train data 28.711, Local accuracy on local train data 28.493
Round  10, Devices participated 10, Average loss 1.870, Central accuracy on global test data 35.347, Local accuracy on global train data 30.884, Local accuracy on local train data 30.567
Round  11, Devices participated 10, Average loss 1.835, Central accuracy on global test data 36.058, Local accuracy on global train data 31.223, Local accuracy on local train data 31.453
Round  12, Devices participated 10, Average loss 1.809, Central accuracy on global test data 36.769, Local accuracy on global train data 33.237, Local accuracy on local train data 33.493
Round  13, Devices participated 10, Average loss 1.763, Central accuracy on global test data 37.510, Local accuracy on global train data 33.752, Local accuracy on local train data 34.727
Round  14, Devices participated 10, Average loss 1.721, Central accuracy on global test data 38.722, Local accuracy on global train data 33.984, Local accuracy on local train data 36.667
Round  15, Devices participated 10, Average loss 1.731, Central accuracy on global test data 39.543, Local accuracy on global train data 35.857, Local accuracy on local train data 36.193
Round  16, Devices participated 10, Average loss 1.703, Central accuracy on global test data 40.274, Local accuracy on global train data 36.521, Local accuracy on local train data 37.607
Round  17, Devices participated 10, Average loss 1.664, Central accuracy on global test data 41.236, Local accuracy on global train data 37.502, Local accuracy on local train data 38.813
Round  18, Devices participated 10, Average loss 1.623, Central accuracy on global test data 42.057, Local accuracy on global train data 38.203, Local accuracy on local train data 40.047
Round  19, Devices participated 10, Average loss 1.592, Central accuracy on global test data 43.389, Local accuracy on global train data 39.519, Local accuracy on local train data 41.180
Round  20, Devices participated 10, Average loss 1.579, Central accuracy on global test data 44.000, Local accuracy on global train data 39.978, Local accuracy on local train data 42.340
Round  21, Devices participated 10, Average loss 1.558, Central accuracy on global test data 45.252, Local accuracy on global train data 41.006, Local accuracy on local train data 44.013
Round  22, Devices participated 10, Average loss 1.526, Central accuracy on global test data 45.783, Local accuracy on global train data 42.334, Local accuracy on local train data 44.947
Round  23, Devices participated 10, Average loss 1.512, Central accuracy on global test data 46.484, Local accuracy on global train data 41.458, Local accuracy on local train data 45.620
Round  24, Devices participated 10, Average loss 1.472, Central accuracy on global test data 47.416, Local accuracy on global train data 43.828, Local accuracy on local train data 46.220
Round  25, Devices participated 10, Average loss 1.463, Central accuracy on global test data 48.327, Local accuracy on global train data 44.678, Local accuracy on local train data 46.893
Round  26, Devices participated 10, Average loss 1.451, Central accuracy on global test data 48.798, Local accuracy on global train data 44.719, Local accuracy on local train data 47.593
Round  27, Devices participated 10, Average loss 1.438, Central accuracy on global test data 49.119, Local accuracy on global train data 45.913, Local accuracy on local train data 49.047
Round  28, Devices participated 10, Average loss 1.428, Central accuracy on global test data 49.780, Local accuracy on global train data 47.090, Local accuracy on local train data 48.447
