['main_fedlisa.py', '--dataset', 'mnist', '--model', 'mlp', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '1', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_mnistnoniid_mlp_bs50ep3_opt1vr0.log']
2020-08-02 00:10:44.635448

Round   0, Devices participated 10, Average loss 0.702, Central accuracy on global test data 25.521, Local accuracy on global train data 21.079, Local accuracy on local train data 89.900
Round   1, Devices participated 10, Average loss 0.148, Central accuracy on global test data 45.192, Local accuracy on global train data 19.084, Local accuracy on local train data 95.906
Round   2, Devices participated 10, Average loss 0.162, Central accuracy on global test data 54.447, Local accuracy on global train data 19.888, Local accuracy on local train data 95.572
Round   3, Devices participated 10, Average loss 0.098, Central accuracy on global test data 58.033, Local accuracy on global train data 21.211, Local accuracy on local train data 97.206
Round   4, Devices participated 10, Average loss 0.120, Central accuracy on global test data 71.144, Local accuracy on global train data 22.244, Local accuracy on local train data 96.828
Round   5, Devices participated 10, Average loss 0.218, Central accuracy on global test data 78.926, Local accuracy on global train data 21.541, Local accuracy on local train data 94.050
Round   6, Devices participated 10, Average loss 0.103, Central accuracy on global test data 76.562, Local accuracy on global train data 28.767, Local accuracy on local train data 97.261
Round   7, Devices participated 10, Average loss 0.055, Central accuracy on global test data 79.487, Local accuracy on global train data 36.187, Local accuracy on local train data 98.411
Round   8, Devices participated 10, Average loss 0.064, Central accuracy on global test data 83.333, Local accuracy on global train data 31.199, Local accuracy on local train data 98.128
Round   9, Devices participated 10, Average loss 0.036, Central accuracy on global test data 83.634, Local accuracy on global train data 38.142, Local accuracy on local train data 99.028
Round  10, Devices participated 10, Average loss 0.072, Central accuracy on global test data 83.093, Local accuracy on global train data 36.924, Local accuracy on local train data 98.178
Round  11, Devices participated 10, Average loss 0.062, Central accuracy on global test data 81.490, Local accuracy on global train data 38.096, Local accuracy on local train data 98.217
Round  12, Devices participated 10, Average loss 0.092, Central accuracy on global test data 78.345, Local accuracy on global train data 45.854, Local accuracy on local train data 97.461
Round  13, Devices participated 10, Average loss 0.042, Central accuracy on global test data 82.712, Local accuracy on global train data 47.629, Local accuracy on local train data 98.889
Round  14, Devices participated 10, Average loss 0.085, Central accuracy on global test data 89.714, Local accuracy on global train data 43.071, Local accuracy on local train data 97.722
Round  15, Devices participated 10, Average loss 0.097, Central accuracy on global test data 84.445, Local accuracy on global train data 37.839, Local accuracy on local train data 97.461
Round  16, Devices participated 10, Average loss 0.045, Central accuracy on global test data 89.794, Local accuracy on global train data 52.544, Local accuracy on local train data 98.778
Round  17, Devices participated 10, Average loss 0.023, Central accuracy on global test data 84.255, Local accuracy on global train data 57.651, Local accuracy on local train data 99.422
Round  18, Devices participated 10, Average loss 0.085, Central accuracy on global test data 90.114, Local accuracy on global train data 50.188, Local accuracy on local train data 97.922
