['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '1', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep5_opt1vr1.log']
2020-08-01 16:16:43.448608

Round   0, Devices participated 10, Average loss 2.298, Central accuracy on global test data 12.460, Local accuracy on global train data 10.759, Local accuracy on local train data 11.792
Round   1, Devices participated 10, Average loss 2.278, Central accuracy on global test data 18.820, Local accuracy on global train data 16.440, Local accuracy on local train data 15.112
Round   2, Devices participated 10, Average loss 2.139, Central accuracy on global test data 26.072, Local accuracy on global train data 22.295, Local accuracy on local train data 20.160
Round   3, Devices participated 10, Average loss 2.025, Central accuracy on global test data 28.205, Local accuracy on global train data 23.003, Local accuracy on local train data 24.268
Round   4, Devices participated 10, Average loss 1.950, Central accuracy on global test data 31.721, Local accuracy on global train data 25.940, Local accuracy on local train data 27.604
Round   5, Devices participated 10, Average loss 1.886, Central accuracy on global test data 33.053, Local accuracy on global train data 29.668, Local accuracy on local train data 30.024
Round   6, Devices participated 10, Average loss 1.823, Central accuracy on global test data 36.699, Local accuracy on global train data 30.620, Local accuracy on local train data 33.076
Round   7, Devices participated 10, Average loss 1.765, Central accuracy on global test data 38.281, Local accuracy on global train data 33.660, Local accuracy on local train data 34.872
Round   8, Devices participated 10, Average loss 1.714, Central accuracy on global test data 38.982, Local accuracy on global train data 34.604, Local accuracy on local train data 37.528
Round   9, Devices participated 10, Average loss 1.665, Central accuracy on global test data 40.535, Local accuracy on global train data 34.023, Local accuracy on local train data 39.112
Round  10, Devices participated 10, Average loss 1.590, Central accuracy on global test data 42.418, Local accuracy on global train data 36.543, Local accuracy on local train data 41.860
Round  11, Devices participated 10, Average loss 1.576, Central accuracy on global test data 44.171, Local accuracy on global train data 38.179, Local accuracy on local train data 42.672
Round  12, Devices participated 10, Average loss 1.536, Central accuracy on global test data 44.742, Local accuracy on global train data 38.752, Local accuracy on local train data 44.648
Round  13, Devices participated 10, Average loss 1.454, Central accuracy on global test data 47.105, Local accuracy on global train data 40.022, Local accuracy on local train data 47.672
Round  14, Devices participated 10, Average loss 1.417, Central accuracy on global test data 47.536, Local accuracy on global train data 41.572, Local accuracy on local train data 48.880
Round  15, Devices participated 10, Average loss 1.408, Central accuracy on global test data 48.488, Local accuracy on global train data 40.872, Local accuracy on local train data 50.092
Round  16, Devices participated 10, Average loss 1.347, Central accuracy on global test data 49.349, Local accuracy on global train data 42.417, Local accuracy on local train data 52.388
Round  17, Devices participated 10, Average loss 1.347, Central accuracy on global test data 50.421, Local accuracy on global train data 45.325, Local accuracy on local train data 52.192
Round  18, Devices participated 10, Average loss 1.277, Central accuracy on global test data 50.771, Local accuracy on global train data 45.830, Local accuracy on local train data 54.944
Round  19, Devices participated 10, Average loss 1.227, Central accuracy on global test data 50.651, Local accuracy on global train data 44.556, Local accuracy on local train data 56.976
Round  20, Devices participated 10, Average loss 1.219, Central accuracy on global test data 51.202, Local accuracy on global train data 45.278, Local accuracy on local train data 56.944
Round  21, Devices participated 10, Average loss 1.207, Central accuracy on global test data 52.033, Local accuracy on global train data 45.894, Local accuracy on local train data 58.080
Round  22, Devices participated 10, Average loss 1.197, Central accuracy on global test data 52.274, Local accuracy on global train data 45.728, Local accuracy on local train data 58.188
Round  23, Devices participated 10, Average loss 1.151, Central accuracy on global test data 52.644, Local accuracy on global train data 47.407, Local accuracy on local train data 60.076
Round  24, Devices participated 10, Average loss 1.128, Central accuracy on global test data 52.855, Local accuracy on global train data 47.686, Local accuracy on local train data 60.508
Round  25, Devices participated 10, Average loss 1.144, Central accuracy on global test data 52.594, Local accuracy on global train data 46.985, Local accuracy on local train data 59.636
Round  26, Devices participated 10, Average loss 1.101, Central accuracy on global test data 53.125, Local accuracy on global train data 49.055, Local accuracy on local train data 62.628
Round  27, Devices participated 10, Average loss 1.029, Central accuracy on global test data 53.255, Local accuracy on global train data 46.829, Local accuracy on local train data 64.944
Round  28, Devices participated 10, Average loss 1.065, Central accuracy on global test data 52.023, Local accuracy on global train data 46.409, Local accuracy on local train data 64.004
Round  29, Devices participated 10, Average loss 1.119, Central accuracy on global test data 52.905, Local accuracy on global train data 48.125, Local accuracy on local train data 61.364
Round  30, Devices participated 10, Average loss 1.030, Central accuracy on global test data 53.596, Local accuracy on global train data 49.226, Local accuracy on local train data 65.168
Round  31, Devices participated 10, Average loss 1.038, Central accuracy on global test data 53.385, Local accuracy on global train data 47.744, Local accuracy on local train data 64.548
Round  32, Devices participated 10, Average loss 1.023, Central accuracy on global test data 51.833, Local accuracy on global train data 46.484, Local accuracy on local train data 65.604
