['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt0vr1_qn1.log']
2020-08-01 16:16:45.491477

['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt0vr1_qn1.log']
2020-08-01 16:24:58.750467

Round   0, Devices participated 10, Average loss 2.300, Central accuracy on global test data 11.599, Local accuracy on global train data 10.430, Local accuracy on local train data 11.367
Round   1, Devices participated 10, Average loss 2.298, Central accuracy on global test data 13.151, Local accuracy on global train data 11.577, Local accuracy on local train data 12.447
Round   2, Devices participated 10, Average loss 2.279, Central accuracy on global test data 16.957, Local accuracy on global train data 16.301, Local accuracy on local train data 15.220
Round   3, Devices participated 10, Average loss 2.194, Central accuracy on global test data 19.661, Local accuracy on global train data 19.294, Local accuracy on local train data 18.500
Round   4, Devices participated 10, Average loss 2.070, Central accuracy on global test data 26.012, Local accuracy on global train data 21.438, Local accuracy on local train data 23.013
Round   5, Devices participated 10, Average loss 2.031, Central accuracy on global test data 28.085, Local accuracy on global train data 25.039, Local accuracy on local train data 24.073
Round   6, Devices participated 10, Average loss 1.979, Central accuracy on global test data 29.778, Local accuracy on global train data 25.879, Local accuracy on local train data 26.767
Round   7, Devices participated 10, Average loss 1.933, Central accuracy on global test data 31.881, Local accuracy on global train data 28.450, Local accuracy on local train data 28.173
Round   8, Devices participated 10, Average loss 1.889, Central accuracy on global test data 34.095, Local accuracy on global train data 30.642, Local accuracy on local train data 30.413
Round   9, Devices participated 10, Average loss 1.861, Central accuracy on global test data 36.468, Local accuracy on global train data 31.011, Local accuracy on local train data 31.907
Round  10, Devices participated 10, Average loss 1.792, Central accuracy on global test data 37.450, Local accuracy on global train data 33.938, Local accuracy on local train data 33.660
Round  11, Devices participated 10, Average loss 1.763, Central accuracy on global test data 38.522, Local accuracy on global train data 34.077, Local accuracy on local train data 34.427
Round  12, Devices participated 10, Average loss 1.727, Central accuracy on global test data 38.812, Local accuracy on global train data 35.649, Local accuracy on local train data 36.880
Round  13, Devices participated 10, Average loss 1.675, Central accuracy on global test data 40.725, Local accuracy on global train data 36.421, Local accuracy on local train data 38.540
Round  14, Devices participated 10, Average loss 1.626, Central accuracy on global test data 41.987, Local accuracy on global train data 37.695, Local accuracy on local train data 40.667
Round  15, Devices participated 10, Average loss 1.629, Central accuracy on global test data 42.869, Local accuracy on global train data 39.048, Local accuracy on local train data 40.540
Round  16, Devices participated 10, Average loss 1.590, Central accuracy on global test data 44.351, Local accuracy on global train data 39.490, Local accuracy on local train data 42.320
Round  17, Devices participated 10, Average loss 1.558, Central accuracy on global test data 45.593, Local accuracy on global train data 41.125, Local accuracy on local train data 43.200
Round  18, Devices participated 10, Average loss 1.498, Central accuracy on global test data 46.374, Local accuracy on global train data 42.520, Local accuracy on local train data 45.707
Round  19, Devices participated 10, Average loss 1.473, Central accuracy on global test data 47.226, Local accuracy on global train data 43.574, Local accuracy on local train data 46.560
Round  20, Devices participated 10, Average loss 1.468, Central accuracy on global test data 48.117, Local accuracy on global train data 43.975, Local accuracy on local train data 47.033
Round  21, Devices participated 10, Average loss 1.440, Central accuracy on global test data 48.578, Local accuracy on global train data 44.895, Local accuracy on local train data 48.053
Round  22, Devices participated 10, Average loss 1.426, Central accuracy on global test data 49.189, Local accuracy on global train data 45.366, Local accuracy on local train data 48.620
Round  23, Devices participated 10, Average loss 1.411, Central accuracy on global test data 49.880, Local accuracy on global train data 45.818, Local accuracy on local train data 49.773
Round  24, Devices participated 10, Average loss 1.374, Central accuracy on global test data 50.581, Local accuracy on global train data 46.492, Local accuracy on local train data 50.500
Round  25, Devices participated 10, Average loss 1.371, Central accuracy on global test data 51.262, Local accuracy on global train data 48.054, Local accuracy on local train data 50.320
Round  26, Devices participated 10, Average loss 1.355, Central accuracy on global test data 51.502, Local accuracy on global train data 47.681, Local accuracy on local train data 51.667
