['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '0', '--opt_mode', '2', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep5_opt2vr0_qn0.log']
2020-08-01 16:16:43.871019

Round   0, Devices participated 10, Average loss 2.298, Central accuracy on global test data 10.246, Local accuracy on global train data 10.759, Local accuracy on local train data 11.792
Round   1, Devices participated 10, Average loss 2.298, Central accuracy on global test data 14.383, Local accuracy on global train data 11.582, Local accuracy on local train data 12.108
Round   2, Devices participated 10, Average loss 2.245, Central accuracy on global test data 14.784, Local accuracy on global train data 18.877, Local accuracy on local train data 17.516
Round   3, Devices participated 10, Average loss 2.119, Central accuracy on global test data 16.597, Local accuracy on global train data 21.626, Local accuracy on local train data 20.664
Round   4, Devices participated 10, Average loss 2.045, Central accuracy on global test data 21.124, Local accuracy on global train data 24.075, Local accuracy on local train data 23.712
Round   5, Devices participated 10, Average loss 2.009, Central accuracy on global test data 25.701, Local accuracy on global train data 24.805, Local accuracy on local train data 24.776
Round   6, Devices participated 10, Average loss 1.964, Central accuracy on global test data 28.736, Local accuracy on global train data 27.170, Local accuracy on local train data 27.368
Round   7, Devices participated 10, Average loss 1.911, Central accuracy on global test data 31.540, Local accuracy on global train data 29.229, Local accuracy on local train data 29.220
Round   8, Devices participated 10, Average loss 1.849, Central accuracy on global test data 33.744, Local accuracy on global train data 29.697, Local accuracy on local train data 32.336
Round   9, Devices participated 10, Average loss 1.811, Central accuracy on global test data 35.186, Local accuracy on global train data 29.656, Local accuracy on local train data 33.536
Round  10, Devices participated 10, Average loss 1.745, Central accuracy on global test data 36.408, Local accuracy on global train data 31.758, Local accuracy on local train data 35.572
Round  11, Devices participated 10, Average loss 1.717, Central accuracy on global test data 37.670, Local accuracy on global train data 32.822, Local accuracy on local train data 36.096
Round  12, Devices participated 10, Average loss 1.684, Central accuracy on global test data 38.311, Local accuracy on global train data 33.967, Local accuracy on local train data 38.316
Round  13, Devices participated 10, Average loss 1.623, Central accuracy on global test data 39.503, Local accuracy on global train data 35.081, Local accuracy on local train data 40.496
Round  14, Devices participated 10, Average loss 1.565, Central accuracy on global test data 40.635, Local accuracy on global train data 35.911, Local accuracy on local train data 42.632
