['main_fedlisa.py', '--dataset', 'mnist', '--model', 'mlp', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '1', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_mnistnoniid_mlp_bs50ep5_opt1vr0.log']
2020-08-02 00:10:48.877550

Round   0, Devices participated 10, Average loss 0.400, Central accuracy on global test data 27.153, Local accuracy on global train data 20.649, Local accuracy on local train data 93.957
Round   1, Devices participated 10, Average loss 0.094, Central accuracy on global test data 41.206, Local accuracy on global train data 19.250, Local accuracy on local train data 97.307
Round   2, Devices participated 10, Average loss 0.090, Central accuracy on global test data 54.557, Local accuracy on global train data 20.295, Local accuracy on local train data 97.413
Round   3, Devices participated 10, Average loss 0.065, Central accuracy on global test data 58.093, Local accuracy on global train data 21.382, Local accuracy on local train data 98.253
Round   4, Devices participated 10, Average loss 0.079, Central accuracy on global test data 72.276, Local accuracy on global train data 22.031, Local accuracy on local train data 97.977
Round   5, Devices participated 10, Average loss 0.147, Central accuracy on global test data 78.476, Local accuracy on global train data 21.970, Local accuracy on local train data 96.657
Round   6, Devices participated 10, Average loss 0.069, Central accuracy on global test data 76.813, Local accuracy on global train data 28.438, Local accuracy on local train data 98.303
Round   7, Devices participated 10, Average loss 0.041, Central accuracy on global test data 79.507, Local accuracy on global train data 34.834, Local accuracy on local train data 98.887
Round   8, Devices participated 10, Average loss 0.045, Central accuracy on global test data 83.003, Local accuracy on global train data 30.671, Local accuracy on local train data 98.750
Round   9, Devices participated 10, Average loss 0.022, Central accuracy on global test data 83.864, Local accuracy on global train data 37.656, Local accuracy on local train data 99.410
Round  10, Devices participated 10, Average loss 0.030, Central accuracy on global test data 82.742, Local accuracy on global train data 37.556, Local accuracy on local train data 99.170
Round  11, Devices participated 10, Average loss 0.033, Central accuracy on global test data 82.682, Local accuracy on global train data 37.070, Local accuracy on local train data 98.980
Round  12, Devices participated 10, Average loss 0.057, Central accuracy on global test data 78.526, Local accuracy on global train data 46.023, Local accuracy on local train data 98.730
Round  13, Devices participated 10, Average loss 0.041, Central accuracy on global test data 86.208, Local accuracy on global train data 45.854, Local accuracy on local train data 99.060
Round  14, Devices participated 10, Average loss 0.041, Central accuracy on global test data 89.884, Local accuracy on global train data 43.633, Local accuracy on local train data 98.893
Round  15, Devices participated 10, Average loss 0.048, Central accuracy on global test data 82.612, Local accuracy on global train data 39.934, Local accuracy on local train data 98.833
Round  16, Devices participated 10, Average loss 0.024, Central accuracy on global test data 90.064, Local accuracy on global train data 50.205, Local accuracy on local train data 99.300
Round  17, Devices participated 10, Average loss 0.014, Central accuracy on global test data 85.126, Local accuracy on global train data 57.710, Local accuracy on local train data 99.663
Round  18, Devices participated 10, Average loss 0.054, Central accuracy on global test data 89.263, Local accuracy on global train data 49.143, Local accuracy on local train data 98.833
Round  19, Devices participated 10, Average loss 0.042, Central accuracy on global test data 89.964, Local accuracy on global train data 44.268, Local accuracy on local train data 99.000
Round  20, Devices participated 10, Average loss 0.015, Central accuracy on global test data 91.536, Local accuracy on global train data 55.374, Local accuracy on local train data 99.653
Round  21, Devices participated 10, Average loss 0.019, Central accuracy on global test data 90.966, Local accuracy on global train data 51.680, Local accuracy on local train data 99.497
Round  22, Devices participated 10, Average loss 0.115, Central accuracy on global test data 88.682, Local accuracy on global train data 43.130, Local accuracy on local train data 97.853
Round  23, Devices participated 10, Average loss 0.018, Central accuracy on global test data 90.835, Local accuracy on global train data 53.787, Local accuracy on local train data 99.580
Round  24, Devices participated 10, Average loss 0.029, Central accuracy on global test data 90.134, Local accuracy on global train data 52.739, Local accuracy on local train data 99.290
Round  25, Devices participated 10, Average loss 0.013, Central accuracy on global test data 90.895, Local accuracy on global train data 60.339, Local accuracy on local train data 99.683
Round  26, Devices participated 10, Average loss 0.016, Central accuracy on global test data 89.623, Local accuracy on global train data 58.794, Local accuracy on local train data 99.613
Round  27, Devices participated 10, Average loss 0.035, Central accuracy on global test data 89.844, Local accuracy on global train data 61.079, Local accuracy on local train data 99.273
Round  28, Devices participated 10, Average loss 0.027, Central accuracy on global test data 89.012, Local accuracy on global train data 62.053, Local accuracy on local train data 99.293
Round  29, Devices participated 10, Average loss 0.023, Central accuracy on global test data 87.270, Local accuracy on global train data 56.521, Local accuracy on local train data 99.357
Round  30, Devices participated 10, Average loss 0.016, Central accuracy on global test data 79.998, Local accuracy on global train data 54.294, Local accuracy on local train data 99.490
Round  31, Devices participated 10, Average loss 0.039, Central accuracy on global test data 92.849, Local accuracy on global train data 55.344, Local accuracy on local train data 99.037
Round  32, Devices participated 10, Average loss 0.041, Central accuracy on global test data 90.905, Local accuracy on global train data 61.384, Local accuracy on local train data 98.963
Round  33, Devices participated 10, Average loss 0.019, Central accuracy on global test data 91.587, Local accuracy on global train data 63.132, Local accuracy on local train data 99.507
Round  34, Devices participated 10, Average loss 0.030, Central accuracy on global test data 92.899, Local accuracy on global train data 65.095, Local accuracy on local train data 99.343
Round  35, Devices participated 10, Average loss 0.019, Central accuracy on global test data 90.875, Local accuracy on global train data 65.029, Local accuracy on local train data 99.510
Round  36, Devices participated 10, Average loss 0.013, Central accuracy on global test data 92.077, Local accuracy on global train data 67.375, Local accuracy on local train data 99.693
Round  37, Devices participated 10, Average loss 0.012, Central accuracy on global test data 91.907, Local accuracy on global train data 71.995, Local accuracy on local train data 99.717
Round  38, Devices participated 10, Average loss 0.013, Central accuracy on global test data 91.476, Local accuracy on global train data 69.609, Local accuracy on local train data 99.653
Round  39, Devices participated 10, Average loss 0.013, Central accuracy on global test data 91.897, Local accuracy on global train data 69.089, Local accuracy on local train data 99.680
Round  40, Devices participated 10, Average loss 0.013, Central accuracy on global test data 91.577, Local accuracy on global train data 70.012, Local accuracy on local train data 99.677
Round  41, Devices participated 10, Average loss 0.026, Central accuracy on global test data 88.472, Local accuracy on global train data 67.556, Local accuracy on local train data 99.500
Round  42, Devices participated 10, Average loss 0.013, Central accuracy on global test data 91.336, Local accuracy on global train data 70.593, Local accuracy on local train data 99.637
Round  43, Devices participated 10, Average loss 0.044, Central accuracy on global test data 93.299, Local accuracy on global train data 66.790, Local accuracy on local train data 98.987
Round  44, Devices participated 10, Average loss 0.012, Central accuracy on global test data 93.099, Local accuracy on global train data 69.988, Local accuracy on local train data 99.673
Round  45, Devices participated 10, Average loss 0.014, Central accuracy on global test data 93.790, Local accuracy on global train data 70.017, Local accuracy on local train data 99.597
Round  46, Devices participated 10, Average loss 0.014, Central accuracy on global test data 94.081, Local accuracy on global train data 69.280, Local accuracy on local train data 99.680
Round  47, Devices participated 10, Average loss 0.026, Central accuracy on global test data 93.860, Local accuracy on global train data 71.208, Local accuracy on local train data 99.413
Round  48, Devices participated 10, Average loss 0.014, Central accuracy on global test data 93.810, Local accuracy on global train data 68.174, Local accuracy on local train data 99.650
Round  49, Devices participated 10, Average loss 0.083, Central accuracy on global test data 91.486, Local accuracy on global train data 67.095, Local accuracy on local train data 98.670
Round  50, Devices participated 10, Average loss 0.011, Central accuracy on global test data 92.788, Local accuracy on global train data 71.082, Local accuracy on local train data 99.713
