python main_dfan.py --dataset mnist --model mlp --epochs 500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --ensemble_mode 0
MLP(
  (layer_input): Linear(in_features=784, out_features=200, bias=True)
  (relu): ReLU()
  (layer_hidden1): Linear(in_features=200, out_features=200, bias=True)
  (layer_hidden2): Linear(in_features=200, out_features=10, bias=True)
)
Round   0, Devices participated 10, Average loss 0.287, Central accuracy on global test data 24.976, Ensemble accuracy on global test data 21.924, Local accuracy on global train data 11.675, Local accuracy on local train data 95.050
Round   1, Devices participated 10, Average loss 0.240, Central accuracy on global test data 38.232, Ensemble accuracy on global test data 39.746, Local accuracy on global train data 14.460, Local accuracy on local train data 96.750
Round   2, Devices participated 10, Average loss 0.298, Central accuracy on global test data 44.580, Ensemble accuracy on global test data 43.701, Local accuracy on global train data 23.936, Local accuracy on local train data 94.850
Round   3, Devices participated 10, Average loss 0.474, Central accuracy on global test data 37.280, Ensemble accuracy on global test data 37.256, Local accuracy on global train data 23.911, Local accuracy on local train data 93.050
Round   4, Devices participated 10, Average loss 0.480, Central accuracy on global test data 43.433, Ensemble accuracy on global test data 43.091, Local accuracy on global train data 24.912, Local accuracy on local train data 92.817
Round   5, Devices participated 10, Average loss 0.183, Central accuracy on global test data 45.288, Ensemble accuracy on global test data 44.604, Local accuracy on global train data 27.429, Local accuracy on local train data 97.733
Round   6, Devices participated 10, Average loss 0.314, Central accuracy on global test data 23.438, Ensemble accuracy on global test data 44.946, Local accuracy on global train data 28.105, Local accuracy on local train data 96.867
Round   7, Devices participated 10, Average loss 0.253, Central accuracy on global test data 38.745, Ensemble accuracy on global test data 39.575, Local accuracy on global train data 15.713, Local accuracy on local train data 97.333
Round   8, Devices participated 10, Average loss 0.224, Central accuracy on global test data 38.330, Ensemble accuracy on global test data 37.646, Local accuracy on global train data 22.903, Local accuracy on local train data 97.850
Round   9, Devices participated 10, Average loss 0.124, Central accuracy on global test data 42.749, Ensemble accuracy on global test data 44.165, Local accuracy on global train data 22.034, Local accuracy on local train data 98.700
Round  10, Devices participated 10, Average loss 0.171, Central accuracy on global test data 41.406, Ensemble accuracy on global test data 41.846, Local accuracy on global train data 25.913, Local accuracy on local train data 98.733
Round  11, Devices participated 10, Average loss 0.204, Central accuracy on global test data 33.130, Ensemble accuracy on global test data 36.938, Local accuracy on global train data 21.526, Local accuracy on local train data 98.083
Round  12, Devices participated 10, Average loss 0.198, Central accuracy on global test data 33.228, Ensemble accuracy on global test data 39.209, Local accuracy on global train data 24.993, Local accuracy on local train data 98.133
Round  13, Devices participated 10, Average loss 0.205, Central accuracy on global test data 39.185, Ensemble accuracy on global test data 38.232, Local accuracy on global train data 17.622, Local accuracy on local train data 97.750
Round  14, Devices participated 10, Average loss 0.330, Central accuracy on global test data 45.337, Ensemble accuracy on global test data 45.386, Local accuracy on global train data 19.417, Local accuracy on local train data 96.800
Round  15, Devices participated 10, Average loss 0.317, Central accuracy on global test data 41.846, Ensemble accuracy on global test data 39.893, Local accuracy on global train data 19.041, Local accuracy on local train data 96.783
Round  16, Devices participated 10, Average loss 0.124, Central accuracy on global test data 42.822, Ensemble accuracy on global test data 44.702, Local accuracy on global train data 23.811, Local accuracy on local train data 98.633
Round  17, Devices participated 10, Average loss 0.251, Central accuracy on global test data 45.166, Ensemble accuracy on global test data 46.729, Local accuracy on global train data 25.603, Local accuracy on local train data 97.467
Round  18, Devices participated 10, Average loss 0.043, Central accuracy on global test data 48.511, Ensemble accuracy on global test data 48.926, Local accuracy on global train data 29.539, Local accuracy on local train data 99.167
Round  19, Devices participated 10, Average loss 0.136, Central accuracy on global test data 44.702, Ensemble accuracy on global test data 43.604, Local accuracy on global train data 26.965, Local accuracy on local train data 98.400
Round  20, Devices participated 10, Average loss 0.238, Central accuracy on global test data 46.289, Ensemble accuracy on global test data 48.267, Local accuracy on global train data 25.007, Local accuracy on local train data 97.233
Round  21, Devices participated 10, Average loss 0.220, Central accuracy on global test data 45.483, Ensemble accuracy on global test data 47.046, Local accuracy on global train data 28.857, Local accuracy on local train data 97.667
Round  22, Devices participated 10, Average loss 0.209, Central accuracy on global test data 44.043, Ensemble accuracy on global test data 43.530, Local accuracy on global train data 22.727, Local accuracy on local train data 97.867
Round  23, Devices participated 10, Average loss 0.132, Central accuracy on global test data 32.080, Ensemble accuracy on global test data 31.372, Local accuracy on global train data 20.908, Local accuracy on local train data 98.033
Round  24, Devices participated 10, Average loss 0.216, Central accuracy on global test data 40.063, Ensemble accuracy on global test data 41.113, Local accuracy on global train data 21.282, Local accuracy on local train data 97.800
Round  25, Devices participated 10, Average loss 0.141, Central accuracy on global test data 44.678, Ensemble accuracy on global test data 44.629, Local accuracy on global train data 23.503, Local accuracy on local train data 98.450
Round  26, Devices participated 10, Average loss 0.208, Central accuracy on global test data 40.332, Ensemble accuracy on global test data 41.650, Local accuracy on global train data 21.821, Local accuracy on local train data 96.983
Round  27, Devices participated 10, Average loss 0.139, Central accuracy on global test data 40.405, Ensemble accuracy on global test data 42.041, Local accuracy on global train data 22.422, Local accuracy on local train data 98.267
Round  28, Devices participated 10, Average loss 0.202, Central accuracy on global test data 48.804, Ensemble accuracy on global test data 47.046, Local accuracy on global train data 19.231, Local accuracy on local train data 97.767
Round  29, Devices participated 10, Average loss 0.217, Central accuracy on global test data 40.747, Ensemble accuracy on global test data 41.040, Local accuracy on global train data 17.722, Local accuracy on local train data 97.667
Round  30, Devices participated 10, Average loss 0.181, Central accuracy on global test data 33.203, Ensemble accuracy on global test data 34.253, Local accuracy on global train data 16.426, Local accuracy on local train data 97.867
Round  31, Devices participated 10, Average loss 0.221, Central accuracy on global test data 34.741, Ensemble accuracy on global test data 35.840, Local accuracy on global train data 20.762, Local accuracy on local train data 97.500
Round  32, Devices participated 10, Average loss 0.088, Central accuracy on global test data 45.410, Ensemble accuracy on global test data 47.119, Local accuracy on global train data 21.313, Local accuracy on local train data 98.817
Round  33, Devices participated 10, Average loss 0.130, Central accuracy on global test data 39.453, Ensemble accuracy on global test data 40.942, Local accuracy on global train data 18.096, Local accuracy on local train data 98.267
Round  34, Devices participated 10, Average loss 0.138, Central accuracy on global test data 50.220, Ensemble accuracy on global test data 52.222, Local accuracy on global train data 18.945, Local accuracy on local train data 98.183
Round  35, Devices participated 10, Average loss 0.312, Central accuracy on global test data 43.188, Ensemble accuracy on global test data 43.774, Local accuracy on global train data 22.766, Local accuracy on local train data 96.300
Round  36, Devices participated 10, Average loss 0.234, Central accuracy on global test data 43.628, Ensemble accuracy on global test data 44.531, Local accuracy on global train data 16.887, Local accuracy on local train data 97.283
Round  37, Devices participated 10, Average loss 0.200, Central accuracy on global test data 42.041, Ensemble accuracy on global test data 43.384, Local accuracy on global train data 18.845, Local accuracy on local train data 97.350
Round  38, Devices participated 10, Average loss 0.189, Central accuracy on global test data 42.627, Ensemble accuracy on global test data 44.556, Local accuracy on global train data 18.892, Local accuracy on local train data 98.217
Round  39, Devices participated 10, Average loss 0.131, Central accuracy on global test data 45.410, Ensemble accuracy on global test data 47.998, Local accuracy on global train data 19.285, Local accuracy on local train data 98.750
Round  40, Devices participated 10, Average loss 0.219, Central accuracy on global test data 30.005, Ensemble accuracy on global test data 32.812, Local accuracy on global train data 15.947, Local accuracy on local train data 97.733
Round  41, Devices participated 10, Average loss 0.290, Central accuracy on global test data 33.545, Ensemble accuracy on global test data 35.205, Local accuracy on global train data 18.379, Local accuracy on local train data 97.067
Round  42, Devices participated 10, Average loss 0.170, Central accuracy on global test data 47.363, Ensemble accuracy on global test data 47.119, Local accuracy on global train data 18.645, Local accuracy on local train data 98.083
Round  43, Devices participated 10, Average loss 0.275, Central accuracy on global test data 42.578, Ensemble accuracy on global test data 45.190, Local accuracy on global train data 21.875, Local accuracy on local train data 96.783
Round  44, Devices participated 10, Average loss 0.245, Central accuracy on global test data 45.825, Ensemble accuracy on global test data 51.099, Local accuracy on global train data 18.667, Local accuracy on local train data 97.333
Round  45, Devices participated 10, Average loss 0.159, Central accuracy on global test data 44.092, Ensemble accuracy on global test data 43.433, Local accuracy on global train data 21.240, Local accuracy on local train data 98.250
