['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '1', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt1vr1.log']
2020-08-01 16:16:38.360134

Round   0, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.567, Local accuracy on global train data 10.486, Local accuracy on local train data 10.060
Round   1, Devices participated 10, Average loss 2.304, Central accuracy on global test data 10.306, Local accuracy on global train data 10.425, Local accuracy on local train data 11.100
Round   2, Devices participated 10, Average loss 2.305, Central accuracy on global test data 10.617, Local accuracy on global train data 10.508, Local accuracy on local train data 9.680
Round   3, Devices participated 10, Average loss 2.301, Central accuracy on global test data 11.478, Local accuracy on global train data 10.710, Local accuracy on local train data 10.440
Round   4, Devices participated 10, Average loss 2.302, Central accuracy on global test data 11.989, Local accuracy on global train data 11.282, Local accuracy on local train data 10.280
Round   5, Devices participated 10, Average loss 2.299, Central accuracy on global test data 11.889, Local accuracy on global train data 11.907, Local accuracy on local train data 11.080
Round   6, Devices participated 10, Average loss 2.297, Central accuracy on global test data 12.580, Local accuracy on global train data 12.373, Local accuracy on local train data 12.180
Round   7, Devices participated 10, Average loss 2.293, Central accuracy on global test data 13.371, Local accuracy on global train data 13.547, Local accuracy on local train data 11.960
Round   8, Devices participated 10, Average loss 2.288, Central accuracy on global test data 17.829, Local accuracy on global train data 16.868, Local accuracy on local train data 13.280
Round   9, Devices participated 10, Average loss 2.278, Central accuracy on global test data 18.179, Local accuracy on global train data 17.683, Local accuracy on local train data 15.540
Round  10, Devices participated 10, Average loss 2.255, Central accuracy on global test data 17.518, Local accuracy on global train data 16.541, Local accuracy on local train data 17.720
Round  11, Devices participated 10, Average loss 2.228, Central accuracy on global test data 19.251, Local accuracy on global train data 18.425, Local accuracy on local train data 17.400
Round  12, Devices participated 10, Average loss 2.194, Central accuracy on global test data 20.383, Local accuracy on global train data 19.229, Local accuracy on local train data 18.620
Round  13, Devices participated 10, Average loss 2.146, Central accuracy on global test data 22.396, Local accuracy on global train data 19.939, Local accuracy on local train data 19.640
Round  14, Devices participated 10, Average loss 2.114, Central accuracy on global test data 23.738, Local accuracy on global train data 20.559, Local accuracy on local train data 21.280
Round  15, Devices participated 10, Average loss 2.098, Central accuracy on global test data 25.361, Local accuracy on global train data 21.602, Local accuracy on local train data 21.840
Round  16, Devices participated 10, Average loss 2.078, Central accuracy on global test data 24.830, Local accuracy on global train data 22.844, Local accuracy on local train data 22.220
Round  17, Devices participated 10, Average loss 2.067, Central accuracy on global test data 26.022, Local accuracy on global train data 23.896, Local accuracy on local train data 22.800
Round  18, Devices participated 10, Average loss 2.044, Central accuracy on global test data 27.614, Local accuracy on global train data 23.411, Local accuracy on local train data 23.000
Round  19, Devices participated 10, Average loss 2.037, Central accuracy on global test data 28.125, Local accuracy on global train data 23.005, Local accuracy on local train data 23.560
Round  20, Devices participated 10, Average loss 2.009, Central accuracy on global test data 26.593, Local accuracy on global train data 23.433, Local accuracy on local train data 24.360
Round  21, Devices participated 10, Average loss 2.026, Central accuracy on global test data 29.167, Local accuracy on global train data 25.486, Local accuracy on local train data 25.120
Round  22, Devices participated 10, Average loss 2.014, Central accuracy on global test data 29.257, Local accuracy on global train data 26.235, Local accuracy on local train data 25.140
Round  23, Devices participated 10, Average loss 1.996, Central accuracy on global test data 30.208, Local accuracy on global train data 27.000, Local accuracy on local train data 26.200
Round  24, Devices participated 10, Average loss 1.963, Central accuracy on global test data 30.990, Local accuracy on global train data 27.412, Local accuracy on local train data 27.140
Round  25, Devices participated 10, Average loss 1.955, Central accuracy on global test data 31.210, Local accuracy on global train data 28.628, Local accuracy on local train data 27.440
Round  26, Devices participated 10, Average loss 1.955, Central accuracy on global test data 32.141, Local accuracy on global train data 29.185, Local accuracy on local train data 27.280
Round  27, Devices participated 10, Average loss 1.933, Central accuracy on global test data 32.091, Local accuracy on global train data 27.739, Local accuracy on local train data 28.960
Round  28, Devices participated 10, Average loss 1.958, Central accuracy on global test data 33.894, Local accuracy on global train data 29.875, Local accuracy on local train data 27.640
Round  29, Devices participated 10, Average loss 1.903, Central accuracy on global test data 33.494, Local accuracy on global train data 30.579, Local accuracy on local train data 29.260
Round  30, Devices participated 10, Average loss 1.908, Central accuracy on global test data 34.535, Local accuracy on global train data 31.248, Local accuracy on local train data 29.240
Round  31, Devices participated 10, Average loss 1.901, Central accuracy on global test data 35.166, Local accuracy on global train data 30.881, Local accuracy on local train data 29.760
Round  32, Devices participated 10, Average loss 1.903, Central accuracy on global test data 35.156, Local accuracy on global train data 30.444, Local accuracy on local train data 30.280
Round  33, Devices participated 10, Average loss 1.854, Central accuracy on global test data 35.998, Local accuracy on global train data 31.121, Local accuracy on local train data 31.400
Round  34, Devices participated 10, Average loss 1.863, Central accuracy on global test data 35.367, Local accuracy on global train data 32.739, Local accuracy on local train data 30.180
Round  35, Devices participated 10, Average loss 1.835, Central accuracy on global test data 36.178, Local accuracy on global train data 31.907, Local accuracy on local train data 32.480
Round  36, Devices participated 10, Average loss 1.838, Central accuracy on global test data 37.019, Local accuracy on global train data 31.714, Local accuracy on local train data 32.740
Round  37, Devices participated 10, Average loss 1.841, Central accuracy on global test data 37.260, Local accuracy on global train data 32.124, Local accuracy on local train data 31.660
Round  38, Devices participated 10, Average loss 1.843, Central accuracy on global test data 37.540, Local accuracy on global train data 33.369, Local accuracy on local train data 32.060
Round  39, Devices participated 10, Average loss 1.830, Central accuracy on global test data 38.041, Local accuracy on global train data 34.622, Local accuracy on local train data 31.980
Round  40, Devices participated 10, Average loss 1.793, Central accuracy on global test data 38.321, Local accuracy on global train data 35.803, Local accuracy on local train data 33.400
Round  41, Devices participated 10, Average loss 1.778, Central accuracy on global test data 38.772, Local accuracy on global train data 35.981, Local accuracy on local train data 33.820
Round  42, Devices participated 10, Average loss 1.827, Central accuracy on global test data 38.361, Local accuracy on global train data 34.932, Local accuracy on local train data 32.840
Round  43, Devices participated 10, Average loss 1.775, Central accuracy on global test data 38.962, Local accuracy on global train data 35.500, Local accuracy on local train data 34.260
Round  44, Devices participated 10, Average loss 1.796, Central accuracy on global test data 38.832, Local accuracy on global train data 35.881, Local accuracy on local train data 34.240
Round  45, Devices participated 10, Average loss 1.757, Central accuracy on global test data 39.894, Local accuracy on global train data 37.383, Local accuracy on local train data 35.820
Round  46, Devices participated 10, Average loss 1.757, Central accuracy on global test data 40.505, Local accuracy on global train data 36.416, Local accuracy on local train data 35.300
Round  47, Devices participated 10, Average loss 1.776, Central accuracy on global test data 39.864, Local accuracy on global train data 36.504, Local accuracy on local train data 35.100
Round  48, Devices participated 10, Average loss 1.726, Central accuracy on global test data 40.204, Local accuracy on global train data 36.890, Local accuracy on local train data 36.700
Round  49, Devices participated 10, Average loss 1.759, Central accuracy on global test data 40.044, Local accuracy on global train data 37.864, Local accuracy on local train data 35.840
Round  50, Devices participated 10, Average loss 1.733, Central accuracy on global test data 40.875, Local accuracy on global train data 38.462, Local accuracy on local train data 36.960
Round  51, Devices participated 10, Average loss 1.730, Central accuracy on global test data 40.956, Local accuracy on global train data 38.992, Local accuracy on local train data 37.080
Round  52, Devices participated 10, Average loss 1.735, Central accuracy on global test data 41.877, Local accuracy on global train data 38.428, Local accuracy on local train data 37.160
Round  53, Devices participated 10, Average loss 1.698, Central accuracy on global test data 42.198, Local accuracy on global train data 39.504, Local accuracy on local train data 37.360
Round  54, Devices participated 10, Average loss 1.718, Central accuracy on global test data 42.067, Local accuracy on global train data 38.796, Local accuracy on local train data 37.040
Round  55, Devices participated 10, Average loss 1.693, Central accuracy on global test data 42.718, Local accuracy on global train data 39.390, Local accuracy on local train data 38.000
Round  56, Devices participated 10, Average loss 1.685, Central accuracy on global test data 42.408, Local accuracy on global train data 39.717, Local accuracy on local train data 38.180
Round  57, Devices participated 10, Average loss 1.712, Central accuracy on global test data 43.029, Local accuracy on global train data 39.124, Local accuracy on local train data 37.160
Round  58, Devices participated 10, Average loss 1.669, Central accuracy on global test data 43.079, Local accuracy on global train data 40.469, Local accuracy on local train data 39.080
Round  59, Devices participated 10, Average loss 1.678, Central accuracy on global test data 43.409, Local accuracy on global train data 41.360, Local accuracy on local train data 38.180
Round  60, Devices participated 10, Average loss 1.677, Central accuracy on global test data 43.630, Local accuracy on global train data 40.857, Local accuracy on local train data 37.980
Round  61, Devices participated 10, Average loss 1.686, Central accuracy on global test data 44.081, Local accuracy on global train data 40.503, Local accuracy on local train data 38.640
Round  62, Devices participated 10, Average loss 1.674, Central accuracy on global test data 43.610, Local accuracy on global train data 41.067, Local accuracy on local train data 39.420
Round  63, Devices participated 10, Average loss 1.643, Central accuracy on global test data 44.581, Local accuracy on global train data 41.448, Local accuracy on local train data 40.060
Round  64, Devices participated 10, Average loss 1.648, Central accuracy on global test data 45.002, Local accuracy on global train data 42.710, Local accuracy on local train data 39.660
Round  65, Devices participated 10, Average loss 1.648, Central accuracy on global test data 45.493, Local accuracy on global train data 41.890, Local accuracy on local train data 40.340
Round  66, Devices participated 10, Average loss 1.631, Central accuracy on global test data 45.062, Local accuracy on global train data 41.987, Local accuracy on local train data 41.020
Round  67, Devices participated 10, Average loss 1.604, Central accuracy on global test data 45.683, Local accuracy on global train data 42.839, Local accuracy on local train data 41.840
Round  68, Devices participated 10, Average loss 1.650, Central accuracy on global test data 45.743, Local accuracy on global train data 41.729, Local accuracy on local train data 39.260
Round  69, Devices participated 10, Average loss 1.658, Central accuracy on global test data 45.783, Local accuracy on global train data 42.332, Local accuracy on local train data 39.740
Round  70, Devices participated 10, Average loss 1.634, Central accuracy on global test data 46.284, Local accuracy on global train data 41.797, Local accuracy on local train data 40.720
Round  71, Devices participated 10, Average loss 1.600, Central accuracy on global test data 46.484, Local accuracy on global train data 43.696, Local accuracy on local train data 41.480
Round  72, Devices participated 10, Average loss 1.614, Central accuracy on global test data 46.825, Local accuracy on global train data 42.710, Local accuracy on local train data 41.580
Round  73, Devices participated 10, Average loss 1.594, Central accuracy on global test data 47.015, Local accuracy on global train data 43.279, Local accuracy on local train data 42.860
Round  74, Devices participated 10, Average loss 1.586, Central accuracy on global test data 47.045, Local accuracy on global train data 44.082, Local accuracy on local train data 41.580
Round  75, Devices participated 10, Average loss 1.610, Central accuracy on global test data 47.075, Local accuracy on global train data 44.807, Local accuracy on local train data 41.660
Round  76, Devices participated 10, Average loss 1.556, Central accuracy on global test data 47.596, Local accuracy on global train data 45.337, Local accuracy on local train data 43.740
Round  77, Devices participated 10, Average loss 1.606, Central accuracy on global test data 47.756, Local accuracy on global train data 44.204, Local accuracy on local train data 41.920
Round  78, Devices participated 10, Average loss 1.570, Central accuracy on global test data 47.706, Local accuracy on global train data 45.586, Local accuracy on local train data 43.980
Round  79, Devices participated 10, Average loss 1.567, Central accuracy on global test data 47.837, Local accuracy on global train data 45.125, Local accuracy on local train data 41.660
Round  80, Devices participated 10, Average loss 1.603, Central accuracy on global test data 47.987, Local accuracy on global train data 44.685, Local accuracy on local train data 42.800
