['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_qn1.log']
2020-08-01 16:16:45.892510

['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt2vr1_qn1.log']
2020-08-01 16:24:59.615482

Round   0, Devices participated 10, Average loss 2.300, Central accuracy on global test data 10.156, Local accuracy on global train data 10.430, Local accuracy on local train data 11.367
Round   1, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.527, Local accuracy on global train data 10.320, Local accuracy on local train data 11.727
Round   2, Devices participated 10, Average loss 2.302, Central accuracy on global test data 10.897, Local accuracy on global train data 11.648, Local accuracy on local train data 10.893
Round   3, Devices participated 10, Average loss 2.299, Central accuracy on global test data 12.190, Local accuracy on global train data 11.394, Local accuracy on local train data 11.860
Round   4, Devices participated 10, Average loss 2.298, Central accuracy on global test data 12.821, Local accuracy on global train data 12.190, Local accuracy on local train data 11.753
Round   5, Devices participated 10, Average loss 2.292, Central accuracy on global test data 13.892, Local accuracy on global train data 14.121, Local accuracy on local train data 12.987
Round   6, Devices participated 10, Average loss 2.284, Central accuracy on global test data 18.149, Local accuracy on global train data 16.145, Local accuracy on local train data 16.333
Round   7, Devices participated 10, Average loss 2.273, Central accuracy on global test data 16.797, Local accuracy on global train data 17.200, Local accuracy on local train data 17.807
Round   8, Devices participated 10, Average loss 2.245, Central accuracy on global test data 14.453, Local accuracy on global train data 17.815, Local accuracy on local train data 17.787
Round   9, Devices participated 10, Average loss 2.220, Central accuracy on global test data 14.243, Local accuracy on global train data 19.377, Local accuracy on local train data 17.027
Round  10, Devices participated 10, Average loss 2.158, Central accuracy on global test data 16.256, Local accuracy on global train data 19.707, Local accuracy on local train data 18.807
Round  11, Devices participated 10, Average loss 2.114, Central accuracy on global test data 17.137, Local accuracy on global train data 21.328, Local accuracy on local train data 20.987
Round  12, Devices participated 10, Average loss 2.097, Central accuracy on global test data 19.211, Local accuracy on global train data 22.754, Local accuracy on local train data 21.720
Round  13, Devices participated 10, Average loss 2.093, Central accuracy on global test data 21.194, Local accuracy on global train data 21.902, Local accuracy on local train data 22.133
Round  14, Devices participated 10, Average loss 2.130, Central accuracy on global test data 22.756, Local accuracy on global train data 21.406, Local accuracy on local train data 21.740
Round  15, Devices participated 10, Average loss 2.184, Central accuracy on global test data 23.808, Local accuracy on global train data 22.952, Local accuracy on local train data 21.647
Round  16, Devices participated 10, Average loss 2.185, Central accuracy on global test data 24.690, Local accuracy on global train data 24.517, Local accuracy on local train data 22.113
Round  17, Devices participated 10, Average loss 2.193, Central accuracy on global test data 24.850, Local accuracy on global train data 22.878, Local accuracy on local train data 21.540
Round  18, Devices participated 10, Average loss 2.230, Central accuracy on global test data 21.705, Local accuracy on global train data 22.410, Local accuracy on local train data 20.840
Round  19, Devices participated 10, Average loss 2.120, Central accuracy on global test data 21.464, Local accuracy on global train data 25.513, Local accuracy on local train data 23.793
Round  20, Devices participated 10, Average loss 2.003, Central accuracy on global test data 19.431, Local accuracy on global train data 26.262, Local accuracy on local train data 26.407
Round  21, Devices participated 10, Average loss 1.989, Central accuracy on global test data 17.658, Local accuracy on global train data 27.261, Local accuracy on local train data 26.460
Round  22, Devices participated 10, Average loss 1.982, Central accuracy on global test data 17.538, Local accuracy on global train data 27.695, Local accuracy on local train data 26.760
Round  23, Devices participated 10, Average loss 1.969, Central accuracy on global test data 19.611, Local accuracy on global train data 28.660, Local accuracy on local train data 26.567
Round  24, Devices participated 10, Average loss 1.959, Central accuracy on global test data 21.895, Local accuracy on global train data 28.938, Local accuracy on local train data 28.447
Round  25, Devices participated 10, Average loss 1.942, Central accuracy on global test data 24.770, Local accuracy on global train data 30.017, Local accuracy on local train data 29.080
Round  26, Devices participated 10, Average loss 1.940, Central accuracy on global test data 25.711, Local accuracy on global train data 29.146, Local accuracy on local train data 28.887
Round  27, Devices participated 10, Average loss 1.899, Central accuracy on global test data 23.948, Local accuracy on global train data 31.262, Local accuracy on local train data 30.573
Round  28, Devices participated 10, Average loss 1.882, Central accuracy on global test data 21.915, Local accuracy on global train data 30.698, Local accuracy on local train data 30.160
Round  29, Devices participated 10, Average loss 1.866, Central accuracy on global test data 21.835, Local accuracy on global train data 31.421, Local accuracy on local train data 30.793
Round  30, Devices participated 10, Average loss 1.854, Central accuracy on global test data 22.406, Local accuracy on global train data 30.547, Local accuracy on local train data 30.827
Round  31, Devices participated 10, Average loss 1.904, Central accuracy on global test data 24.089, Local accuracy on global train data 31.973, Local accuracy on local train data 30.113
Round  32, Devices participated 10, Average loss 1.907, Central accuracy on global test data 26.562, Local accuracy on global train data 32.102, Local accuracy on local train data 30.773
Round  33, Devices participated 10, Average loss 1.903, Central accuracy on global test data 30.799, Local accuracy on global train data 32.493, Local accuracy on local train data 31.287
Round  34, Devices participated 10, Average loss 1.895, Central accuracy on global test data 34.425, Local accuracy on global train data 33.311, Local accuracy on local train data 31.513
Round  35, Devices participated 10, Average loss 1.876, Central accuracy on global test data 34.085, Local accuracy on global train data 33.240, Local accuracy on local train data 32.087
Round  36, Devices participated 10, Average loss 1.842, Central accuracy on global test data 30.729, Local accuracy on global train data 33.289, Local accuracy on local train data 33.127
Round  37, Devices participated 10, Average loss 1.826, Central accuracy on global test data 27.865, Local accuracy on global train data 35.210, Local accuracy on local train data 33.740
Round  38, Devices participated 10, Average loss 1.802, Central accuracy on global test data 26.142, Local accuracy on global train data 34.441, Local accuracy on local train data 33.733
Round  39, Devices participated 10, Average loss 1.782, Central accuracy on global test data 26.012, Local accuracy on global train data 34.897, Local accuracy on local train data 34.340
Round  40, Devices participated 10, Average loss 1.728, Central accuracy on global test data 26.162, Local accuracy on global train data 34.985, Local accuracy on local train data 35.560
Round  41, Devices participated 10, Average loss 1.736, Central accuracy on global test data 25.260, Local accuracy on global train data 34.265, Local accuracy on local train data 35.280
Round  42, Devices participated 10, Average loss 1.774, Central accuracy on global test data 25.621, Local accuracy on global train data 34.988, Local accuracy on local train data 34.113
