['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '0', '--opt_mode', '2', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep3_opt2vr0_qn0.log']
2020-08-01 16:16:41.449264

Round   0, Devices participated 10, Average loss 2.300, Central accuracy on global test data 10.216, Local accuracy on global train data 10.430, Local accuracy on local train data 11.367
Round   1, Devices participated 10, Average loss 2.301, Central accuracy on global test data 14.513, Local accuracy on global train data 10.305, Local accuracy on local train data 11.773
Round   2, Devices participated 10, Average loss 2.282, Central accuracy on global test data 15.044, Local accuracy on global train data 16.208, Local accuracy on local train data 16.100
Round   3, Devices participated 10, Average loss 2.229, Central accuracy on global test data 14.874, Local accuracy on global train data 18.450, Local accuracy on local train data 17.007
Round   4, Devices participated 10, Average loss 2.102, Central accuracy on global test data 18.470, Local accuracy on global train data 21.021, Local accuracy on local train data 21.607
Round   5, Devices participated 10, Average loss 2.074, Central accuracy on global test data 23.017, Local accuracy on global train data 23.655, Local accuracy on local train data 22.313
Round   6, Devices participated 10, Average loss 2.037, Central accuracy on global test data 27.584, Local accuracy on global train data 23.604, Local accuracy on local train data 24.507
Round   7, Devices participated 10, Average loss 1.984, Central accuracy on global test data 28.275, Local accuracy on global train data 26.655, Local accuracy on local train data 25.980
Round   8, Devices participated 10, Average loss 1.939, Central accuracy on global test data 30.659, Local accuracy on global train data 28.894, Local accuracy on local train data 28.360
Round   9, Devices participated 10, Average loss 1.898, Central accuracy on global test data 33.754, Local accuracy on global train data 29.001, Local accuracy on local train data 29.827
Round  10, Devices participated 10, Average loss 1.838, Central accuracy on global test data 35.477, Local accuracy on global train data 31.782, Local accuracy on local train data 31.653
Round  11, Devices participated 10, Average loss 1.795, Central accuracy on global test data 36.709, Local accuracy on global train data 31.555, Local accuracy on local train data 33.173
Round  12, Devices participated 10, Average loss 1.773, Central accuracy on global test data 37.190, Local accuracy on global train data 33.582, Local accuracy on local train data 35.187
Round  13, Devices participated 10, Average loss 1.723, Central accuracy on global test data 37.810, Local accuracy on global train data 34.526, Local accuracy on local train data 35.953
Round  14, Devices participated 10, Average loss 1.675, Central accuracy on global test data 39.052, Local accuracy on global train data 34.487, Local accuracy on local train data 38.213
Round  15, Devices participated 10, Average loss 1.681, Central accuracy on global test data 40.014, Local accuracy on global train data 35.613, Local accuracy on local train data 37.927
Round  16, Devices participated 10, Average loss 1.647, Central accuracy on global test data 41.116, Local accuracy on global train data 36.802, Local accuracy on local train data 39.793
Round  17, Devices participated 10, Average loss 1.590, Central accuracy on global test data 41.887, Local accuracy on global train data 37.014, Local accuracy on local train data 41.587
Round  18, Devices participated 10, Average loss 1.555, Central accuracy on global test data 42.748, Local accuracy on global train data 38.801, Local accuracy on local train data 42.633
Round  19, Devices participated 10, Average loss 1.525, Central accuracy on global test data 44.261, Local accuracy on global train data 39.634, Local accuracy on local train data 43.927
Round  20, Devices participated 10, Average loss 1.517, Central accuracy on global test data 44.992, Local accuracy on global train data 40.625, Local accuracy on local train data 44.853
Round  21, Devices participated 10, Average loss 1.461, Central accuracy on global test data 45.923, Local accuracy on global train data 41.736, Local accuracy on local train data 47.433
Round  22, Devices participated 10, Average loss 1.415, Central accuracy on global test data 46.675, Local accuracy on global train data 41.328, Local accuracy on local train data 48.967
Round  23, Devices participated 10, Average loss 1.414, Central accuracy on global test data 47.436, Local accuracy on global train data 42.751, Local accuracy on local train data 49.347
Round  24, Devices participated 10, Average loss 1.344, Central accuracy on global test data 47.806, Local accuracy on global train data 42.524, Local accuracy on local train data 51.240
Round  25, Devices participated 10, Average loss 1.330, Central accuracy on global test data 48.748, Local accuracy on global train data 44.919, Local accuracy on local train data 51.587
Round  26, Devices participated 10, Average loss 1.318, Central accuracy on global test data 49.349, Local accuracy on global train data 44.077, Local accuracy on local train data 52.493
Round  27, Devices participated 10, Average loss 1.285, Central accuracy on global test data 50.321, Local accuracy on global train data 44.956, Local accuracy on local train data 54.547
Round  28, Devices participated 10, Average loss 1.274, Central accuracy on global test data 51.102, Local accuracy on global train data 46.052, Local accuracy on local train data 54.153
Round  29, Devices participated 10, Average loss 1.236, Central accuracy on global test data 51.192, Local accuracy on global train data 45.918, Local accuracy on local train data 55.507
Round  30, Devices participated 10, Average loss 1.214, Central accuracy on global test data 51.242, Local accuracy on global train data 46.763, Local accuracy on local train data 56.760
Round  31, Devices participated 10, Average loss 1.176, Central accuracy on global test data 52.434, Local accuracy on global train data 46.414, Local accuracy on local train data 57.880
Round  32, Devices participated 10, Average loss 1.164, Central accuracy on global test data 52.594, Local accuracy on global train data 46.404, Local accuracy on local train data 59.140
