['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt0vr1_qn1.log']
2020-08-01 16:16:44.679021

['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '0', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt0vr1_qn1.log']
2020-08-01 16:24:57.643895

Round  40, Devices participated 10, Average loss 1.513, Central accuracy on global test data 47.576, Local accuracy on global train data 46.421, Local accuracy on local train data 45.400
Round  41, Devices participated 10, Average loss 1.507, Central accuracy on global test data 48.047, Local accuracy on global train data 46.426, Local accuracy on local train data 45.580
Round  42, Devices participated 10, Average loss 1.564, Central accuracy on global test data 48.367, Local accuracy on global train data 46.992, Local accuracy on local train data 43.720
Round  43, Devices participated 10, Average loss 1.500, Central accuracy on global test data 48.628, Local accuracy on global train data 47.000, Local accuracy on local train data 45.680
Round  44, Devices participated 10, Average loss 1.509, Central accuracy on global test data 49.299, Local accuracy on global train data 46.941, Local accuracy on local train data 45.640
Round  45, Devices participated 10, Average loss 1.497, Central accuracy on global test data 49.499, Local accuracy on global train data 48.457, Local accuracy on local train data 46.200
Round  46, Devices participated 10, Average loss 1.502, Central accuracy on global test data 49.900, Local accuracy on global train data 48.560, Local accuracy on local train data 46.320
Round  47, Devices participated 10, Average loss 1.486, Central accuracy on global test data 49.980, Local accuracy on global train data 48.293, Local accuracy on local train data 46.320
Round  48, Devices participated 10, Average loss 1.470, Central accuracy on global test data 49.910, Local accuracy on global train data 47.366, Local accuracy on local train data 47.480
Round  49, Devices participated 10, Average loss 1.493, Central accuracy on global test data 50.491, Local accuracy on global train data 48.572, Local accuracy on local train data 46.800
Round  50, Devices participated 10, Average loss 1.448, Central accuracy on global test data 50.761, Local accuracy on global train data 49.277, Local accuracy on local train data 48.280
Round  51, Devices participated 10, Average loss 1.467, Central accuracy on global test data 50.791, Local accuracy on global train data 49.958, Local accuracy on local train data 47.720
Round  52, Devices participated 10, Average loss 1.469, Central accuracy on global test data 51.002, Local accuracy on global train data 49.810, Local accuracy on local train data 47.240
Round  53, Devices participated 10, Average loss 1.450, Central accuracy on global test data 51.743, Local accuracy on global train data 51.360, Local accuracy on local train data 47.540
Round  54, Devices participated 10, Average loss 1.446, Central accuracy on global test data 51.943, Local accuracy on global train data 50.398, Local accuracy on local train data 48.380
Round  55, Devices participated 10, Average loss 1.421, Central accuracy on global test data 52.494, Local accuracy on global train data 50.957, Local accuracy on local train data 49.340
Round  56, Devices participated 10, Average loss 1.424, Central accuracy on global test data 52.103, Local accuracy on global train data 50.510, Local accuracy on local train data 49.260
Round  57, Devices participated 10, Average loss 1.432, Central accuracy on global test data 53.285, Local accuracy on global train data 51.069, Local accuracy on local train data 48.740
Round  58, Devices participated 10, Average loss 1.413, Central accuracy on global test data 53.506, Local accuracy on global train data 51.050, Local accuracy on local train data 49.100
Round  59, Devices participated 10, Average loss 1.412, Central accuracy on global test data 52.604, Local accuracy on global train data 51.279, Local accuracy on local train data 49.280
Round  60, Devices participated 10, Average loss 1.394, Central accuracy on global test data 53.466, Local accuracy on global train data 52.791, Local accuracy on local train data 49.800
Round  61, Devices participated 10, Average loss 1.423, Central accuracy on global test data 53.766, Local accuracy on global train data 53.040, Local accuracy on local train data 49.920
Round  62, Devices participated 10, Average loss 1.392, Central accuracy on global test data 53.866, Local accuracy on global train data 51.851, Local accuracy on local train data 49.940
Round  63, Devices participated 10, Average loss 1.394, Central accuracy on global test data 54.367, Local accuracy on global train data 53.308, Local accuracy on local train data 49.820
Round  64, Devices participated 10, Average loss 1.374, Central accuracy on global test data 54.948, Local accuracy on global train data 54.041, Local accuracy on local train data 50.380
Round  65, Devices participated 10, Average loss 1.371, Central accuracy on global test data 55.118, Local accuracy on global train data 52.468, Local accuracy on local train data 50.940
Round  66, Devices participated 10, Average loss 1.355, Central accuracy on global test data 54.056, Local accuracy on global train data 52.861, Local accuracy on local train data 52.320
Round  67, Devices participated 10, Average loss 1.363, Central accuracy on global test data 55.258, Local accuracy on global train data 54.492, Local accuracy on local train data 51.040
Round  68, Devices participated 10, Average loss 1.365, Central accuracy on global test data 55.839, Local accuracy on global train data 54.534, Local accuracy on local train data 51.280
Round  69, Devices participated 10, Average loss 1.379, Central accuracy on global test data 55.479, Local accuracy on global train data 53.943, Local accuracy on local train data 51.540
Round  70, Devices participated 10, Average loss 1.340, Central accuracy on global test data 55.759, Local accuracy on global train data 54.773, Local accuracy on local train data 52.420
Round  71, Devices participated 10, Average loss 1.321, Central accuracy on global test data 56.090, Local accuracy on global train data 54.976, Local accuracy on local train data 52.520
Round  72, Devices participated 10, Average loss 1.324, Central accuracy on global test data 55.709, Local accuracy on global train data 54.851, Local accuracy on local train data 52.340
Round  73, Devices participated 10, Average loss 1.327, Central accuracy on global test data 55.799, Local accuracy on global train data 55.486, Local accuracy on local train data 52.860
Round  74, Devices participated 10, Average loss 1.338, Central accuracy on global test data 56.350, Local accuracy on global train data 56.003, Local accuracy on local train data 51.900
Round  75, Devices participated 10, Average loss 1.322, Central accuracy on global test data 56.470, Local accuracy on global train data 56.870, Local accuracy on local train data 52.560
Round  76, Devices participated 10, Average loss 1.281, Central accuracy on global test data 57.021, Local accuracy on global train data 55.876, Local accuracy on local train data 54.020
Round  77, Devices participated 10, Average loss 1.309, Central accuracy on global test data 56.821, Local accuracy on global train data 56.001, Local accuracy on local train data 53.460
Round  78, Devices participated 10, Average loss 1.300, Central accuracy on global test data 56.591, Local accuracy on global train data 56.963, Local accuracy on local train data 54.260
Round  79, Devices participated 10, Average loss 1.275, Central accuracy on global test data 57.181, Local accuracy on global train data 56.616, Local accuracy on local train data 54.020
Round  80, Devices participated 10, Average loss 1.329, Central accuracy on global test data 57.161, Local accuracy on global train data 56.914, Local accuracy on local train data 53.360
Round  81, Devices participated 10, Average loss 1.281, Central accuracy on global test data 56.260, Local accuracy on global train data 56.636, Local accuracy on local train data 54.620
Round  82, Devices participated 10, Average loss 1.305, Central accuracy on global test data 56.781, Local accuracy on global train data 56.184, Local accuracy on local train data 53.500
Round  83, Devices participated 10, Average loss 1.285, Central accuracy on global test data 56.821, Local accuracy on global train data 57.256, Local accuracy on local train data 54.980
Round  84, Devices participated 10, Average loss 1.270, Central accuracy on global test data 57.462, Local accuracy on global train data 58.259, Local accuracy on local train data 54.720
Round  85, Devices participated 10, Average loss 1.272, Central accuracy on global test data 57.682, Local accuracy on global train data 57.268, Local accuracy on local train data 55.260
Round  86, Devices participated 10, Average loss 1.265, Central accuracy on global test data 57.883, Local accuracy on global train data 58.259, Local accuracy on local train data 54.500
Round  87, Devices participated 10, Average loss 1.276, Central accuracy on global test data 57.622, Local accuracy on global train data 57.336, Local accuracy on local train data 55.120
Round  88, Devices participated 10, Average loss 1.242, Central accuracy on global test data 57.863, Local accuracy on global train data 57.317, Local accuracy on local train data 55.560
Round  89, Devices participated 10, Average loss 1.268, Central accuracy on global test data 58.403, Local accuracy on global train data 59.106, Local accuracy on local train data 55.580
Round  90, Devices participated 10, Average loss 1.243, Central accuracy on global test data 58.484, Local accuracy on global train data 58.877, Local accuracy on local train data 55.720
Round  91, Devices participated 10, Average loss 1.224, Central accuracy on global test data 58.283, Local accuracy on global train data 57.947, Local accuracy on local train data 56.920
Round  92, Devices participated 10, Average loss 1.248, Central accuracy on global test data 58.413, Local accuracy on global train data 59.202, Local accuracy on local train data 56.220
Round  93, Devices participated 10, Average loss 1.256, Central accuracy on global test data 58.534, Local accuracy on global train data 59.458, Local accuracy on local train data 55.640
Round  94, Devices participated 10, Average loss 1.238, Central accuracy on global test data 58.363, Local accuracy on global train data 59.380, Local accuracy on local train data 56.400
Round  95, Devices participated 10, Average loss 1.223, Central accuracy on global test data 58.083, Local accuracy on global train data 58.408, Local accuracy on local train data 56.620
Round  96, Devices participated 10, Average loss 1.240, Central accuracy on global test data 58.343, Local accuracy on global train data 60.366, Local accuracy on local train data 56.680
