['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '5', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '0', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep5_opt2vr1_qn0.log']
2020-08-01 16:16:44.304961

Round   0, Devices participated 10, Average loss 2.298, Central accuracy on global test data 10.246, Local accuracy on global train data 10.759, Local accuracy on local train data 11.792
Round   1, Devices participated 10, Average loss 2.298, Central accuracy on global test data 14.002, Local accuracy on global train data 11.384, Local accuracy on local train data 12.004
Round   2, Devices participated 10, Average loss 2.251, Central accuracy on global test data 15.004, Local accuracy on global train data 18.586, Local accuracy on local train data 17.304
Round   3, Devices participated 10, Average loss 2.134, Central accuracy on global test data 15.775, Local accuracy on global train data 21.843, Local accuracy on local train data 20.276
Round   4, Devices participated 10, Average loss 2.054, Central accuracy on global test data 20.232, Local accuracy on global train data 24.089, Local accuracy on local train data 23.448
Round   5, Devices participated 10, Average loss 2.019, Central accuracy on global test data 24.920, Local accuracy on global train data 24.443, Local accuracy on local train data 24.648
Round   6, Devices participated 10, Average loss 1.984, Central accuracy on global test data 28.275, Local accuracy on global train data 26.633, Local accuracy on local train data 26.436
Round   7, Devices participated 10, Average loss 1.945, Central accuracy on global test data 30.829, Local accuracy on global train data 28.635, Local accuracy on local train data 27.780
Round   8, Devices participated 10, Average loss 1.889, Central accuracy on global test data 33.243, Local accuracy on global train data 29.009, Local accuracy on local train data 30.816
Round   9, Devices participated 10, Average loss 1.859, Central accuracy on global test data 34.605, Local accuracy on global train data 29.509, Local accuracy on local train data 31.808
Round  10, Devices participated 10, Average loss 1.792, Central accuracy on global test data 35.938, Local accuracy on global train data 31.592, Local accuracy on local train data 33.816
Round  11, Devices participated 10, Average loss 1.785, Central accuracy on global test data 36.979, Local accuracy on global train data 32.048, Local accuracy on local train data 33.504
Round  12, Devices participated 10, Average loss 1.748, Central accuracy on global test data 37.871, Local accuracy on global train data 33.989, Local accuracy on local train data 35.772
Round  13, Devices participated 10, Average loss 1.685, Central accuracy on global test data 38.712, Local accuracy on global train data 34.302, Local accuracy on local train data 38.136
Round  14, Devices participated 10, Average loss 1.645, Central accuracy on global test data 39.894, Local accuracy on global train data 36.052, Local accuracy on local train data 39.692
Round  15, Devices participated 10, Average loss 1.651, Central accuracy on global test data 40.946, Local accuracy on global train data 35.659, Local accuracy on local train data 39.676
Round  16, Devices participated 10, Average loss 1.596, Central accuracy on global test data 42.258, Local accuracy on global train data 36.553, Local accuracy on local train data 42.028
Round  17, Devices participated 10, Average loss 1.572, Central accuracy on global test data 43.159, Local accuracy on global train data 38.547, Local accuracy on local train data 42.744
Round  18, Devices participated 10, Average loss 1.524, Central accuracy on global test data 43.740, Local accuracy on global train data 39.324, Local accuracy on local train data 44.592
Round  19, Devices participated 10, Average loss 1.471, Central accuracy on global test data 44.732, Local accuracy on global train data 39.563, Local accuracy on local train data 46.932
Round  20, Devices participated 10, Average loss 1.451, Central accuracy on global test data 45.653, Local accuracy on global train data 40.696, Local accuracy on local train data 47.496
Round  21, Devices participated 10, Average loss 1.437, Central accuracy on global test data 46.565, Local accuracy on global train data 42.837, Local accuracy on local train data 48.240
Round  22, Devices participated 10, Average loss 1.417, Central accuracy on global test data 47.256, Local accuracy on global train data 42.090, Local accuracy on local train data 49.432
Round  23, Devices participated 10, Average loss 1.374, Central accuracy on global test data 47.907, Local accuracy on global train data 43.435, Local accuracy on local train data 50.796
Round  24, Devices participated 10, Average loss 1.332, Central accuracy on global test data 48.788, Local accuracy on global train data 44.355, Local accuracy on local train data 51.976
Round  25, Devices participated 10, Average loss 1.331, Central accuracy on global test data 49.609, Local accuracy on global train data 43.027, Local accuracy on local train data 52.468
Round  26, Devices participated 10, Average loss 1.294, Central accuracy on global test data 49.850, Local accuracy on global train data 45.142, Local accuracy on local train data 54.084
Round  27, Devices participated 10, Average loss 1.239, Central accuracy on global test data 50.551, Local accuracy on global train data 44.028, Local accuracy on local train data 56.176
Round  28, Devices participated 10, Average loss 1.242, Central accuracy on global test data 51.282, Local accuracy on global train data 44.150, Local accuracy on local train data 55.852
Round  29, Devices participated 10, Average loss 1.275, Central accuracy on global test data 51.312, Local accuracy on global train data 46.882, Local accuracy on local train data 54.704
Round  30, Devices participated 10, Average loss 1.208, Central accuracy on global test data 51.713, Local accuracy on global train data 45.410, Local accuracy on local train data 57.224
Round  31, Devices participated 10, Average loss 1.206, Central accuracy on global test data 51.873, Local accuracy on global train data 46.050, Local accuracy on local train data 57.056
Round  32, Devices participated 10, Average loss 1.178, Central accuracy on global test data 51.953, Local accuracy on global train data 44.661, Local accuracy on local train data 59.272
Round  33, Devices participated 10, Average loss 1.130, Central accuracy on global test data 51.803, Local accuracy on global train data 45.906, Local accuracy on local train data 60.428
Round  34, Devices participated 10, Average loss 1.056, Central accuracy on global test data 51.613, Local accuracy on global train data 47.100, Local accuracy on local train data 63.932
Round  35, Devices participated 10, Average loss 1.128, Central accuracy on global test data 51.783, Local accuracy on global train data 47.476, Local accuracy on local train data 61.528
Round  36, Devices participated 10, Average loss 1.120, Central accuracy on global test data 51.733, Local accuracy on global train data 47.607, Local accuracy on local train data 61.720
Round  37, Devices participated 10, Average loss 0.996, Central accuracy on global test data 51.933, Local accuracy on global train data 47.778, Local accuracy on local train data 66.404
Round  38, Devices participated 10, Average loss 1.110, Central accuracy on global test data 51.382, Local accuracy on global train data 46.787, Local accuracy on local train data 61.636
Round  39, Devices participated 10, Average loss 1.086, Central accuracy on global test data 51.292, Local accuracy on global train data 47.917, Local accuracy on local train data 63.208
Round  40, Devices participated 10, Average loss 0.987, Central accuracy on global test data 51.432, Local accuracy on global train data 46.934, Local accuracy on local train data 66.388
Round  41, Devices participated 10, Average loss 0.972, Central accuracy on global test data 51.272, Local accuracy on global train data 48.262, Local accuracy on local train data 67.412
Round  42, Devices participated 10, Average loss 1.088, Central accuracy on global test data 51.292, Local accuracy on global train data 48.823, Local accuracy on local train data 63.272
Round  43, Devices participated 10, Average loss 0.978, Central accuracy on global test data 51.132, Local accuracy on global train data 48.733, Local accuracy on local train data 67.296
Round  44, Devices participated 10, Average loss 1.014, Central accuracy on global test data 51.472, Local accuracy on global train data 49.148, Local accuracy on local train data 66.452
Round  45, Devices participated 10, Average loss 0.935, Central accuracy on global test data 51.392, Local accuracy on global train data 49.390, Local accuracy on local train data 69.176
Round  46, Devices participated 10, Average loss 1.054, Central accuracy on global test data 51.302, Local accuracy on global train data 49.653, Local accuracy on local train data 64.716
Round  47, Devices participated 10, Average loss 1.023, Central accuracy on global test data 51.272, Local accuracy on global train data 47.900, Local accuracy on local train data 65.868
Round  48, Devices participated 10, Average loss 0.954, Central accuracy on global test data 50.962, Local accuracy on global train data 48.728, Local accuracy on local train data 68.576
Round  49, Devices participated 10, Average loss 0.978, Central accuracy on global test data 51.112, Local accuracy on global train data 49.077, Local accuracy on local train data 67.536
Round  50, Devices participated 10, Average loss 0.897, Central accuracy on global test data 51.663, Local accuracy on global train data 50.857, Local accuracy on local train data 70.476
Round  51, Devices participated 10, Average loss 0.962, Central accuracy on global test data 51.593, Local accuracy on global train data 50.945, Local accuracy on local train data 68.348
Round  52, Devices participated 10, Average loss 0.927, Central accuracy on global test data 51.542, Local accuracy on global train data 51.099, Local accuracy on local train data 69.552
Round  53, Devices participated 10, Average loss 0.932, Central accuracy on global test data 51.743, Local accuracy on global train data 50.972, Local accuracy on local train data 69.364
Round  54, Devices participated 10, Average loss 0.985, Central accuracy on global test data 51.082, Local accuracy on global train data 48.948, Local accuracy on local train data 67.248
Round  55, Devices participated 10, Average loss 0.946, Central accuracy on global test data 51.222, Local accuracy on global train data 50.801, Local accuracy on local train data 68.804
Round  56, Devices participated 10, Average loss 0.978, Central accuracy on global test data 51.412, Local accuracy on global train data 50.374, Local accuracy on local train data 67.252
Round  57, Devices participated 10, Average loss 0.964, Central accuracy on global test data 51.663, Local accuracy on global train data 50.730, Local accuracy on local train data 68.112
Round  58, Devices participated 10, Average loss 0.958, Central accuracy on global test data 51.623, Local accuracy on global train data 51.624, Local accuracy on local train data 68.276
Round  59, Devices participated 10, Average loss 0.911, Central accuracy on global test data 51.693, Local accuracy on global train data 52.126, Local accuracy on local train data 69.852
Round  60, Devices participated 10, Average loss 0.935, Central accuracy on global test data 51.663, Local accuracy on global train data 50.583, Local accuracy on local train data 68.644
Round  61, Devices participated 10, Average loss 0.967, Central accuracy on global test data 52.123, Local accuracy on global train data 51.792, Local accuracy on local train data 67.980
Round  62, Devices participated 10, Average loss 0.943, Central accuracy on global test data 52.023, Local accuracy on global train data 52.185, Local accuracy on local train data 68.548
Round  63, Devices participated 10, Average loss 0.883, Central accuracy on global test data 52.103, Local accuracy on global train data 52.668, Local accuracy on local train data 70.616
Round  64, Devices participated 10, Average loss 0.916, Central accuracy on global test data 52.194, Local accuracy on global train data 51.426, Local accuracy on local train data 68.944
Round  65, Devices participated 10, Average loss 0.942, Central accuracy on global test data 52.214, Local accuracy on global train data 51.621, Local accuracy on local train data 68.336
Round  66, Devices participated 10, Average loss 0.928, Central accuracy on global test data 52.153, Local accuracy on global train data 51.821, Local accuracy on local train data 69.148
Round  67, Devices participated 10, Average loss 0.912, Central accuracy on global test data 51.953, Local accuracy on global train data 52.974, Local accuracy on local train data 69.696
Round  68, Devices participated 10, Average loss 0.905, Central accuracy on global test data 51.663, Local accuracy on global train data 52.664, Local accuracy on local train data 69.876
Round  69, Devices participated 10, Average loss 0.950, Central accuracy on global test data 51.693, Local accuracy on global train data 52.781, Local accuracy on local train data 68.380
Round  70, Devices participated 10, Average loss 0.896, Central accuracy on global test data 52.334, Local accuracy on global train data 52.849, Local accuracy on local train data 70.332
Round  71, Devices participated 10, Average loss 0.877, Central accuracy on global test data 52.794, Local accuracy on global train data 52.698, Local accuracy on local train data 71.168
Round  72, Devices participated 10, Average loss 0.950, Central accuracy on global test data 52.985, Local accuracy on global train data 53.032, Local accuracy on local train data 68.468
Round  73, Devices participated 10, Average loss 0.882, Central accuracy on global test data 52.965, Local accuracy on global train data 52.969, Local accuracy on local train data 70.556
Round  74, Devices participated 10, Average loss 0.887, Central accuracy on global test data 52.985, Local accuracy on global train data 53.091, Local accuracy on local train data 70.576
Round  75, Devices participated 10, Average loss 0.892, Central accuracy on global test data 53.105, Local accuracy on global train data 53.623, Local accuracy on local train data 69.776
Round  76, Devices participated 10, Average loss 0.830, Central accuracy on global test data 53.005, Local accuracy on global train data 53.223, Local accuracy on local train data 72.340
Round  77, Devices participated 10, Average loss 0.869, Central accuracy on global test data 53.115, Local accuracy on global train data 53.420, Local accuracy on local train data 71.260
Round  78, Devices participated 10, Average loss 0.857, Central accuracy on global test data 53.255, Local accuracy on global train data 53.940, Local accuracy on local train data 71.048
Round  79, Devices participated 10, Average loss 0.854, Central accuracy on global test data 53.345, Local accuracy on global train data 54.985, Local accuracy on local train data 71.712
Round  80, Devices participated 10, Average loss 0.900, Central accuracy on global test data 53.395, Local accuracy on global train data 53.828, Local accuracy on local train data 70.200
Round  81, Devices participated 10, Average loss 0.846, Central accuracy on global test data 53.546, Local accuracy on global train data 54.038, Local accuracy on local train data 71.648
Round  82, Devices participated 10, Average loss 0.847, Central accuracy on global test data 54.016, Local accuracy on global train data 54.407, Local accuracy on local train data 71.752
Round  83, Devices participated 10, Average loss 0.838, Central accuracy on global test data 53.996, Local accuracy on global train data 55.266, Local accuracy on local train data 72.356
Round  84, Devices participated 10, Average loss 0.836, Central accuracy on global test data 54.577, Local accuracy on global train data 55.427, Local accuracy on local train data 72.200
Round  85, Devices participated 10, Average loss 0.848, Central accuracy on global test data 54.527, Local accuracy on global train data 55.876, Local accuracy on local train data 72.140
Round  86, Devices participated 10, Average loss 0.830, Central accuracy on global test data 54.617, Local accuracy on global train data 56.030, Local accuracy on local train data 72.596
Round  87, Devices participated 10, Average loss 0.838, Central accuracy on global test data 54.698, Local accuracy on global train data 56.079, Local accuracy on local train data 72.496
Round  88, Devices participated 10, Average loss 0.823, Central accuracy on global test data 54.698, Local accuracy on global train data 56.250, Local accuracy on local train data 72.492
Round  89, Devices participated 10, Average loss 0.809, Central accuracy on global test data 54.728, Local accuracy on global train data 56.116, Local accuracy on local train data 73.376
Round  90, Devices participated 10, Average loss 0.835, Central accuracy on global test data 54.627, Local accuracy on global train data 56.597, Local accuracy on local train data 72.268
Round  91, Devices participated 10, Average loss 0.824, Central accuracy on global test data 54.677, Local accuracy on global train data 56.543, Local accuracy on local train data 72.644
Round  92, Devices participated 10, Average loss 0.803, Central accuracy on global test data 54.056, Local accuracy on global train data 55.452, Local accuracy on local train data 73.884
Round  93, Devices participated 10, Average loss 0.829, Central accuracy on global test data 53.856, Local accuracy on global train data 55.178, Local accuracy on local train data 72.972
Round  94, Devices participated 10, Average loss 0.795, Central accuracy on global test data 53.876, Local accuracy on global train data 55.840, Local accuracy on local train data 73.952
Round  95, Devices participated 10, Average loss 0.811, Central accuracy on global test data 54.167, Local accuracy on global train data 56.396, Local accuracy on local train data 73.684
Round  96, Devices participated 10, Average loss 0.791, Central accuracy on global test data 54.377, Local accuracy on global train data 55.989, Local accuracy on local train data 74.200
Round  97, Devices participated 10, Average loss 0.827, Central accuracy on global test data 54.297, Local accuracy on global train data 55.881, Local accuracy on local train data 72.720
Round  98, Devices participated 10, Average loss 0.799, Central accuracy on global test data 54.327, Local accuracy on global train data 57.292, Local accuracy on local train data 73.640
Round  99, Devices participated 10, Average loss 0.844, Central accuracy on global test data 54.387, Local accuracy on global train data 56.042, Local accuracy on local train data 72.528
Round 100, Devices participated 10, Average loss 0.785, Central accuracy on global test data 54.137, Local accuracy on global train data 56.697, Local accuracy on local train data 74.300
Round 101, Devices participated 10, Average loss 0.760, Central accuracy on global test data 53.846, Local accuracy on global train data 57.507, Local accuracy on local train data 75.124
Round 102, Devices participated 10, Average loss 0.736, Central accuracy on global test data 53.415, Local accuracy on global train data 57.197, Local accuracy on local train data 76.732
Round 103, Devices participated 10, Average loss 0.833, Central accuracy on global test data 53.726, Local accuracy on global train data 57.214, Local accuracy on local train data 72.236
Round 104, Devices participated 10, Average loss 0.824, Central accuracy on global test data 53.496, Local accuracy on global train data 57.380, Local accuracy on local train data 73.216
Round 105, Devices participated 10, Average loss 0.823, Central accuracy on global test data 53.786, Local accuracy on global train data 56.982, Local accuracy on local train data 72.736
Round 106, Devices participated 10, Average loss 0.783, Central accuracy on global test data 53.896, Local accuracy on global train data 57.388, Local accuracy on local train data 74.088
Round 107, Devices participated 10, Average loss 0.817, Central accuracy on global test data 54.036, Local accuracy on global train data 57.351, Local accuracy on local train data 73.184
Round 108, Devices participated 10, Average loss 0.796, Central accuracy on global test data 54.267, Local accuracy on global train data 56.353, Local accuracy on local train data 73.548
Round 109, Devices participated 10, Average loss 0.823, Central accuracy on global test data 54.547, Local accuracy on global train data 56.394, Local accuracy on local train data 72.780
Round 110, Devices participated 10, Average loss 0.833, Central accuracy on global test data 54.377, Local accuracy on global train data 57.783, Local accuracy on local train data 72.380
Round 111, Devices participated 10, Average loss 0.800, Central accuracy on global test data 54.497, Local accuracy on global train data 58.152, Local accuracy on local train data 73.448
Round 112, Devices participated 10, Average loss 0.757, Central accuracy on global test data 54.938, Local accuracy on global train data 58.611, Local accuracy on local train data 74.392
Round 113, Devices participated 10, Average loss 0.768, Central accuracy on global test data 54.928, Local accuracy on global train data 57.964, Local accuracy on local train data 74.648
Round 114, Devices participated 10, Average loss 0.796, Central accuracy on global test data 55.439, Local accuracy on global train data 58.411, Local accuracy on local train data 73.544
Round 115, Devices participated 10, Average loss 0.747, Central accuracy on global test data 55.329, Local accuracy on global train data 59.397, Local accuracy on local train data 75.608
Round 116, Devices participated 10, Average loss 0.783, Central accuracy on global test data 55.889, Local accuracy on global train data 58.591, Local accuracy on local train data 74.204
Round 117, Devices participated 10, Average loss 0.741, Central accuracy on global test data 55.759, Local accuracy on global train data 59.294, Local accuracy on local train data 75.460
Round 118, Devices participated 10, Average loss 0.749, Central accuracy on global test data 55.879, Local accuracy on global train data 59.487, Local accuracy on local train data 75.264
Round 119, Devices participated 10, Average loss 0.744, Central accuracy on global test data 55.789, Local accuracy on global train data 59.414, Local accuracy on local train data 75.680
Round 120, Devices participated 10, Average loss 0.781, Central accuracy on global test data 55.769, Local accuracy on global train data 58.752, Local accuracy on local train data 74.148
Round 121, Devices participated 10, Average loss 0.710, Central accuracy on global test data 55.749, Local accuracy on global train data 60.024, Local accuracy on local train data 76.280
