['main_fedlisa.py', '--dataset', 'mnist', '--model', 'mlp', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '3', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--opt_mode', '2', '--vr_mode', '0', '--screendump_file', 'log/perf1000_fedlisa_mnistnoniid_mlp_bs50ep3_opt2vr0.log']
2020-08-02 00:10:45.433063

Round   0, Devices participated 10, Average loss 0.702, Central accuracy on global test data 10.867, Local accuracy on global train data 21.079, Local accuracy on local train data 89.900
Round   1, Devices participated 10, Average loss 0.500, Central accuracy on global test data 26.302, Local accuracy on global train data 18.711, Local accuracy on local train data 92.778
Round   2, Devices participated 10, Average loss 0.167, Central accuracy on global test data 32.933, Local accuracy on global train data 19.844, Local accuracy on local train data 94.839
Round   3, Devices participated 10, Average loss 0.113, Central accuracy on global test data 48.007, Local accuracy on global train data 19.722, Local accuracy on local train data 96.600
Round   4, Devices participated 10, Average loss 0.125, Central accuracy on global test data 56.761, Local accuracy on global train data 20.505, Local accuracy on local train data 96.522
Round   5, Devices participated 10, Average loss 0.242, Central accuracy on global test data 66.987, Local accuracy on global train data 19.597, Local accuracy on local train data 93.400
Round   6, Devices participated 10, Average loss 0.129, Central accuracy on global test data 74.619, Local accuracy on global train data 29.165, Local accuracy on local train data 96.411
Round   7, Devices participated 10, Average loss 0.089, Central accuracy on global test data 81.280, Local accuracy on global train data 36.360, Local accuracy on local train data 97.417
Round   8, Devices participated 10, Average loss 0.061, Central accuracy on global test data 82.262, Local accuracy on global train data 37.219, Local accuracy on local train data 98.178
Round   9, Devices participated 10, Average loss 0.040, Central accuracy on global test data 83.644, Local accuracy on global train data 43.992, Local accuracy on local train data 98.767
Round  10, Devices participated 10, Average loss 0.066, Central accuracy on global test data 84.345, Local accuracy on global train data 43.730, Local accuracy on local train data 98.328
Round  11, Devices participated 10, Average loss 0.072, Central accuracy on global test data 88.792, Local accuracy on global train data 43.860, Local accuracy on local train data 98.017
Round  12, Devices participated 10, Average loss 0.092, Central accuracy on global test data 88.822, Local accuracy on global train data 55.312, Local accuracy on local train data 97.778
Round  13, Devices participated 10, Average loss 0.029, Central accuracy on global test data 87.680, Local accuracy on global train data 58.811, Local accuracy on local train data 99.206
Round  14, Devices participated 10, Average loss 0.087, Central accuracy on global test data 87.590, Local accuracy on global train data 51.533, Local accuracy on local train data 97.872
Round  15, Devices participated 10, Average loss 0.114, Central accuracy on global test data 89.263, Local accuracy on global train data 47.251, Local accuracy on local train data 97.261
Round  16, Devices participated 10, Average loss 0.048, Central accuracy on global test data 90.495, Local accuracy on global train data 63.379, Local accuracy on local train data 98.711
Round  17, Devices participated 10, Average loss 0.023, Central accuracy on global test data 90.875, Local accuracy on global train data 65.708, Local accuracy on local train data 99.306
Round  18, Devices participated 10, Average loss 0.036, Central accuracy on global test data 90.485, Local accuracy on global train data 62.524, Local accuracy on local train data 98.906
Round  19, Devices participated 10, Average loss 0.061, Central accuracy on global test data 88.291, Local accuracy on global train data 57.498, Local accuracy on local train data 98.311
