['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt2vr1_qn1.log']
2020-08-01 16:16:45.044246

['main_fedlisa.py', '--dataset', 'cifar', '--iid', '--model', 'lenet5', '--epochs', '1000', '--gpu', '0', '--num_channels', '3', '--local_bs', '50', '--frac', '0.1', '--momentum', '0.0', '--local_ep', '1', '--lr', '0.1', '--lbfgs_hist', '50', '--lr_g', '1.0', '--seed', '123', '--qn_mode', '1', '--opt_mode', '2', '--vr_mode', '1', '--screendump_file', 'log/perf1000_fedlisa_cifariid_lenet5_bs50ep1_opt2vr1_qn1.log']
2020-08-01 16:24:57.736120

Round   0, Devices participated 10, Average loss 2.303, Central accuracy on global test data 10.176, Local accuracy on global train data 10.486, Local accuracy on local train data 10.060
Round   1, Devices participated 10, Average loss 2.305, Central accuracy on global test data 10.577, Local accuracy on global train data 10.383, Local accuracy on local train data 10.720
Round   2, Devices participated 10, Average loss 2.306, Central accuracy on global test data 10.938, Local accuracy on global train data 10.376, Local accuracy on local train data 9.620
Round   3, Devices participated 10, Average loss 2.302, Central accuracy on global test data 12.490, Local accuracy on global train data 10.867, Local accuracy on local train data 10.740
Round   4, Devices participated 10, Average loss 2.302, Central accuracy on global test data 13.161, Local accuracy on global train data 11.465, Local accuracy on local train data 10.820
Round   5, Devices participated 10, Average loss 2.299, Central accuracy on global test data 13.411, Local accuracy on global train data 12.471, Local accuracy on local train data 12.240
Round   6, Devices participated 10, Average loss 2.297, Central accuracy on global test data 17.538, Local accuracy on global train data 12.839, Local accuracy on local train data 13.160
Round   7, Devices participated 10, Average loss 2.295, Central accuracy on global test data 15.525, Local accuracy on global train data 16.082, Local accuracy on local train data 15.180
Round   8, Devices participated 10, Average loss 2.290, Central accuracy on global test data 15.735, Local accuracy on global train data 16.218, Local accuracy on local train data 15.540
Round   9, Devices participated 10, Average loss 2.285, Central accuracy on global test data 15.304, Local accuracy on global train data 16.184, Local accuracy on local train data 14.840
Round  10, Devices participated 10, Average loss 2.269, Central accuracy on global test data 14.133, Local accuracy on global train data 15.295, Local accuracy on local train data 15.860
Round  11, Devices participated 10, Average loss 2.252, Central accuracy on global test data 13.712, Local accuracy on global train data 17.620, Local accuracy on local train data 14.460
Round  12, Devices participated 10, Average loss 2.222, Central accuracy on global test data 16.246, Local accuracy on global train data 18.687, Local accuracy on local train data 15.160
Round  13, Devices participated 10, Average loss 2.176, Central accuracy on global test data 18.169, Local accuracy on global train data 19.880, Local accuracy on local train data 18.340
Round  14, Devices participated 10, Average loss 2.162, Central accuracy on global test data 20.202, Local accuracy on global train data 20.762, Local accuracy on local train data 19.600
Round  15, Devices participated 10, Average loss 2.153, Central accuracy on global test data 20.242, Local accuracy on global train data 21.099, Local accuracy on local train data 20.580
Round  16, Devices participated 10, Average loss 2.152, Central accuracy on global test data 20.022, Local accuracy on global train data 22.415, Local accuracy on local train data 20.880
Round  17, Devices participated 10, Average loss 2.237, Central accuracy on global test data 17.558, Local accuracy on global train data 22.002, Local accuracy on local train data 19.800
Round  18, Devices participated 10, Average loss 2.263, Central accuracy on global test data 15.445, Local accuracy on global train data 21.399, Local accuracy on local train data 18.260
Round  19, Devices participated 10, Average loss 2.154, Central accuracy on global test data 12.330, Local accuracy on global train data 23.481, Local accuracy on local train data 20.420
Round  20, Devices participated 10, Average loss 2.141, Central accuracy on global test data 9.185, Local accuracy on global train data 22.107, Local accuracy on local train data 19.340
Round  21, Devices participated 10, Average loss 2.182, Central accuracy on global test data 8.894, Local accuracy on global train data 22.417, Local accuracy on local train data 17.380
