python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --weight_init kaiming --bias_init zeros --lr 0.05

Round   0, Devices participated 10, Average loss 0.226, Central accuracy on global test data 32.227, Local accuracy on global train data 19.385, Local accuracy on local train data 93.717
Round   1, Devices participated 10, Average loss 0.211, Central accuracy on global test data 36.816, Local accuracy on global train data 17.524, Local accuracy on local train data 93.150
Round   2, Devices participated 10, Average loss 0.147, Central accuracy on global test data 53.018, Local accuracy on global train data 20.813, Local accuracy on local train data 95.167
Round   3, Devices participated 10, Average loss 0.127, Central accuracy on global test data 63.135, Local accuracy on global train data 21.592, Local accuracy on local train data 96.067
Round   4, Devices participated 10, Average loss 0.104, Central accuracy on global test data 69.844, Local accuracy on global train data 23.413, Local accuracy on local train data 96.717
Round   5, Devices participated 10, Average loss 0.115, Central accuracy on global test data 68.584, Local accuracy on global train data 29.751, Local accuracy on local train data 96.617
Round   6, Devices participated 10, Average loss 0.121, Central accuracy on global test data 67.051, Local accuracy on global train data 27.800, Local accuracy on local train data 96.533
Round   7, Devices participated 10, Average loss 0.135, Central accuracy on global test data 84.619, Local accuracy on global train data 28.184, Local accuracy on local train data 95.967
Round   8, Devices participated 10, Average loss 0.083, Central accuracy on global test data 83.984, Local accuracy on global train data 35.156, Local accuracy on local train data 97.500
Round   9, Devices participated 10, Average loss 0.092, Central accuracy on global test data 82.363, Local accuracy on global train data 37.874, Local accuracy on local train data 96.933
Round  10, Devices participated 10, Average loss 0.100, Central accuracy on global test data 84.287, Local accuracy on global train data 36.428, Local accuracy on local train data 97.317
Round  11, Devices participated 10, Average loss 0.053, Central accuracy on global test data 80.400, Local accuracy on global train data 45.317, Local accuracy on local train data 98.383
Round  12, Devices participated 10, Average loss 0.100, Central accuracy on global test data 83.184, Local accuracy on global train data 42.708, Local accuracy on local train data 96.917
Round  13, Devices participated 10, Average loss 0.085, Central accuracy on global test data 88.691, Local accuracy on global train data 41.296, Local accuracy on local train data 97.400
Round  14, Devices participated 10, Average loss 0.103, Central accuracy on global test data 89.766, Local accuracy on global train data 53.000, Local accuracy on local train data 96.817
Round  15, Devices participated 10, Average loss 0.078, Central accuracy on global test data 89.561, Local accuracy on global train data 49.038, Local accuracy on local train data 97.600
Round  16, Devices participated 10, Average loss 0.092, Central accuracy on global test data 89.590, Local accuracy on global train data 47.480, Local accuracy on local train data 97.333
Round  17, Devices participated 10, Average loss 0.049, Central accuracy on global test data 89.473, Local accuracy on global train data 53.796, Local accuracy on local train data 98.550
Round  18, Devices participated 10, Average loss 0.088, Central accuracy on global test data 87.656, Local accuracy on global train data 49.072, Local accuracy on local train data 96.983
