python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --weight_init kaiming --bias_init zeros

Round  46, Devices participated 10, Average loss 0.065, Central accuracy on global test data 88.379, Local accuracy on global train data 59.084, Local accuracy on local train data 98.033
Round  47, Devices participated 10, Average loss 0.038, Central accuracy on global test data 86.953, Local accuracy on global train data 58.181, Local accuracy on local train data 98.883
Round  48, Devices participated 10, Average loss 0.057, Central accuracy on global test data 89.160, Local accuracy on global train data 64.329, Local accuracy on local train data 97.950
Round  49, Devices participated 10, Average loss 0.042, Central accuracy on global test data 86.709, Local accuracy on global train data 65.034, Local accuracy on local train data 98.800
Round  50, Devices participated 10, Average loss 0.054, Central accuracy on global test data 87.969, Local accuracy on global train data 60.183, Local accuracy on local train data 98.200
Round  51, Devices participated 10, Average loss 0.044, Central accuracy on global test data 90.225, Local accuracy on global train data 64.077, Local accuracy on local train data 98.583
Round  52, Devices participated 10, Average loss 0.052, Central accuracy on global test data 87.549, Local accuracy on global train data 59.001, Local accuracy on local train data 98.433
Round  53, Devices participated 10, Average loss 0.053, Central accuracy on global test data 87.129, Local accuracy on global train data 56.655, Local accuracy on local train data 98.367
Round  54, Devices participated 10, Average loss 0.032, Central accuracy on global test data 87.197, Local accuracy on global train data 58.274, Local accuracy on local train data 98.917
Round  55, Devices participated 10, Average loss 0.039, Central accuracy on global test data 89.678, Local accuracy on global train data 58.428, Local accuracy on local train data 98.750
Round  56, Devices participated 10, Average loss 0.045, Central accuracy on global test data 89.307, Local accuracy on global train data 62.798, Local accuracy on local train data 98.750
Round  57, Devices participated 10, Average loss 0.044, Central accuracy on global test data 87.285, Local accuracy on global train data 62.566, Local accuracy on local train data 98.917
Round  58, Devices participated 10, Average loss 0.048, Central accuracy on global test data 89.150, Local accuracy on global train data 59.268, Local accuracy on local train data 98.350
Round  59, Devices participated 10, Average loss 0.043, Central accuracy on global test data 89.580, Local accuracy on global train data 64.993, Local accuracy on local train data 98.650
Round  60, Devices participated 10, Average loss 0.053, Central accuracy on global test data 89.248, Local accuracy on global train data 58.704, Local accuracy on local train data 98.367
Round  61, Devices participated 10, Average loss 0.044, Central accuracy on global test data 90.576, Local accuracy on global train data 60.798, Local accuracy on local train data 98.683
Round  62, Devices participated 10, Average loss 0.037, Central accuracy on global test data 91.299, Local accuracy on global train data 62.188, Local accuracy on local train data 98.950
Round  63, Devices participated 10, Average loss 0.036, Central accuracy on global test data 90.449, Local accuracy on global train data 62.017, Local accuracy on local train data 98.883
Round  64, Devices participated 10, Average loss 0.044, Central accuracy on global test data 88.799, Local accuracy on global train data 63.882, Local accuracy on local train data 98.450
