python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 1 --async_s2d 1 --weight_init kaiming --bias_init zero

Round  35, Devices participated 10, Average loss 0.156, Central accuracy on global test data 64.199, Ensemble accuracy on global test data 65.859, Local accuracy on global train data 28.228, Local accuracy on local train data 96.267
Round  36, Devices participated 10, Average loss 0.212, Central accuracy on global test data 65.127, Ensemble accuracy on global test data 65.664, Local accuracy on global train data 33.557, Local accuracy on local train data 95.900
Round  37, Devices participated 10, Average loss 0.258, Central accuracy on global test data 68.164, Ensemble accuracy on global test data 67.402, Local accuracy on global train data 34.355, Local accuracy on local train data 94.617
Round  38, Devices participated 10, Average loss 0.187, Central accuracy on global test data 71.826, Ensemble accuracy on global test data 71.514, Local accuracy on global train data 31.853, Local accuracy on local train data 95.817
Round  39, Devices participated 10, Average loss 0.121, Central accuracy on global test data 63.574, Ensemble accuracy on global test data 63.145, Local accuracy on global train data 31.606, Local accuracy on local train data 96.800
Round  40, Devices participated 10, Average loss 0.197, Central accuracy on global test data 70.908, Ensemble accuracy on global test data 70.723, Local accuracy on global train data 30.063, Local accuracy on local train data 96.017
Round  41, Devices participated 10, Average loss 0.244, Central accuracy on global test data 72.236, Ensemble accuracy on global test data 71.338, Local accuracy on global train data 35.325, Local accuracy on local train data 95.017
Round  42, Devices participated 10, Average loss 0.161, Central accuracy on global test data 69.287, Ensemble accuracy on global test data 70.557, Local accuracy on global train data 33.718, Local accuracy on local train data 96.383
Round  43, Devices participated 10, Average loss 0.177, Central accuracy on global test data 76.689, Ensemble accuracy on global test data 76.221, Local accuracy on global train data 30.981, Local accuracy on local train data 96.683
Round  44, Devices participated 10, Average loss 0.243, Central accuracy on global test data 72.617, Ensemble accuracy on global test data 73.291, Local accuracy on global train data 35.161, Local accuracy on local train data 95.033
Round  45, Devices participated 10, Average loss 0.207, Central accuracy on global test data 68.115, Ensemble accuracy on global test data 68.613, Local accuracy on global train data 38.735, Local accuracy on local train data 96.050
Round  46, Devices participated 10, Average loss 0.255, Central accuracy on global test data 72.139, Ensemble accuracy on global test data 72.217, Local accuracy on global train data 40.117, Local accuracy on local train data 94.550
Round  47, Devices participated 10, Average loss 0.137, Central accuracy on global test data 72.998, Ensemble accuracy on global test data 72.627, Local accuracy on global train data 34.424, Local accuracy on local train data 97.217
Round  48, Devices participated 10, Average loss 0.167, Central accuracy on global test data 74.824, Ensemble accuracy on global test data 75.225, Local accuracy on global train data 40.149, Local accuracy on local train data 95.767
Round  49, Devices participated 10, Average loss 0.150, Central accuracy on global test data 72.461, Ensemble accuracy on global test data 71.465, Local accuracy on global train data 41.379, Local accuracy on local train data 97.050
Round  50, Devices participated 10, Average loss 0.176, Central accuracy on global test data 71.709, Ensemble accuracy on global test data 72.119, Local accuracy on global train data 36.484, Local accuracy on local train data 95.800
Round  51, Devices participated 10, Average loss 0.149, Central accuracy on global test data 75.645, Ensemble accuracy on global test data 76.191, Local accuracy on global train data 45.054, Local accuracy on local train data 96.433
Round  52, Devices participated 10, Average loss 0.206, Central accuracy on global test data 71.289, Ensemble accuracy on global test data 70.605, Local accuracy on global train data 36.331, Local accuracy on local train data 96.150
Round  53, Devices participated 10, Average loss 0.139, Central accuracy on global test data 69.883, Ensemble accuracy on global test data 68.896, Local accuracy on global train data 35.535, Local accuracy on local train data 96.483
Round  54, Devices participated 10, Average loss 0.102, Central accuracy on global test data 70.469, Ensemble accuracy on global test data 70.371, Local accuracy on global train data 37.034, Local accuracy on local train data 97.467
