python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 
--nn_refresh 0 --weight_init kaiming --bias_init zero

Round  35, Devices participated 10, Average loss 0.056, Central accuracy on global test data 89.551, Ensemble accuracy on global test data 89.219, Local accuracy on global train data 63.545, Local accuracy on local train data 98.367
Round  36, Devices participated 10, Average loss 0.065, Central accuracy on global test data 89.258, Ensemble accuracy on global test data 89.092, Local accuracy on global train data 66.191, Local accuracy on local train data 98.083
Round  37, Devices participated 10, Average loss 0.077, Central accuracy on global test data 88.154, Ensemble accuracy on global test data 87.734, Local accuracy on global train data 67.832, Local accuracy on local train data 97.317
Round  38, Devices participated 10, Average loss 0.056, Central accuracy on global test data 90.518, Ensemble accuracy on global test data 90.293, Local accuracy on global train data 63.154, Local accuracy on local train data 98.117
Round  39, Devices participated 10, Average loss 0.044, Central accuracy on global test data 90.273, Ensemble accuracy on global test data 90.107, Local accuracy on global train data 66.934, Local accuracy on local train data 98.533
Round  40, Devices participated 10, Average loss 0.056, Central accuracy on global test data 91.553, Ensemble accuracy on global test data 91.543, Local accuracy on global train data 63.271, Local accuracy on local train data 98.450
Round  41, Devices participated 10, Average loss 0.053, Central accuracy on global test data 89.609, Ensemble accuracy on global test data 89.570, Local accuracy on global train data 68.440, Local accuracy on local train data 98.200
Round  42, Devices participated 10, Average loss 0.053, Central accuracy on global test data 89.619, Ensemble accuracy on global test data 89.600, Local accuracy on global train data 65.386, Local accuracy on local train data 98.650
Round  43, Devices participated 10, Average loss 0.057, Central accuracy on global test data 90.938, Ensemble accuracy on global test data 90.723, Local accuracy on global train data 62.769, Local accuracy on local train data 98.450
Round  44, Devices participated 10, Average loss 0.072, Central accuracy on global test data 89.189, Ensemble accuracy on global test data 88.506, Local accuracy on global train data 64.226, Local accuracy on local train data 97.667
Round  45, Devices participated 10, Average loss 0.048, Central accuracy on global test data 90.322, Ensemble accuracy on global test data 90.127, Local accuracy on global train data 73.545, Local accuracy on local train data 98.433
Round  46, Devices participated 10, Average loss 0.066, Central accuracy on global test data 89.580, Ensemble accuracy on global test data 88.955, Local accuracy on global train data 70.640, Local accuracy on local train data 97.817
Round  47, Devices participated 10, Average loss 0.038, Central accuracy on global test data 90.918, Ensemble accuracy on global test data 90.449, Local accuracy on global train data 69.192, Local accuracy on local train data 98.783
Round  48, Devices participated 10, Average loss 0.051, Central accuracy on global test data 91.387, Ensemble accuracy on global test data 91.133, Local accuracy on global train data 73.940, Local accuracy on local train data 98.400
Round  49, Devices participated 10, Average loss 0.043, Central accuracy on global test data 90.020, Ensemble accuracy on global test data 89.609, Local accuracy on global train data 74.685, Local accuracy on local train data 98.733
Round  50, Devices participated 10, Average loss 0.049, Central accuracy on global test data 90.449, Ensemble accuracy on global test data 90.176, Local accuracy on global train data 71.897, Local accuracy on local train data 98.333
Round  51, Devices participated 10, Average loss 0.043, Central accuracy on global test data 90.947, Ensemble accuracy on global test data 90.898, Local accuracy on global train data 74.561, Local accuracy on local train data 98.683
Round  52, Devices participated 10, Average loss 0.050, Central accuracy on global test data 89.561, Ensemble accuracy on global test data 89.355, Local accuracy on global train data 70.400, Local accuracy on local train data 98.567
Round  53, Devices participated 10, Average loss 0.044, Central accuracy on global test data 90.117, Ensemble accuracy on global test data 89.785, Local accuracy on global train data 67.991, Local accuracy on local train data 98.483
Round  54, Devices participated 10, Average loss 0.029, Central accuracy on global test data 88.691, Ensemble accuracy on global test data 88.369, Local accuracy on global train data 70.352, Local accuracy on local train data 99.117
Round  55, Devices participated 10, Average loss 0.043, Central accuracy on global test data 90.596, Ensemble accuracy on global test data 90.684, Local accuracy on global train data 66.521, Local accuracy on local train data 98.617
Round  56, Devices participated 10, Average loss 0.038, Central accuracy on global test data 91.035, Ensemble accuracy on global test data 91.055, Local accuracy on global train data 71.707, Local accuracy on local train data 98.833
Round  57, Devices participated 10, Average loss 0.037, Central accuracy on global test data 89.385, Ensemble accuracy on global test data 89.121, Local accuracy on global train data 71.963, Local accuracy on local train data 98.800
Round  58, Devices participated 10, Average loss 0.046, Central accuracy on global test data 90.820, Ensemble accuracy on global test data 90.811, Local accuracy on global train data 67.786, Local accuracy on local train data 98.567
Round  59, Devices participated 10, Average loss 0.040, Central accuracy on global test data 91.191, Ensemble accuracy on global test data 91.055, Local accuracy on global train data 70.361, Local accuracy on local train data 98.733
Round  60, Devices participated 10, Average loss 0.048, Central accuracy on global test data 91.240, Ensemble accuracy on global test data 91.221, Local accuracy on global train data 70.889, Local accuracy on local train data 98.483
Round  61, Devices participated 10, Average loss 0.037, Central accuracy on global test data 91.309, Ensemble accuracy on global test data 91.211, Local accuracy on global train data 70.283, Local accuracy on local train data 98.833
Round  62, Devices participated 10, Average loss 0.036, Central accuracy on global test data 92.285, Ensemble accuracy on global test data 92.217, Local accuracy on global train data 70.488, Local accuracy on local train data 98.817
Round  63, Devices participated 10, Average loss 0.035, Central accuracy on global test data 91.631, Ensemble accuracy on global test data 91.572, Local accuracy on global train data 71.772, Local accuracy on local train data 99.017
Round  64, Devices participated 10, Average loss 0.044, Central accuracy on global test data 89.785, Ensemble accuracy on global test data 89.365, Local accuracy on global train data 71.794, Local accuracy on local train data 98.683
Round  65, Devices participated 10, Average loss 0.056, Central accuracy on global test data 90.664, Ensemble accuracy on global test data 90.615, Local accuracy on global train data 76.758, Local accuracy on local train data 98.217
Round  66, Devices participated 10, Average loss 0.040, Central accuracy on global test data 92.148, Ensemble accuracy on global test data 92.148, Local accuracy on global train data 75.134, Local accuracy on local train data 98.717
Round  67, Devices participated 10, Average loss 0.029, Central accuracy on global test data 91.992, Ensemble accuracy on global test data 91.914, Local accuracy on global train data 72.795, Local accuracy on local train data 99.133
Round  68, Devices participated 10, Average loss 0.029, Central accuracy on global test data 91.777, Ensemble accuracy on global test data 91.768, Local accuracy on global train data 77.756, Local accuracy on local train data 99.300
Round  69, Devices participated 10, Average loss 0.033, Central accuracy on global test data 89.766, Ensemble accuracy on global test data 89.102, Local accuracy on global train data 71.589, Local accuracy on local train data 98.933
Round  70, Devices participated 10, Average loss 0.042, Central accuracy on global test data 92.490, Ensemble accuracy on global test data 92.373, Local accuracy on global train data 74.067, Local accuracy on local train data 98.633
Round  71, Devices participated 10, Average loss 0.036, Central accuracy on global test data 91.465, Ensemble accuracy on global test data 91.123, Local accuracy on global train data 73.530, Local accuracy on local train data 98.767
