python main_fedavg.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --noniid_hard

Round  46, Devices participated 10, Average loss 0.020, Central accuracy on global test data 77.861, Local accuracy on global train data 29.692, Local accuracy on local train data 99.450
Round  47, Devices participated 10, Average loss 0.016, Central accuracy on global test data 80.811, Local accuracy on global train data 29.392, Local accuracy on local train data 99.583
Round  48, Devices participated 10, Average loss 0.024, Central accuracy on global test data 80.840, Local accuracy on global train data 31.470, Local accuracy on local train data 99.300
Round  49, Devices participated 10, Average loss 0.016, Central accuracy on global test data 76.807, Local accuracy on global train data 22.024, Local accuracy on local train data 99.467
Round  50, Devices participated 10, Average loss 0.016, Central accuracy on global test data 80.410, Local accuracy on global train data 30.886, Local accuracy on local train data 99.467
Round  51, Devices participated 10, Average loss 0.012, Central accuracy on global test data 82.422, Local accuracy on global train data 31.252, Local accuracy on local train data 99.667
Round  52, Devices participated 10, Average loss 0.015, Central accuracy on global test data 77.861, Local accuracy on global train data 22.344, Local accuracy on local train data 99.633
Round  53, Devices participated 10, Average loss 0.022, Central accuracy on global test data 84.463, Local accuracy on global train data 30.400, Local accuracy on local train data 99.383
Round  54, Devices participated 10, Average loss 0.011, Central accuracy on global test data 77.285, Local accuracy on global train data 30.562, Local accuracy on local train data 99.733
Round  55, Devices participated 10, Average loss 0.016, Central accuracy on global test data 82.920, Local accuracy on global train data 27.539, Local accuracy on local train data 99.550
Round  56, Devices participated 10, Average loss 0.013, Central accuracy on global test data 83.408, Local accuracy on global train data 33.938, Local accuracy on local train data 99.717
Round  57, Devices participated 10, Average loss 0.016, Central accuracy on global test data 81.416, Local accuracy on global train data 36.182, Local accuracy on local train data 99.617
Round  58, Devices participated 10, Average loss 0.017, Central accuracy on global test data 73.955, Local accuracy on global train data 31.707, Local accuracy on local train data 99.450
Round  59, Devices participated 10, Average loss 0.017, Central accuracy on global test data 81.641, Local accuracy on global train data 29.150, Local accuracy on local train data 99.533
Round  60, Devices participated 10, Average loss 0.014, Central accuracy on global test data 80.439, Local accuracy on global train data 26.387, Local accuracy on local train data 99.533
Round  61, Devices participated 10, Average loss 0.014, Central accuracy on global test data 76.787, Local accuracy on global train data 23.901, Local accuracy on local train data 99.450
Round  62, Devices participated 10, Average loss 0.021, Central accuracy on global test data 79.629, Local accuracy on global train data 32.239, Local accuracy on local train data 99.400
Round  63, Devices participated 10, Average loss 0.019, Central accuracy on global test data 84.092, Local accuracy on global train data 24.314, Local accuracy on local train data 99.433
Round  64, Devices participated 10, Average loss 0.013, Central accuracy on global test data 82.441, Local accuracy on global train data 29.829, Local accuracy on local train data 99.583
Round  65, Devices participated 10, Average loss 0.015, Central accuracy on global test data 86.191, Local accuracy on global train data 23.384, Local accuracy on local train data 99.483
Round  66, Devices participated 10, Average loss 0.015, Central accuracy on global test data 80.703, Local accuracy on global train data 35.688, Local accuracy on local train data 99.683
Round  67, Devices participated 10, Average loss 0.017, Central accuracy on global test data 81.826, Local accuracy on global train data 30.242, Local accuracy on local train data 99.550
Round  68, Devices participated 10, Average loss 0.013, Central accuracy on global test data 81.621, Local accuracy on global train data 29.370, Local accuracy on local train data 99.583
Round  69, Devices participated 10, Average loss 0.012, Central accuracy on global test data 81.631, Local accuracy on global train data 37.031, Local accuracy on local train data 99.717
Round  70, Devices participated 10, Average loss 0.021, Central accuracy on global test data 82.373, Local accuracy on global train data 25.735, Local accuracy on local train data 99.400
Round  71, Devices participated 10, Average loss 0.023, Central accuracy on global test data 82.354, Local accuracy on global train data 31.870, Local accuracy on local train data 99.200
Round  72, Devices participated 10, Average loss 0.013, Central accuracy on global test data 85.762, Local accuracy on global train data 33.713, Local accuracy on local train data 99.617
Round  73, Devices participated 10, Average loss 0.012, Central accuracy on global test data 82.188, Local accuracy on global train data 37.449, Local accuracy on local train data 99.700
Round  74, Devices participated 10, Average loss 0.012, Central accuracy on global test data 84.473, Local accuracy on global train data 31.399, Local accuracy on local train data 99.650
Round  75, Devices participated 10, Average loss 0.012, Central accuracy on global test data 83.330, Local accuracy on global train data 27.075, Local accuracy on local train data 99.650
Round  76, Devices participated 10, Average loss 0.021, Central accuracy on global test data 80.537, Local accuracy on global train data 31.677, Local accuracy on local train data 99.417
Round  77, Devices participated 10, Average loss 0.009, Central accuracy on global test data 79.072, Local accuracy on global train data 34.492, Local accuracy on local train data 99.767
Round  78, Devices participated 10, Average loss 0.022, Central accuracy on global test data 80.059, Local accuracy on global train data 27.456, Local accuracy on local train data 99.267
Round  79, Devices participated 10, Average loss 0.014, Central accuracy on global test data 75.156, Local accuracy on global train data 29.082, Local accuracy on local train data 99.533
Round  80, Devices participated 10, Average loss 0.018, Central accuracy on global test data 81.904, Local accuracy on global train data 29.761, Local accuracy on local train data 99.567
Round  81, Devices participated 10, Average loss 0.011, Central accuracy on global test data 77.080, Local accuracy on global train data 27.761, Local accuracy on local train data 99.717
Round  82, Devices participated 10, Average loss 0.011, Central accuracy on global test data 72.871, Local accuracy on global train data 33.962, Local accuracy on local train data 99.650
Round  83, Devices participated 10, Average loss 0.022, Central accuracy on global test data 80.986, Local accuracy on global train data 26.055, Local accuracy on local train data 99.217
Round  84, Devices participated 10, Average loss 0.014, Central accuracy on global test data 81.377, Local accuracy on global train data 35.317, Local accuracy on local train data 99.600
Round  85, Devices participated 10, Average loss 0.022, Central accuracy on global test data 69.736, Local accuracy on global train data 28.799, Local accuracy on local train data 99.217
Round  86, Devices participated 10, Average loss 0.019, Central accuracy on global test data 78.564, Local accuracy on global train data 25.183, Local accuracy on local train data 99.483
Round  87, Devices participated 10, Average loss 0.018, Central accuracy on global test data 73.594, Local accuracy on global train data 26.567, Local accuracy on local train data 99.517
Round  88, Devices participated 10, Average loss 0.017, Central accuracy on global test data 80.762, Local accuracy on global train data 31.750, Local accuracy on local train data 99.450
Round  89, Devices participated 10, Average loss 0.020, Central accuracy on global test data 82.852, Local accuracy on global train data 38.062, Local accuracy on local train data 99.317
Round  90, Devices participated 10, Average loss 0.017, Central accuracy on global test data 77.754, Local accuracy on global train data 22.542, Local accuracy on local train data 99.483
Round  91, Devices participated 10, Average loss 0.017, Central accuracy on global test data 72.949, Local accuracy on global train data 24.414, Local accuracy on local train data 99.367
Round  92, Devices participated 10, Average loss 0.017, Central accuracy on global test data 85.498, Local accuracy on global train data 30.764, Local accuracy on local train data 99.400
Round  93, Devices participated 10, Average loss 0.011, Central accuracy on global test data 80.322, Local accuracy on global train data 47.559, Local accuracy on local train data 99.717
Round  94, Devices participated 10, Average loss 0.012, Central accuracy on global test data 84.443, Local accuracy on global train data 33.872, Local accuracy on local train data 99.633
Round  95, Devices participated 10, Average loss 0.014, Central accuracy on global test data 74.082, Local accuracy on global train data 34.287, Local accuracy on local train data 99.583
Round  96, Devices participated 10, Average loss 0.018, Central accuracy on global test data 78.457, Local accuracy on global train data 37.861, Local accuracy on local train data 99.433
Round  97, Devices participated 10, Average loss 0.015, Central accuracy on global test data 87.080, Local accuracy on global train data 28.687, Local accuracy on local train data 99.517
Round  98, Devices participated 10, Average loss 0.012, Central accuracy on global test data 77.129, Local accuracy on global train data 39.548, Local accuracy on local train data 99.700
Round  99, Devices participated 10, Average loss 0.017, Central accuracy on global test data 83.193, Local accuracy on global train data 37.007, Local accuracy on local train data 99.417
Round 100, Devices participated 10, Average loss 0.013, Central accuracy on global test data 85.146, Local accuracy on global train data 37.737, Local accuracy on local train data 99.700
Round 101, Devices participated 10, Average loss 0.011, Central accuracy on global test data 83.486, Local accuracy on global train data 34.146, Local accuracy on local train data 99.650
Round 102, Devices participated 10, Average loss 0.010, Central accuracy on global test data 79.941, Local accuracy on global train data 41.785, Local accuracy on local train data 99.733
Round 103, Devices participated 10, Average loss 0.018, Central accuracy on global test data 87.588, Local accuracy on global train data 32.209, Local accuracy on local train data 99.400
Round 104, Devices participated 10, Average loss 0.012, Central accuracy on global test data 85.723, Local accuracy on global train data 42.722, Local accuracy on local train data 99.700
Round 105, Devices participated 10, Average loss 0.013, Central accuracy on global test data 84.219, Local accuracy on global train data 46.978, Local accuracy on local train data 99.667
Round 106, Devices participated 10, Average loss 0.014, Central accuracy on global test data 85.264, Local accuracy on global train data 40.117, Local accuracy on local train data 99.550
Round 107, Devices participated 10, Average loss 0.013, Central accuracy on global test data 85.840, Local accuracy on global train data 41.550, Local accuracy on local train data 99.633
Round 108, Devices participated 10, Average loss 0.013, Central accuracy on global test data 77.119, Local accuracy on global train data 40.842, Local accuracy on local train data 99.633
Round 109, Devices participated 10, Average loss 0.015, Central accuracy on global test data 80.938, Local accuracy on global train data 38.088, Local accuracy on local train data 99.567
Round 110, Devices participated 10, Average loss 0.011, Central accuracy on global test data 83.525, Local accuracy on global train data 38.914, Local accuracy on local train data 99.667
Round 111, Devices participated 10, Average loss 0.018, Central accuracy on global test data 66.670, Local accuracy on global train data 29.314, Local accuracy on local train data 99.417
Round 112, Devices participated 10, Average loss 0.029, Central accuracy on global test data 79.209, Local accuracy on global train data 32.249, Local accuracy on local train data 99.183
Round 113, Devices participated 10, Average loss 0.021, Central accuracy on global test data 84.238, Local accuracy on global train data 24.163, Local accuracy on local train data 99.417
Round 114, Devices participated 10, Average loss 0.021, Central accuracy on global test data 79.199, Local accuracy on global train data 28.789, Local accuracy on local train data 99.283
Round 115, Devices participated 10, Average loss 0.012, Central accuracy on global test data 86.455, Local accuracy on global train data 41.243, Local accuracy on local train data 99.533
Round 116, Devices participated 10, Average loss 0.013, Central accuracy on global test data 86.699, Local accuracy on global train data 33.733, Local accuracy on local train data 99.550
Round 117, Devices participated 10, Average loss 0.009, Central accuracy on global test data 86.104, Local accuracy on global train data 37.344, Local accuracy on local train data 99.750
Round 118, Devices participated 10, Average loss 0.012, Central accuracy on global test data 81.289, Local accuracy on global train data 45.386, Local accuracy on local train data 99.667
Round 119, Devices participated 10, Average loss 0.017, Central accuracy on global test data 79.707, Local accuracy on global train data 34.268, Local accuracy on local train data 99.533
Round 120, Devices participated 10, Average loss 0.012, Central accuracy on global test data 83.447, Local accuracy on global train data 43.916, Local accuracy on local train data 99.633
Round 121, Devices participated 10, Average loss 0.012, Central accuracy on global test data 82.451, Local accuracy on global train data 32.473, Local accuracy on local train data 99.583
Round 122, Devices participated 10, Average loss 0.011, Central accuracy on global test data 85.732, Local accuracy on global train data 30.938, Local accuracy on local train data 99.583
Round 123, Devices participated 10, Average loss 0.010, Central accuracy on global test data 83.809, Local accuracy on global train data 34.329, Local accuracy on local train data 99.700
Round 124, Devices participated 10, Average loss 0.014, Central accuracy on global test data 84.658, Local accuracy on global train data 29.790, Local accuracy on local train data 99.700
Round 125, Devices participated 10, Average loss 0.012, Central accuracy on global test data 81.055, Local accuracy on global train data 31.763, Local accuracy on local train data 99.650
Round 126, Devices participated 10, Average loss 0.010, Central accuracy on global test data 76.523, Local accuracy on global train data 34.436, Local accuracy on local train data 99.700
Round 127, Devices participated 10, Average loss 0.014, Central accuracy on global test data 85.674, Local accuracy on global train data 36.296, Local accuracy on local train data 99.600
Round 128, Devices participated 10, Average loss 0.009, Central accuracy on global test data 84.521, Local accuracy on global train data 33.650, Local accuracy on local train data 99.750
Round 129, Devices participated 10, Average loss 0.015, Central accuracy on global test data 85.459, Local accuracy on global train data 48.499, Local accuracy on local train data 99.583
Round 130, Devices participated 10, Average loss 0.010, Central accuracy on global test data 84.854, Local accuracy on global train data 34.902, Local accuracy on local train data 99.633
Round 131, Devices participated 10, Average loss 0.013, Central accuracy on global test data 80.068, Local accuracy on global train data 32.258, Local accuracy on local train data 99.667
Round 132, Devices participated 10, Average loss 0.019, Central accuracy on global test data 86.221, Local accuracy on global train data 38.599, Local accuracy on local train data 99.433
Round 133, Devices participated 10, Average loss 0.015, Central accuracy on global test data 87.812, Local accuracy on global train data 39.468, Local accuracy on local train data 99.600
Round 134, Devices participated 10, Average loss 0.008, Central accuracy on global test data 82.266, Local accuracy on global train data 48.723, Local accuracy on local train data 99.817
Round 135, Devices participated 10, Average loss 0.014, Central accuracy on global test data 85.557, Local accuracy on global train data 33.889, Local accuracy on local train data 99.517
Round 136, Devices participated 10, Average loss 0.010, Central accuracy on global test data 85.029, Local accuracy on global train data 37.251, Local accuracy on local train data 99.667
Round 137, Devices participated 10, Average loss 0.011, Central accuracy on global test data 85.830, Local accuracy on global train data 38.938, Local accuracy on local train data 99.717
Round 138, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.613, Local accuracy on global train data 37.712, Local accuracy on local train data 99.583
Round 139, Devices participated 10, Average loss 0.012, Central accuracy on global test data 82.441, Local accuracy on global train data 49.526, Local accuracy on local train data 99.600
Round 140, Devices participated 10, Average loss 0.016, Central accuracy on global test data 83.242, Local accuracy on global train data 24.653, Local accuracy on local train data 99.483
Round 141, Devices participated 10, Average loss 0.015, Central accuracy on global test data 87.305, Local accuracy on global train data 35.234, Local accuracy on local train data 99.467
Round 142, Devices participated 10, Average loss 0.008, Central accuracy on global test data 85.518, Local accuracy on global train data 51.516, Local accuracy on local train data 99.817
Round 143, Devices participated 10, Average loss 0.010, Central accuracy on global test data 83.672, Local accuracy on global train data 39.839, Local accuracy on local train data 99.650
Round 144, Devices participated 10, Average loss 0.011, Central accuracy on global test data 83.486, Local accuracy on global train data 42.615, Local accuracy on local train data 99.650
Round 145, Devices participated 10, Average loss 0.012, Central accuracy on global test data 85.791, Local accuracy on global train data 39.172, Local accuracy on local train data 99.650
Round 146, Devices participated 10, Average loss 0.014, Central accuracy on global test data 81.621, Local accuracy on global train data 38.235, Local accuracy on local train data 99.600
Round 147, Devices participated 10, Average loss 0.013, Central accuracy on global test data 80.830, Local accuracy on global train data 31.694, Local accuracy on local train data 99.583
Round 148, Devices participated 10, Average loss 0.014, Central accuracy on global test data 73.555, Local accuracy on global train data 35.750, Local accuracy on local train data 99.450
Round 149, Devices participated 10, Average loss 0.035, Central accuracy on global test data 81.396, Local accuracy on global train data 24.976, Local accuracy on local train data 99.283
Round 150, Devices participated 10, Average loss 0.016, Central accuracy on global test data 77.695, Local accuracy on global train data 37.632, Local accuracy on local train data 99.467
Round 151, Devices participated 10, Average loss 0.026, Central accuracy on global test data 86.836, Local accuracy on global train data 35.369, Local accuracy on local train data 99.233
Round 152, Devices participated 10, Average loss 0.011, Central accuracy on global test data 87.520, Local accuracy on global train data 46.245, Local accuracy on local train data 99.633
Round 153, Devices participated 10, Average loss 0.012, Central accuracy on global test data 87.910, Local accuracy on global train data 34.343, Local accuracy on local train data 99.700
Round 154, Devices participated 10, Average loss 0.008, Central accuracy on global test data 86.641, Local accuracy on global train data 43.586, Local accuracy on local train data 99.767
Round 155, Devices participated 10, Average loss 0.013, Central accuracy on global test data 88.008, Local accuracy on global train data 35.374, Local accuracy on local train data 99.583
