python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 5 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200  --nn_refresh 0 --async_s2d 1 --weight_init random --bias_init random

Round  35, Devices participated 10, Average loss 0.092, Central accuracy on global test data 75.713, Ensemble accuracy on global test data 75.977, Local accuracy on global train data 44.949, Local accuracy on local train data 98.603
Round  36, Devices participated 10, Average loss 0.088, Central accuracy on global test data 75.967, Ensemble accuracy on global test data 76.543, Local accuracy on global train data 52.659, Local accuracy on local train data 98.630
Round  37, Devices participated 10, Average loss 0.142, Central accuracy on global test data 76.494, Ensemble accuracy on global test data 76.943, Local accuracy on global train data 51.931, Local accuracy on local train data 98.037
Round  38, Devices participated 10, Average loss 0.087, Central accuracy on global test data 76.357, Ensemble accuracy on global test data 76.143, Local accuracy on global train data 49.395, Local accuracy on local train data 98.853
Round  39, Devices participated 10, Average loss 0.063, Central accuracy on global test data 74.600, Ensemble accuracy on global test data 74.854, Local accuracy on global train data 50.171, Local accuracy on local train data 98.917
Round  40, Devices participated 10, Average loss 0.103, Central accuracy on global test data 75.605, Ensemble accuracy on global test data 76.084, Local accuracy on global train data 45.627, Local accuracy on local train data 98.517
Round  41, Devices participated 10, Average loss 0.096, Central accuracy on global test data 74.434, Ensemble accuracy on global test data 74.561, Local accuracy on global train data 52.415, Local accuracy on local train data 98.703
Round  42, Devices participated 10, Average loss 0.096, Central accuracy on global test data 75.654, Ensemble accuracy on global test data 75.918, Local accuracy on global train data 48.044, Local accuracy on local train data 98.687
Round  43, Devices participated 10, Average loss 0.093, Central accuracy on global test data 76.572, Ensemble accuracy on global test data 76.680, Local accuracy on global train data 44.451, Local accuracy on local train data 98.820
Round  44, Devices participated 10, Average loss 0.109, Central accuracy on global test data 74.824, Ensemble accuracy on global test data 75.703, Local accuracy on global train data 51.150, Local accuracy on local train data 98.500
Round  45, Devices participated 10, Average loss 0.118, Central accuracy on global test data 75.654, Ensemble accuracy on global test data 75.537, Local accuracy on global train data 56.631, Local accuracy on local train data 98.650
Round  46, Devices participated 10, Average loss 0.108, Central accuracy on global test data 74.795, Ensemble accuracy on global test data 74.893, Local accuracy on global train data 56.191, Local accuracy on local train data 98.427
Round  47, Devices participated 10, Average loss 0.078, Central accuracy on global test data 75.459, Ensemble accuracy on global test data 75.312, Local accuracy on global train data 49.937, Local accuracy on local train data 99.127
Round  48, Devices participated 10, Average loss 0.097, Central accuracy on global test data 72.930, Ensemble accuracy on global test data 74.951, Local accuracy on global train data 54.861, Local accuracy on local train data 98.553
Round  49, Devices participated 10, Average loss 0.073, Central accuracy on global test data 72.490, Ensemble accuracy on global test data 75.107, Local accuracy on global train data 56.509, Local accuracy on local train data 99.027
Round  50, Devices participated 10, Average loss 0.077, Central accuracy on global test data 77.500, Ensemble accuracy on global test data 76.836, Local accuracy on global train data 55.857, Local accuracy on local train data 98.987
Round  51, Devices participated 10, Average loss 0.084, Central accuracy on global test data 77.871, Ensemble accuracy on global test data 78.379, Local accuracy on global train data 53.352, Local accuracy on local train data 98.793
Round  52, Devices participated 10, Average loss 0.091, Central accuracy on global test data 77.178, Ensemble accuracy on global test data 76.318, Local accuracy on global train data 52.349, Local accuracy on local train data 98.813
Round  53, Devices participated 10, Average loss 0.065, Central accuracy on global test data 74.092, Ensemble accuracy on global test data 73.008, Local accuracy on global train data 52.026, Local accuracy on local train data 98.950
Round  54, Devices participated 10, Average loss 0.053, Central accuracy on global test data 70.635, Ensemble accuracy on global test data 74.375, Local accuracy on global train data 49.583, Local accuracy on local train data 99.263
Round  55, Devices participated 10, Average loss 0.085, Central accuracy on global test data 75.498, Ensemble accuracy on global test data 77.246, Local accuracy on global train data 50.479, Local accuracy on local train data 98.917
Round  56, Devices participated 10, Average loss 0.089, Central accuracy on global test data 75.117, Ensemble accuracy on global test data 77.910, Local accuracy on global train data 56.155, Local accuracy on local train data 98.733
Round  57, Devices participated 10, Average loss 0.067, Central accuracy on global test data 77.266, Ensemble accuracy on global test data 77.256, Local accuracy on global train data 54.309, Local accuracy on local train data 98.890
Round  58, Devices participated 10, Average loss 0.089, Central accuracy on global test data 75.996, Ensemble accuracy on global test data 77.949, Local accuracy on global train data 54.160, Local accuracy on local train data 98.700
Round  59, Devices participated 10, Average loss 0.059, Central accuracy on global test data 76.445, Ensemble accuracy on global test data 78.887, Local accuracy on global train data 57.522, Local accuracy on local train data 99.020
Round  60, Devices participated 10, Average loss 0.077, Central accuracy on global test data 77.227, Ensemble accuracy on global test data 77.217, Local accuracy on global train data 52.009, Local accuracy on local train data 98.757
Round  61, Devices participated 10, Average loss 0.052, Central accuracy on global test data 78.623, Ensemble accuracy on global test data 79.688, Local accuracy on global train data 52.114, Local accuracy on local train data 99.043
Round  62, Devices participated 10, Average loss 0.073, Central accuracy on global test data 76.865, Ensemble accuracy on global test data 76.709, Local accuracy on global train data 55.452, Local accuracy on local train data 99.013
Round  63, Devices participated 10, Average loss 0.063, Central accuracy on global test data 76.777, Ensemble accuracy on global test data 79.736, Local accuracy on global train data 54.304, Local accuracy on local train data 98.923
Round  64, Devices participated 10, Average loss 0.063, Central accuracy on global test data 74.668, Ensemble accuracy on global test data 73.252, Local accuracy on global train data 56.169, Local accuracy on local train data 98.910
Round  65, Devices participated 10, Average loss 0.089, Central accuracy on global test data 77.539, Ensemble accuracy on global test data 78.477, Local accuracy on global train data 63.030, Local accuracy on local train data 98.523
Round  66, Devices participated 10, Average loss 0.058, Central accuracy on global test data 79.727, Ensemble accuracy on global test data 81.357, Local accuracy on global train data 59.353, Local accuracy on local train data 98.927
Round  67, Devices participated 10, Average loss 0.051, Central accuracy on global test data 79.277, Ensemble accuracy on global test data 80.498, Local accuracy on global train data 55.886, Local accuracy on local train data 99.080
Round  68, Devices participated 10, Average loss 0.041, Central accuracy on global test data 83.027, Ensemble accuracy on global test data 83.721, Local accuracy on global train data 59.548, Local accuracy on local train data 99.270
Round  69, Devices participated 10, Average loss 0.056, Central accuracy on global test data 77.363, Ensemble accuracy on global test data 74.834, Local accuracy on global train data 52.668, Local accuracy on local train data 99.133
Round  70, Devices participated 10, Average loss 0.059, Central accuracy on global test data 77.998, Ensemble accuracy on global test data 76.768, Local accuracy on global train data 57.742, Local accuracy on local train data 98.930
Round  71, Devices participated 10, Average loss 0.043, Central accuracy on global test data 79.248, Ensemble accuracy on global test data 78.145, Local accuracy on global train data 56.436, Local accuracy on local train data 99.233
Round  72, Devices participated 10, Average loss 0.055, Central accuracy on global test data 76.543, Ensemble accuracy on global test data 82.070, Local accuracy on global train data 57.634, Local accuracy on local train data 98.913
Round  73, Devices participated 10, Average loss 0.038, Central accuracy on global test data 78.311, Ensemble accuracy on global test data 78.096, Local accuracy on global train data 59.849, Local accuracy on local train data 99.353
Round  74, Devices participated 10, Average loss 0.073, Central accuracy on global test data 76.719, Ensemble accuracy on global test data 76.035, Local accuracy on global train data 54.419, Local accuracy on local train data 98.753
Round  75, Devices participated 10, Average loss 0.065, Central accuracy on global test data 78.359, Ensemble accuracy on global test data 78.789, Local accuracy on global train data 57.358, Local accuracy on local train data 98.863
Round  76, Devices participated 10, Average loss 0.060, Central accuracy on global test data 76.758, Ensemble accuracy on global test data 77.793, Local accuracy on global train data 57.603, Local accuracy on local train data 98.977
Round  77, Devices participated 10, Average loss 0.046, Central accuracy on global test data 83.613, Ensemble accuracy on global test data 83.105, Local accuracy on global train data 55.466, Local accuracy on local train data 98.970
Round  78, Devices participated 10, Average loss 0.038, Central accuracy on global test data 79.043, Ensemble accuracy on global test data 80.293, Local accuracy on global train data 53.257, Local accuracy on local train data 99.250
Round  79, Devices participated 10, Average loss 0.059, Central accuracy on global test data 81.201, Ensemble accuracy on global test data 80.029, Local accuracy on global train data 55.781, Local accuracy on local train data 98.913
Round  80, Devices participated 10, Average loss 0.059, Central accuracy on global test data 79.863, Ensemble accuracy on global test data 80.654, Local accuracy on global train data 57.725, Local accuracy on local train data 98.837
Round  81, Devices participated 10, Average loss 0.045, Central accuracy on global test data 82.900, Ensemble accuracy on global test data 83.467, Local accuracy on global train data 57.622, Local accuracy on local train data 99.067
Round  82, Devices participated 10, Average loss 0.046, Central accuracy on global test data 82.812, Ensemble accuracy on global test data 82.178, Local accuracy on global train data 56.240, Local accuracy on local train data 99.150
Round  83, Devices participated 10, Average loss 0.041, Central accuracy on global test data 84.902, Ensemble accuracy on global test data 83.613, Local accuracy on global train data 54.949, Local accuracy on local train data 99.130
Round  84, Devices participated 10, Average loss 0.058, Central accuracy on global test data 79.414, Ensemble accuracy on global test data 79.023, Local accuracy on global train data 59.790, Local accuracy on local train data 98.807
Round  85, Devices participated 10, Average loss 0.047, Central accuracy on global test data 80.244, Ensemble accuracy on global test data 80.391, Local accuracy on global train data 58.896, Local accuracy on local train data 99.037
Round  86, Devices participated 10, Average loss 0.034, Central accuracy on global test data 84.883, Ensemble accuracy on global test data 84.082, Local accuracy on global train data 59.043, Local accuracy on local train data 99.303
Round  87, Devices participated 10, Average loss 0.052, Central accuracy on global test data 78.379, Ensemble accuracy on global test data 77.861, Local accuracy on global train data 54.741, Local accuracy on local train data 99.070
Round  88, Devices participated 10, Average loss 0.028, Central accuracy on global test data 82.305, Ensemble accuracy on global test data 83.994, Local accuracy on global train data 55.393, Local accuracy on local train data 99.443
Round  89, Devices participated 10, Average loss 0.032, Central accuracy on global test data 80.498, Ensemble accuracy on global test data 81.074, Local accuracy on global train data 61.284, Local accuracy on local train data 99.340
Round  90, Devices participated 10, Average loss 0.045, Central accuracy on global test data 83.330, Ensemble accuracy on global test data 81.348, Local accuracy on global train data 56.475, Local accuracy on local train data 99.110
Round  91, Devices participated 10, Average loss 0.057, Central accuracy on global test data 83.711, Ensemble accuracy on global test data 83.770, Local accuracy on global train data 54.709, Local accuracy on local train data 98.757
Round  92, Devices participated 10, Average loss 0.033, Central accuracy on global test data 83.750, Ensemble accuracy on global test data 84.180, Local accuracy on global train data 57.776, Local accuracy on local train data 99.253
Round  93, Devices participated 10, Average loss 0.032, Central accuracy on global test data 81.143, Ensemble accuracy on global test data 81.230, Local accuracy on global train data 59.353, Local accuracy on local train data 99.303
Round  94, Devices participated 10, Average loss 0.032, Central accuracy on global test data 83.184, Ensemble accuracy on global test data 82.275, Local accuracy on global train data 56.050, Local accuracy on local train data 99.277
Round  95, Devices participated 10, Average loss 0.027, Central accuracy on global test data 80.947, Ensemble accuracy on global test data 80.312, Local accuracy on global train data 63.691, Local accuracy on local train data 99.387
Round  96, Devices participated 10, Average loss 0.053, Central accuracy on global test data 82.041, Ensemble accuracy on global test data 82.490, Local accuracy on global train data 61.921, Local accuracy on local train data 98.760
Round  97, Devices participated 10, Average loss 0.044, Central accuracy on global test data 84.180, Ensemble accuracy on global test data 82.949, Local accuracy on global train data 55.459, Local accuracy on local train data 98.987
Round  98, Devices participated 10, Average loss 0.039, Central accuracy on global test data 82.842, Ensemble accuracy on global test data 81.709, Local accuracy on global train data 57.781, Local accuracy on local train data 99.187
Round  99, Devices participated 10, Average loss 0.059, Central accuracy on global test data 81.875, Ensemble accuracy on global test data 80.938, Local accuracy on global train data 57.124, Local accuracy on local train data 98.830
Round 100, Devices participated 10, Average loss 0.027, Central accuracy on global test data 83.945, Ensemble accuracy on global test data 83.564, Local accuracy on global train data 59.492, Local accuracy on local train data 99.380
Round 101, Devices participated 10, Average loss 0.039, Central accuracy on global test data 81.396, Ensemble accuracy on global test data 82.217, Local accuracy on global train data 55.989, Local accuracy on local train data 99.117
Round 102, Devices participated 10, Average loss 0.052, Central accuracy on global test data 81.836, Ensemble accuracy on global test data 80.576, Local accuracy on global train data 57.090, Local accuracy on local train data 98.863
Round 103, Devices participated 10, Average loss 0.041, Central accuracy on global test data 83.584, Ensemble accuracy on global test data 83.477, Local accuracy on global train data 59.268, Local accuracy on local train data 99.147
Round 104, Devices participated 10, Average loss 0.028, Central accuracy on global test data 84.238, Ensemble accuracy on global test data 83.623, Local accuracy on global train data 59.348, Local accuracy on local train data 99.293
Round 105, Devices participated 10, Average loss 0.046, Central accuracy on global test data 82.285, Ensemble accuracy on global test data 80.967, Local accuracy on global train data 54.790, Local accuracy on local train data 98.993
Round 106, Devices participated 10, Average loss 0.041, Central accuracy on global test data 82.812, Ensemble accuracy on global test data 82.705, Local accuracy on global train data 62.073, Local accuracy on local train data 99.077
Round 107, Devices participated 10, Average loss 0.047, Central accuracy on global test data 72.666, Ensemble accuracy on global test data 69.893, Local accuracy on global train data 60.010, Local accuracy on local train data 99.090
Round 108, Devices participated 10, Average loss 0.030, Central accuracy on global test data 80.586, Ensemble accuracy on global test data 79.629, Local accuracy on global train data 57.478, Local accuracy on local train data 99.370
Round 109, Devices participated 10, Average loss 0.049, Central accuracy on global test data 85.586, Ensemble accuracy on global test data 85.381, Local accuracy on global train data 60.723, Local accuracy on local train data 98.743
Round 110, Devices participated 10, Average loss 0.029, Central accuracy on global test data 84.092, Ensemble accuracy on global test data 84.697, Local accuracy on global train data 61.558, Local accuracy on local train data 99.347
Round 111, Devices participated 10, Average loss 0.031, Central accuracy on global test data 80.898, Ensemble accuracy on global test data 79.131, Local accuracy on global train data 60.798, Local accuracy on local train data 99.260
Round 112, Devices participated 10, Average loss 0.036, Central accuracy on global test data 74.932, Ensemble accuracy on global test data 74.551, Local accuracy on global train data 53.169, Local accuracy on local train data 99.243
Round 113, Devices participated 10, Average loss 0.030, Central accuracy on global test data 83.896, Ensemble accuracy on global test data 82.695, Local accuracy on global train data 55.457, Local accuracy on local train data 99.227
Round 114, Devices participated 10, Average loss 0.032, Central accuracy on global test data 84.492, Ensemble accuracy on global test data 84.307, Local accuracy on global train data 56.448, Local accuracy on local train data 99.297
Round 115, Devices participated 10, Average loss 0.027, Central accuracy on global test data 83.926, Ensemble accuracy on global test data 81.943, Local accuracy on global train data 58.635, Local accuracy on local train data 99.350
Round 116, Devices participated 10, Average loss 0.034, Central accuracy on global test data 85.020, Ensemble accuracy on global test data 84.521, Local accuracy on global train data 56.836, Local accuracy on local train data 99.297
Round 117, Devices participated 10, Average loss 0.033, Central accuracy on global test data 81.611, Ensemble accuracy on global test data 81.943, Local accuracy on global train data 57.886, Local accuracy on local train data 99.183
Round 118, Devices participated 10, Average loss 0.024, Central accuracy on global test data 84.863, Ensemble accuracy on global test data 85.391, Local accuracy on global train data 55.889, Local accuracy on local train data 99.503
Round 119, Devices participated 10, Average loss 0.031, Central accuracy on global test data 86.104, Ensemble accuracy on global test data 85.762, Local accuracy on global train data 60.317, Local accuracy on local train data 99.200
Round 120, Devices participated 10, Average loss 0.043, Central accuracy on global test data 85.771, Ensemble accuracy on global test data 85.205, Local accuracy on global train data 57.446, Local accuracy on local train data 99.053
Round 121, Devices participated 10, Average loss 0.024, Central accuracy on global test data 83.936, Ensemble accuracy on global test data 83.955, Local accuracy on global train data 58.320, Local accuracy on local train data 99.457
Round 122, Devices participated 10, Average loss 0.031, Central accuracy on global test data 85.830, Ensemble accuracy on global test data 85.381, Local accuracy on global train data 55.769, Local accuracy on local train data 99.263
Round 123, Devices participated 10, Average loss 0.026, Central accuracy on global test data 81.992, Ensemble accuracy on global test data 81.787, Local accuracy on global train data 60.789, Local accuracy on local train data 99.370
