python main_dfan_ensemble2.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init kaiming --bias_init zeros

Round  35, Devices participated 10, Average loss 0.134, Central accuracy on global test data 69.678, Ensemble accuracy on global test data 71.729, Local accuracy on global train data 29.578, Local accuracy on local train data 96.500
Round  36, Devices participated 10, Average loss 0.205, Central accuracy on global test data 65.449, Ensemble accuracy on global test data 64.873, Local accuracy on global train data 32.080, Local accuracy on local train data 95.867
Round  37, Devices participated 10, Average loss 0.251, Central accuracy on global test data 65.713, Ensemble accuracy on global test data 66.533, Local accuracy on global train data 33.916, Local accuracy on local train data 94.650
Round  38, Devices participated 10, Average loss 0.175, Central accuracy on global test data 71.426, Ensemble accuracy on global test data 71.572, Local accuracy on global train data 31.086, Local accuracy on local train data 96.067
Round  39, Devices participated 10, Average loss 0.113, Central accuracy on global test data 61.113, Ensemble accuracy on global test data 62.559, Local accuracy on global train data 31.533, Local accuracy on local train data 97.017
Round  40, Devices participated 10, Average loss 0.191, Central accuracy on global test data 73.447, Ensemble accuracy on global test data 72.930, Local accuracy on global train data 31.924, Local accuracy on local train data 95.650
Round  41, Devices participated 10, Average loss 0.214, Central accuracy on global test data 69.951, Ensemble accuracy on global test data 69.189, Local accuracy on global train data 33.816, Local accuracy on local train data 95.167
Round  42, Devices participated 10, Average loss 0.150, Central accuracy on global test data 69.561, Ensemble accuracy on global test data 68.037, Local accuracy on global train data 31.169, Local accuracy on local train data 96.567
Round  43, Devices participated 10, Average loss 0.159, Central accuracy on global test data 74.775, Ensemble accuracy on global test data 75.029, Local accuracy on global train data 29.331, Local accuracy on local train data 96.500
Round  44, Devices participated 10, Average loss 0.246, Central accuracy on global test data 67.715, Ensemble accuracy on global test data 66.787, Local accuracy on global train data 31.870, Local accuracy on local train data 94.583
Round  45, Devices participated 10, Average loss 0.188, Central accuracy on global test data 69.014, Ensemble accuracy on global test data 67.627, Local accuracy on global train data 34.617, Local accuracy on local train data 95.833
Round  46, Devices participated 10, Average loss 0.216, Central accuracy on global test data 66.191, Ensemble accuracy on global test data 67.314, Local accuracy on global train data 37.935, Local accuracy on local train data 95.233
