python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init random --bias_init random

Round  35, Devices participated 10, Average loss 0.301, Central accuracy on global test data 79.521, Ensemble accuracy on global test data 80.029, Local accuracy on global train data 43.525, Local accuracy on local train data 95.983
Round  36, Devices participated 10, Average loss 0.291, Central accuracy on global test data 82.314, Ensemble accuracy on global test data 82.275, Local accuracy on global train data 50.625, Local accuracy on local train data 96.100
Round  37, Devices participated 10, Average loss 0.384, Central accuracy on global test data 80.752, Ensemble accuracy on global test data 81.250, Local accuracy on global train data 52.549, Local accuracy on local train data 94.417
Round  38, Devices participated 10, Average loss 0.299, Central accuracy on global test data 81.035, Ensemble accuracy on global test data 81.348, Local accuracy on global train data 48.857, Local accuracy on local train data 95.983
Round  39, Devices participated 10, Average loss 0.248, Central accuracy on global test data 77.881, Ensemble accuracy on global test data 78.096, Local accuracy on global train data 50.469, Local accuracy on local train data 96.333
Round  40, Devices participated 10, Average loss 0.313, Central accuracy on global test data 79.541, Ensemble accuracy on global test data 80.186, Local accuracy on global train data 44.768, Local accuracy on local train data 95.767
Round  41, Devices participated 10, Average loss 0.329, Central accuracy on global test data 79.629, Ensemble accuracy on global test data 79.951, Local accuracy on global train data 51.521, Local accuracy on local train data 95.867
Round  42, Devices participated 10, Average loss 0.296, Central accuracy on global test data 79.043, Ensemble accuracy on global test data 79.248, Local accuracy on global train data 46.111, Local accuracy on local train data 96.083
Round  43, Devices participated 10, Average loss 0.252, Central accuracy on global test data 82.090, Ensemble accuracy on global test data 82.246, Local accuracy on global train data 44.050, Local accuracy on local train data 96.633
Round  44, Devices participated 10, Average loss 0.387, Central accuracy on global test data 78.418, Ensemble accuracy on global test data 78.975, Local accuracy on global train data 53.560, Local accuracy on local train data 94.850
Round  45, Devices participated 10, Average loss 0.304, Central accuracy on global test data 82.295, Ensemble accuracy on global test data 82.383, Local accuracy on global train data 56.660, Local accuracy on local train data 95.700
Round  46, Devices participated 10, Average loss 0.377, Central accuracy on global test data 80.996, Ensemble accuracy on global test data 80.508, Local accuracy on global train data 57.085, Local accuracy on local train data 95.267
Round  47, Devices participated 10, Average loss 0.207, Central accuracy on global test data 79.756, Ensemble accuracy on global test data 79.375, Local accuracy on global train data 52.646, Local accuracy on local train data 97.467
Round  48, Devices participated 10, Average loss 0.296, Central accuracy on global test data 82.363, Ensemble accuracy on global test data 82.568, Local accuracy on global train data 54.297, Local accuracy on local train data 95.900
Round  49, Devices participated 10, Average loss 0.233, Central accuracy on global test data 81.973, Ensemble accuracy on global test data 82.061, Local accuracy on global train data 55.332, Local accuracy on local train data 96.833
Round  50, Devices participated 10, Average loss 0.294, Central accuracy on global test data 77.529, Ensemble accuracy on global test data 77.412, Local accuracy on global train data 52.737, Local accuracy on local train data 96.033
Round  51, Devices participated 10, Average loss 0.262, Central accuracy on global test data 83.682, Ensemble accuracy on global test data 83.770, Local accuracy on global train data 60.071, Local accuracy on local train data 96.367
Round  52, Devices participated 10, Average loss 0.295, Central accuracy on global test data 82.139, Ensemble accuracy on global test data 81.621, Local accuracy on global train data 55.686, Local accuracy on local train data 96.067
Round  53, Devices participated 10, Average loss 0.261, Central accuracy on global test data 78.887, Ensemble accuracy on global test data 78.613, Local accuracy on global train data 53.525, Local accuracy on local train data 96.517
Round  54, Devices participated 10, Average loss 0.242, Central accuracy on global test data 75.898, Ensemble accuracy on global test data 75.996, Local accuracy on global train data 51.052, Local accuracy on local train data 97.017
Round  55, Devices participated 10, Average loss 0.262, Central accuracy on global test data 83.936, Ensemble accuracy on global test data 83.721, Local accuracy on global train data 52.058, Local accuracy on local train data 96.367
Round  56, Devices participated 10, Average loss 0.273, Central accuracy on global test data 83.740, Ensemble accuracy on global test data 83.896, Local accuracy on global train data 56.001, Local accuracy on local train data 96.367
Round  57, Devices participated 10, Average loss 0.261, Central accuracy on global test data 80.762, Ensemble accuracy on global test data 80.986, Local accuracy on global train data 55.955, Local accuracy on local train data 96.950
Round  58, Devices participated 10, Average loss 0.276, Central accuracy on global test data 81.562, Ensemble accuracy on global test data 82.139, Local accuracy on global train data 50.996, Local accuracy on local train data 95.800
Round  59, Devices participated 10, Average loss 0.289, Central accuracy on global test data 81.543, Ensemble accuracy on global test data 83.301, Local accuracy on global train data 56.958, Local accuracy on local train data 96.550
Round  60, Devices participated 10, Average loss 0.310, Central accuracy on global test data 82.490, Ensemble accuracy on global test data 82.295, Local accuracy on global train data 56.028, Local accuracy on local train data 96.067
Round  61, Devices participated 10, Average loss 0.270, Central accuracy on global test data 81.787, Ensemble accuracy on global test data 81.787, Local accuracy on global train data 53.464, Local accuracy on local train data 96.517
Round  62, Devices participated 10, Average loss 0.278, Central accuracy on global test data 81.104, Ensemble accuracy on global test data 81.865, Local accuracy on global train data 53.542, Local accuracy on local train data 96.633
Round  63, Devices participated 10, Average loss 0.215, Central accuracy on global test data 83.320, Ensemble accuracy on global test data 82.852, Local accuracy on global train data 53.696, Local accuracy on local train data 96.700
Round  64, Devices participated 10, Average loss 0.272, Central accuracy on global test data 76.348, Ensemble accuracy on global test data 77.383, Local accuracy on global train data 54.817, Local accuracy on local train data 96.000
Round  65, Devices participated 10, Average loss 0.327, Central accuracy on global test data 82.979, Ensemble accuracy on global test data 83.184, Local accuracy on global train data 62.231, Local accuracy on local train data 95.317
Round  66, Devices participated 10, Average loss 0.257, Central accuracy on global test data 82.383, Ensemble accuracy on global test data 82.939, Local accuracy on global train data 61.116, Local accuracy on local train data 96.467
Round  67, Devices participated 10, Average loss 0.242, Central accuracy on global test data 82.041, Ensemble accuracy on global test data 82.090, Local accuracy on global train data 58.472, Local accuracy on local train data 96.883
Round  68, Devices participated 10, Average loss 0.171, Central accuracy on global test data 84.648, Ensemble accuracy on global test data 85.078, Local accuracy on global train data 59.856, Local accuracy on local train data 97.550
Round  69, Devices participated 10, Average loss 0.217, Central accuracy on global test data 79.004, Ensemble accuracy on global test data 79.492, Local accuracy on global train data 57.949, Local accuracy on local train data 97.217
Round  70, Devices participated 10, Average loss 0.274, Central accuracy on global test data 83.311, Ensemble accuracy on global test data 83.760, Local accuracy on global train data 60.071, Local accuracy on local train data 96.167
Round  71, Devices participated 10, Average loss 0.231, Central accuracy on global test data 82.158, Ensemble accuracy on global test data 82.734, Local accuracy on global train data 57.844, Local accuracy on local train data 97.167
Round  72, Devices participated 10, Average loss 0.277, Central accuracy on global test data 83.584, Ensemble accuracy on global test data 84.590, Local accuracy on global train data 62.629, Local accuracy on local train data 96.583
Round  73, Devices participated 10, Average loss 0.214, Central accuracy on global test data 84.844, Ensemble accuracy on global test data 84.678, Local accuracy on global train data 63.481, Local accuracy on local train data 97.417
Round  74, Devices participated 10, Average loss 0.288, Central accuracy on global test data 82.041, Ensemble accuracy on global test data 81.719, Local accuracy on global train data 57.517, Local accuracy on local train data 96.183
Round  75, Devices participated 10, Average loss 0.281, Central accuracy on global test data 82.480, Ensemble accuracy on global test data 82.793, Local accuracy on global train data 60.569, Local accuracy on local train data 96.050
Round  76, Devices participated 10, Average loss 0.302, Central accuracy on global test data 82.197, Ensemble accuracy on global test data 82.627, Local accuracy on global train data 61.064, Local accuracy on local train data 96.150
Round  77, Devices participated 10, Average loss 0.243, Central accuracy on global test data 84.658, Ensemble accuracy on global test data 84.590, Local accuracy on global train data 58.032, Local accuracy on local train data 96.017
Round  78, Devices participated 10, Average loss 0.240, Central accuracy on global test data 83.125, Ensemble accuracy on global test data 83.975, Local accuracy on global train data 56.626, Local accuracy on local train data 96.800
Round  79, Devices participated 10, Average loss 0.298, Central accuracy on global test data 84.043, Ensemble accuracy on global test data 84.424, Local accuracy on global train data 57.910, Local accuracy on local train data 96.417
Round  80, Devices participated 10, Average loss 0.330, Central accuracy on global test data 82.061, Ensemble accuracy on global test data 82.236, Local accuracy on global train data 59.341, Local accuracy on local train data 95.450
Round  81, Devices participated 10, Average loss 0.266, Central accuracy on global test data 80.566, Ensemble accuracy on global test data 81.074, Local accuracy on global train data 58.042, Local accuracy on local train data 96.533
Round  82, Devices participated 10, Average loss 0.263, Central accuracy on global test data 83.369, Ensemble accuracy on global test data 83.486, Local accuracy on global train data 57.334, Local accuracy on local train data 97.233
Round  83, Devices participated 10, Average loss 0.267, Central accuracy on global test data 83.672, Ensemble accuracy on global test data 84.004, Local accuracy on global train data 57.615, Local accuracy on local train data 96.967
Round  84, Devices participated 10, Average loss 0.338, Central accuracy on global test data 81.055, Ensemble accuracy on global test data 81.533, Local accuracy on global train data 62.053, Local accuracy on local train data 95.350
Round  85, Devices participated 10, Average loss 0.286, Central accuracy on global test data 84.238, Ensemble accuracy on global test data 84.219, Local accuracy on global train data 62.349, Local accuracy on local train data 96.700
Round  86, Devices participated 10, Average loss 0.203, Central accuracy on global test data 83.545, Ensemble accuracy on global test data 84.512, Local accuracy on global train data 58.442, Local accuracy on local train data 97.233
Round  87, Devices participated 10, Average loss 0.304, Central accuracy on global test data 80.898, Ensemble accuracy on global test data 81.650, Local accuracy on global train data 58.320, Local accuracy on local train data 96.333
Round  88, Devices participated 10, Average loss 0.213, Central accuracy on global test data 83.477, Ensemble accuracy on global test data 84.287, Local accuracy on global train data 57.500, Local accuracy on local train data 97.317
Round  89, Devices participated 10, Average loss 0.224, Central accuracy on global test data 80.752, Ensemble accuracy on global test data 80.889, Local accuracy on global train data 63.003, Local accuracy on local train data 97.333
Round  90, Devices participated 10, Average loss 0.222, Central accuracy on global test data 81.953, Ensemble accuracy on global test data 81.562, Local accuracy on global train data 56.274, Local accuracy on local train data 96.733
Round  91, Devices participated 10, Average loss 0.382, Central accuracy on global test data 83.828, Ensemble accuracy on global test data 84.785, Local accuracy on global train data 57.217, Local accuracy on local train data 95.450
Round  92, Devices participated 10, Average loss 0.229, Central accuracy on global test data 84.277, Ensemble accuracy on global test data 85.010, Local accuracy on global train data 62.483, Local accuracy on local train data 96.767
Round  93, Devices participated 10, Average loss 0.213, Central accuracy on global test data 81.143, Ensemble accuracy on global test data 82.490, Local accuracy on global train data 59.622, Local accuracy on local train data 96.983
Round  94, Devices participated 10, Average loss 0.227, Central accuracy on global test data 82.686, Ensemble accuracy on global test data 82.617, Local accuracy on global train data 57.019, Local accuracy on local train data 97.167
Round  95, Devices participated 10, Average loss 0.203, Central accuracy on global test data 80.117, Ensemble accuracy on global test data 79.316, Local accuracy on global train data 63.013, Local accuracy on local train data 97.467
Round  96, Devices participated 10, Average loss 0.335, Central accuracy on global test data 83.066, Ensemble accuracy on global test data 82.412, Local accuracy on global train data 61.951, Local accuracy on local train data 95.117
Round  97, Devices participated 10, Average loss 0.271, Central accuracy on global test data 80.762, Ensemble accuracy on global test data 81.045, Local accuracy on global train data 56.023, Local accuracy on local train data 96.300
Round  98, Devices participated 10, Average loss 0.270, Central accuracy on global test data 80.645, Ensemble accuracy on global test data 80.908, Local accuracy on global train data 57.505, Local accuracy on local train data 96.800
Round  99, Devices participated 10, Average loss 0.379, Central accuracy on global test data 81.377, Ensemble accuracy on global test data 81.064, Local accuracy on global train data 59.478, Local accuracy on local train data 95.883
Round 100, Devices participated 10, Average loss 0.206, Central accuracy on global test data 85.137, Ensemble accuracy on global test data 84.824, Local accuracy on global train data 58.887, Local accuracy on local train data 97.550
Round 101, Devices participated 10, Average loss 0.320, Central accuracy on global test data 80.928, Ensemble accuracy on global test data 82.295, Local accuracy on global train data 55.977, Local accuracy on local train data 96.183
Round 102, Devices participated 10, Average loss 0.340, Central accuracy on global test data 83.398, Ensemble accuracy on global test data 83.398, Local accuracy on global train data 55.896, Local accuracy on local train data 95.733
Round 103, Devices participated 10, Average loss 0.292, Central accuracy on global test data 82.344, Ensemble accuracy on global test data 84.355, Local accuracy on global train data 60.952, Local accuracy on local train data 96.150
Round 104, Devices participated 10, Average loss 0.272, Central accuracy on global test data 84.268, Ensemble accuracy on global test data 83.955, Local accuracy on global train data 62.820, Local accuracy on local train data 96.650
Round 105, Devices participated 10, Average loss 0.339, Central accuracy on global test data 82.109, Ensemble accuracy on global test data 82.500, Local accuracy on global train data 56.775, Local accuracy on local train data 95.850
Round 106, Devices participated 10, Average loss 0.287, Central accuracy on global test data 82.891, Ensemble accuracy on global test data 83.750, Local accuracy on global train data 64.644, Local accuracy on local train data 96.317
Round 107, Devices participated 10, Average loss 0.332, Central accuracy on global test data 68.594, Ensemble accuracy on global test data 68.721, Local accuracy on global train data 60.005, Local accuracy on local train data 96.450
Round 108, Devices participated 10, Average loss 0.269, Central accuracy on global test data 82.334, Ensemble accuracy on global test data 81.943, Local accuracy on global train data 59.807, Local accuracy on local train data 96.617
Round 109, Devices participated 10, Average loss 0.316, Central accuracy on global test data 85.303, Ensemble accuracy on global test data 85.830, Local accuracy on global train data 63.611, Local accuracy on local train data 95.733
