python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init kaiming --bias_init zero

Round  35, Devices participated 10, Average loss 0.144, Central accuracy on global test data 69.795, Ensemble accuracy on global test data 70.293, Local accuracy on global train data 29.695, Local accuracy on local train data 96.333
Round  36, Devices participated 10, Average loss 0.193, Central accuracy on global test data 67.920, Ensemble accuracy on global test data 67.900, Local accuracy on global train data 32.178, Local accuracy on local train data 95.733
Round  37, Devices participated 10, Average loss 0.229, Central accuracy on global test data 65.947, Ensemble accuracy on global test data 67.070, Local accuracy on global train data 31.697, Local accuracy on local train data 94.617
Round  38, Devices participated 10, Average loss 0.181, Central accuracy on global test data 68.369, Ensemble accuracy on global test data 67.939, Local accuracy on global train data 31.082, Local accuracy on local train data 95.800
Round  39, Devices participated 10, Average loss 0.120, Central accuracy on global test data 60.859, Ensemble accuracy on global test data 61.885, Local accuracy on global train data 28.936, Local accuracy on local train data 96.700
Round  40, Devices participated 10, Average loss 0.194, Central accuracy on global test data 74.453, Ensemble accuracy on global test data 73.701, Local accuracy on global train data 30.535, Local accuracy on local train data 95.333
Round  41, Devices participated 10, Average loss 0.224, Central accuracy on global test data 73.408, Ensemble accuracy on global test data 72.334, Local accuracy on global train data 35.105, Local accuracy on local train data 95.167
Round  42, Devices participated 10, Average loss 0.178, Central accuracy on global test data 68.877, Ensemble accuracy on global test data 68.262, Local accuracy on global train data 30.767, Local accuracy on local train data 95.900
Round  43, Devices participated 10, Average loss 0.153, Central accuracy on global test data 74.697, Ensemble accuracy on global test data 74.883, Local accuracy on global train data 29.382, Local accuracy on local train data 96.650
Round  44, Devices participated 10, Average loss 0.251, Central accuracy on global test data 66.592, Ensemble accuracy on global test data 66.670, Local accuracy on global train data 32.952, Local accuracy on local train data 94.567
Round  45, Devices participated 10, Average loss 0.174, Central accuracy on global test data 68.945, Ensemble accuracy on global test data 68.242, Local accuracy on global train data 37.185, Local accuracy on local train data 96.217
Round  46, Devices participated 10, Average loss 0.234, Central accuracy on global test data 72.109, Ensemble accuracy on global test data 72.236, Local accuracy on global train data 37.429, Local accuracy on local train data 94.950
Round  47, Devices participated 10, Average loss 0.142, Central accuracy on global test data 68.477, Ensemble accuracy on global test data 68.047, Local accuracy on global train data 35.493, Local accuracy on local train data 97.300
Round  48, Devices participated 10, Average loss 0.206, Central accuracy on global test data 75.215, Ensemble accuracy on global test data 75.713, Local accuracy on global train data 41.721, Local accuracy on local train data 95.517
Round  49, Devices participated 10, Average loss 0.176, Central accuracy on global test data 73.955, Ensemble accuracy on global test data 74.053, Local accuracy on global train data 37.739, Local accuracy on local train data 96.467
Round  50, Devices participated 10, Average loss 0.204, Central accuracy on global test data 67.598, Ensemble accuracy on global test data 65.430, Local accuracy on global train data 33.613, Local accuracy on local train data 95.767
Round  51, Devices participated 10, Average loss 0.150, Central accuracy on global test data 76.338, Ensemble accuracy on global test data 76.865, Local accuracy on global train data 38.467, Local accuracy on local train data 96.550
Round  52, Devices participated 10, Average loss 0.198, Central accuracy on global test data 71.553, Ensemble accuracy on global test data 69.746, Local accuracy on global train data 34.133, Local accuracy on local train data 95.983
Round  53, Devices participated 10, Average loss 0.178, Central accuracy on global test data 68.564, Ensemble accuracy on global test data 65.586, Local accuracy on global train data 34.680, Local accuracy on local train data 96.300
Round  54, Devices participated 10, Average loss 0.130, Central accuracy on global test data 72.178, Ensemble accuracy on global test data 71.230, Local accuracy on global train data 33.494, Local accuracy on local train data 97.000
Round  55, Devices participated 10, Average loss 0.178, Central accuracy on global test data 76.631, Ensemble accuracy on global test data 77.363, Local accuracy on global train data 38.687, Local accuracy on local train data 96.183
Round  56, Devices participated 10, Average loss 0.184, Central accuracy on global test data 76.631, Ensemble accuracy on global test data 77.881, Local accuracy on global train data 36.804, Local accuracy on local train data 96.017
Round  57, Devices participated 10, Average loss 0.145, Central accuracy on global test data 74.189, Ensemble accuracy on global test data 74.668, Local accuracy on global train data 37.192, Local accuracy on local train data 96.733
Round  58, Devices participated 10, Average loss 0.186, Central accuracy on global test data 77.119, Ensemble accuracy on global test data 77.754, Local accuracy on global train data 35.635, Local accuracy on local train data 95.867
Round  59, Devices participated 10, Average loss 0.163, Central accuracy on global test data 77.080, Ensemble accuracy on global test data 77.129, Local accuracy on global train data 39.514, Local accuracy on local train data 96.450
Round  60, Devices participated 10, Average loss 0.197, Central accuracy on global test data 74.482, Ensemble accuracy on global test data 73.096, Local accuracy on global train data 36.794, Local accuracy on local train data 95.650
Round  61, Devices participated 10, Average loss 0.150, Central accuracy on global test data 73.613, Ensemble accuracy on global test data 73.389, Local accuracy on global train data 34.795, Local accuracy on local train data 96.533
Round  62, Devices participated 10, Average loss 0.154, Central accuracy on global test data 75.557, Ensemble accuracy on global test data 74.297, Local accuracy on global train data 39.370, Local accuracy on local train data 96.833
Round  63, Devices participated 10, Average loss 0.143, Central accuracy on global test data 78.037, Ensemble accuracy on global test data 77.500, Local accuracy on global train data 36.470, Local accuracy on local train data 96.383
Round  64, Devices participated 10, Average loss 0.184, Central accuracy on global test data 71.172, Ensemble accuracy on global test data 70.332, Local accuracy on global train data 40.977, Local accuracy on local train data 95.817
Round  65, Devices participated 10, Average loss 0.240, Central accuracy on global test data 75.352, Ensemble accuracy on global test data 75.879, Local accuracy on global train data 44.460, Local accuracy on local train data 95.250
Round  66, Devices participated 10, Average loss 0.163, Central accuracy on global test data 74.941, Ensemble accuracy on global test data 75.508, Local accuracy on global train data 42.661, Local accuracy on local train data 96.333
Round  67, Devices participated 10, Average loss 0.160, Central accuracy on global test data 76.826, Ensemble accuracy on global test data 79.277, Local accuracy on global train data 38.733, Local accuracy on local train data 96.183
Round  68, Devices participated 10, Average loss 0.122, Central accuracy on global test data 76.836, Ensemble accuracy on global test data 78.525, Local accuracy on global train data 43.193, Local accuracy on local train data 97.283
Round  69, Devices participated 10, Average loss 0.122, Central accuracy on global test data 65.039, Ensemble accuracy on global test data 68.535, Local accuracy on global train data 38.616, Local accuracy on local train data 97.383
Round  70, Devices participated 10, Average loss 0.178, Central accuracy on global test data 78.252, Ensemble accuracy on global test data 79.014, Local accuracy on global train data 44.092, Local accuracy on local train data 96.050
Round  71, Devices participated 10, Average loss 0.133, Central accuracy on global test data 78.770, Ensemble accuracy on global test data 79.941, Local accuracy on global train data 44.707, Local accuracy on local train data 97.433
Round  72, Devices participated 10, Average loss 0.158, Central accuracy on global test data 77.988, Ensemble accuracy on global test data 78.623, Local accuracy on global train data 43.784, Local accuracy on local train data 96.533
Round  73, Devices participated 10, Average loss 0.134, Central accuracy on global test data 75.889, Ensemble accuracy on global test data 78.350, Local accuracy on global train data 44.680, Local accuracy on local train data 97.217
Round  74, Devices participated 10, Average loss 0.165, Central accuracy on global test data 74.111, Ensemble accuracy on global test data 76.846, Local accuracy on global train data 40.005, Local accuracy on local train data 96.617
Round  75, Devices participated 10, Average loss 0.181, Central accuracy on global test data 76.904, Ensemble accuracy on global test data 78.027, Local accuracy on global train data 39.692, Local accuracy on local train data 96.350
Round  76, Devices participated 10, Average loss 0.207, Central accuracy on global test data 77.285, Ensemble accuracy on global test data 79.473, Local accuracy on global train data 45.176, Local accuracy on local train data 95.783
Round  77, Devices participated 10, Average loss 0.169, Central accuracy on global test data 75.186, Ensemble accuracy on global test data 76.426, Local accuracy on global train data 41.001, Local accuracy on local train data 96.650
Round  78, Devices participated 10, Average loss 0.148, Central accuracy on global test data 76.934, Ensemble accuracy on global test data 79.170, Local accuracy on global train data 41.665, Local accuracy on local train data 96.750
Round  79, Devices participated 10, Average loss 0.188, Central accuracy on global test data 79.355, Ensemble accuracy on global test data 80.674, Local accuracy on global train data 41.475, Local accuracy on local train data 96.333
Round  80, Devices participated 10, Average loss 0.234, Central accuracy on global test data 78.076, Ensemble accuracy on global test data 78.125, Local accuracy on global train data 46.072, Local accuracy on local train data 95.383
Round  81, Devices participated 10, Average loss 0.172, Central accuracy on global test data 71.797, Ensemble accuracy on global test data 73.896, Local accuracy on global train data 42.700, Local accuracy on local train data 96.317
Round  82, Devices participated 10, Average loss 0.131, Central accuracy on global test data 79.385, Ensemble accuracy on global test data 80.137, Local accuracy on global train data 44.204, Local accuracy on local train data 97.500
Round  83, Devices participated 10, Average loss 0.148, Central accuracy on global test data 81.602, Ensemble accuracy on global test data 81.729, Local accuracy on global train data 43.662, Local accuracy on local train data 97.117
Round  84, Devices participated 10, Average loss 0.202, Central accuracy on global test data 69.307, Ensemble accuracy on global test data 72.637, Local accuracy on global train data 44.893, Local accuracy on local train data 95.433
Round  85, Devices participated 10, Average loss 0.164, Central accuracy on global test data 79.775, Ensemble accuracy on global test data 81.484, Local accuracy on global train data 45.872, Local accuracy on local train data 96.433
Round  86, Devices participated 10, Average loss 0.131, Central accuracy on global test data 79.443, Ensemble accuracy on global test data 80.000, Local accuracy on global train data 49.368, Local accuracy on local train data 97.500
Round  87, Devices participated 10, Average loss 0.179, Central accuracy on global test data 72.959, Ensemble accuracy on global test data 73.975, Local accuracy on global train data 45.396, Local accuracy on local train data 96.533
Round  88, Devices participated 10, Average loss 0.112, Central accuracy on global test data 79.854, Ensemble accuracy on global test data 80.479, Local accuracy on global train data 47.881, Local accuracy on local train data 97.567
Round  89, Devices participated 10, Average loss 0.150, Central accuracy on global test data 78.330, Ensemble accuracy on global test data 78.467, Local accuracy on global train data 50.427, Local accuracy on local train data 97.017
Round  90, Devices participated 10, Average loss 0.136, Central accuracy on global test data 77.598, Ensemble accuracy on global test data 77.734, Local accuracy on global train data 43.662, Local accuracy on local train data 97.083
Round  91, Devices participated 10, Average loss 0.262, Central accuracy on global test data 78.574, Ensemble accuracy on global test data 78.936, Local accuracy on global train data 43.757, Local accuracy on local train data 95.350
Round  92, Devices participated 10, Average loss 0.145, Central accuracy on global test data 79.150, Ensemble accuracy on global test data 81.396, Local accuracy on global train data 48.242, Local accuracy on local train data 96.900
Round  93, Devices participated 10, Average loss 0.126, Central accuracy on global test data 77.539, Ensemble accuracy on global test data 77.861, Local accuracy on global train data 47.942, Local accuracy on local train data 97.217
Round  94, Devices participated 10, Average loss 0.131, Central accuracy on global test data 78.828, Ensemble accuracy on global test data 79.209, Local accuracy on global train data 49.805, Local accuracy on local train data 97.200
Round  95, Devices participated 10, Average loss 0.108, Central accuracy on global test data 75.518, Ensemble accuracy on global test data 75.938, Local accuracy on global train data 54.653, Local accuracy on local train data 97.667
Round  96, Devices participated 10, Average loss 0.235, Central accuracy on global test data 77.861, Ensemble accuracy on global test data 79.268, Local accuracy on global train data 48.386, Local accuracy on local train data 95.350
Round  97, Devices participated 10, Average loss 0.139, Central accuracy on global test data 70.469, Ensemble accuracy on global test data 74.902, Local accuracy on global train data 44.536, Local accuracy on local train data 96.683
Round  98, Devices participated 10, Average loss 0.140, Central accuracy on global test data 71.201, Ensemble accuracy on global test data 76.104, Local accuracy on global train data 47.300, Local accuracy on local train data 97.167
Round  99, Devices participated 10, Average loss 0.227, Central accuracy on global test data 77.373, Ensemble accuracy on global test data 78.350, Local accuracy on global train data 46.357, Local accuracy on local train data 95.950
Round 100, Devices participated 10, Average loss 0.135, Central accuracy on global test data 78.516, Ensemble accuracy on global test data 79.180, Local accuracy on global train data 47.700, Local accuracy on local train data 97.717
Round 101, Devices participated 10, Average loss 0.178, Central accuracy on global test data 75.518, Ensemble accuracy on global test data 79.111, Local accuracy on global train data 46.077, Local accuracy on local train data 96.400
Round 102, Devices participated 10, Average loss 0.199, Central accuracy on global test data 75.381, Ensemble accuracy on global test data 78.213, Local accuracy on global train data 46.472, Local accuracy on local train data 95.950
Round 103, Devices participated 10, Average loss 0.170, Central accuracy on global test data 75.498, Ensemble accuracy on global test data 78.477, Local accuracy on global train data 47.634, Local accuracy on local train data 96.400
Round 104, Devices participated 10, Average loss 0.145, Central accuracy on global test data 78.945, Ensemble accuracy on global test data 81.719, Local accuracy on global train data 50.264, Local accuracy on local train data 96.917
Round 105, Devices participated 10, Average loss 0.211, Central accuracy on global test data 73.594, Ensemble accuracy on global test data 78.877, Local accuracy on global train data 43.115, Local accuracy on local train data 95.600
Round 106, Devices participated 10, Average loss 0.201, Central accuracy on global test data 76.152, Ensemble accuracy on global test data 80.166, Local accuracy on global train data 56.538, Local accuracy on local train data 96.417
Round 107, Devices participated 10, Average loss 0.182, Central accuracy on global test data 61.650, Ensemble accuracy on global test data 65.186, Local accuracy on global train data 50.291, Local accuracy on local train data 96.467
Round 108, Devices participated 10, Average loss 0.153, Central accuracy on global test data 73.984, Ensemble accuracy on global test data 75.420, Local accuracy on global train data 45.430, Local accuracy on local train data 96.867
Round 109, Devices participated 10, Average loss 0.193, Central accuracy on global test data 80.244, Ensemble accuracy on global test data 81.270, Local accuracy on global train data 51.519, Local accuracy on local train data 95.517
Round 110, Devices participated 10, Average loss 0.124, Central accuracy on global test data 78.789, Ensemble accuracy on global test data 81.338, Local accuracy on global train data 56.194, Local accuracy on local train data 96.950
Round 111, Devices participated 10, Average loss 0.163, Central accuracy on global test data 72.539, Ensemble accuracy on global test data 76.436, Local accuracy on global train data 54.187, Local accuracy on local train data 96.917
Round 112, Devices participated 10, Average loss 0.158, Central accuracy on global test data 70.332, Ensemble accuracy on global test data 73.926, Local accuracy on global train data 43.857, Local accuracy on local train data 96.600
Round 113, Devices participated 10, Average loss 0.155, Central accuracy on global test data 77.959, Ensemble accuracy on global test data 79.082, Local accuracy on global train data 47.988, Local accuracy on local train data 97.117
Round 114, Devices participated 10, Average loss 0.141, Central accuracy on global test data 76.279, Ensemble accuracy on global test data 80.391, Local accuracy on global train data 46.211, Local accuracy on local train data 97.133
Round 115, Devices participated 10, Average loss 0.106, Central accuracy on global test data 77.793, Ensemble accuracy on global test data 80.137, Local accuracy on global train data 52.844, Local accuracy on local train data 97.633
Round 116, Devices participated 10, Average loss 0.188, Central accuracy on global test data 78.877, Ensemble accuracy on global test data 82.676, Local accuracy on global train data 42.888, Local accuracy on local train data 96.483
Round 117, Devices participated 10, Average loss 0.154, Central accuracy on global test data 76.504, Ensemble accuracy on global test data 80.811, Local accuracy on global train data 47.991, Local accuracy on local train data 96.883
Round 118, Devices participated 10, Average loss 0.112, Central accuracy on global test data 82.002, Ensemble accuracy on global test data 83.330, Local accuracy on global train data 43.652, Local accuracy on local train data 97.833
Round 119, Devices participated 10, Average loss 0.125, Central accuracy on global test data 83.145, Ensemble accuracy on global test data 83.994, Local accuracy on global train data 53.254, Local accuracy on local train data 96.733
Round 120, Devices participated 10, Average loss 0.171, Central accuracy on global test data 80.830, Ensemble accuracy on global test data 81.826, Local accuracy on global train data 48.816, Local accuracy on local train data 96.533
Round 121, Devices participated 10, Average loss 0.115, Central accuracy on global test data 74.150, Ensemble accuracy on global test data 77.373, Local accuracy on global train data 48.020, Local accuracy on local train data 97.567
Round 122, Devices participated 10, Average loss 0.129, Central accuracy on global test data 79.805, Ensemble accuracy on global test data 81.885, Local accuracy on global train data 48.760, Local accuracy on local train data 97.267
Round 123, Devices participated 10, Average loss 0.130, Central accuracy on global test data 76.201, Ensemble accuracy on global test data 78.926, Local accuracy on global train data 51.836, Local accuracy on local train data 97.000
Round 124, Devices participated 10, Average loss 0.115, Central accuracy on global test data 74.209, Ensemble accuracy on global test data 81.758, Local accuracy on global train data 54.248, Local accuracy on local train data 97.500
Round 125, Devices participated 10, Average loss 0.138, Central accuracy on global test data 77.227, Ensemble accuracy on global test data 82.266, Local accuracy on global train data 53.926, Local accuracy on local train data 97.300
Round 126, Devices participated 10, Average loss 0.139, Central accuracy on global test data 73.496, Ensemble accuracy on global test data 79.600, Local accuracy on global train data 46.741, Local accuracy on local train data 96.783
Round 127, Devices participated 10, Average loss 0.107, Central accuracy on global test data 80.947, Ensemble accuracy on global test data 81.016, Local accuracy on global train data 54.980, Local accuracy on local train data 97.650
Round 128, Devices participated 10, Average loss 0.160, Central accuracy on global test data 80.732, Ensemble accuracy on global test data 82.490, Local accuracy on global train data 46.421, Local accuracy on local train data 96.667
Round 129, Devices participated 10, Average loss 0.125, Central accuracy on global test data 73.887, Ensemble accuracy on global test data 77.871, Local accuracy on global train data 53.875, Local accuracy on local train data 97.183
Round 130, Devices participated 10, Average loss 0.171, Central accuracy on global test data 78.877, Ensemble accuracy on global test data 79.004, Local accuracy on global train data 49.028, Local accuracy on local train data 96.517
Round 131, Devices participated 10, Average loss 0.125, Central accuracy on global test data 73.682, Ensemble accuracy on global test data 74.570, Local accuracy on global train data 41.753, Local accuracy on local train data 97.117
Round 132, Devices participated 10, Average loss 0.149, Central accuracy on global test data 78.799, Ensemble accuracy on global test data 81.357, Local accuracy on global train data 53.228, Local accuracy on local train data 96.883
Round 133, Devices participated 10, Average loss 0.135, Central accuracy on global test data 81.475, Ensemble accuracy on global test data 82.861, Local accuracy on global train data 50.574, Local accuracy on local train data 97.100
Round 134, Devices participated 10, Average loss 0.147, Central accuracy on global test data 80.244, Ensemble accuracy on global test data 82.412, Local accuracy on global train data 49.709, Local accuracy on local train data 97.083
Round 135, Devices participated 10, Average loss 0.125, Central accuracy on global test data 72.900, Ensemble accuracy on global test data 79.824, Local accuracy on global train data 47.852, Local accuracy on local train data 97.150
