python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 20 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --nn_refresh 0 --async_s2d 1 --weight_init kaiming --bias_init zero

Round   0, Devices participated 10, Average loss 0.014, Central accuracy on global test data 28.984, Ensemble accuracy on global test data 29.961, Local accuracy on global train data 19.751, Local accuracy on local train data 99.635
Round   1, Devices participated 10, Average loss 0.016, Central accuracy on global test data 33.203, Ensemble accuracy on global test data 33.740, Local accuracy on global train data 17.793, Local accuracy on local train data 99.568
Round   2, Devices participated 10, Average loss 0.014, Central accuracy on global test data 36.182, Ensemble accuracy on global test data 35.684, Local accuracy on global train data 21.455, Local accuracy on local train data 99.655
Round   3, Devices participated 10, Average loss 0.015, Central accuracy on global test data 45.293, Ensemble accuracy on global test data 43.916, Local accuracy on global train data 21.138, Local accuracy on local train data 99.622
Round   4, Devices participated 10, Average loss 0.010, Central accuracy on global test data 36.787, Ensemble accuracy on global test data 39.443, Local accuracy on global train data 19.199, Local accuracy on local train data 99.729
Round   5, Devices participated 10, Average loss 0.013, Central accuracy on global test data 37.275, Ensemble accuracy on global test data 39.971, Local accuracy on global train data 20.835, Local accuracy on local train data 99.679
Round   6, Devices participated 10, Average loss 0.013, Central accuracy on global test data 38.545, Ensemble accuracy on global test data 39.531, Local accuracy on global train data 20.198, Local accuracy on local train data 99.696
Round   7, Devices participated 10, Average loss 0.016, Central accuracy on global test data 50.020, Ensemble accuracy on global test data 50.820, Local accuracy on global train data 21.887, Local accuracy on local train data 99.637
Round   8, Devices participated 10, Average loss 0.011, Central accuracy on global test data 57.715, Ensemble accuracy on global test data 55.029, Local accuracy on global train data 22.146, Local accuracy on local train data 99.715
Round   9, Devices participated 10, Average loss 0.012, Central accuracy on global test data 52.188, Ensemble accuracy on global test data 49.551, Local accuracy on global train data 23.088, Local accuracy on local train data 99.683
Round  10, Devices participated 10, Average loss 0.011, Central accuracy on global test data 52.412, Ensemble accuracy on global test data 52.646, Local accuracy on global train data 21.235, Local accuracy on local train data 99.731
Round  11, Devices participated 10, Average loss 0.008, Central accuracy on global test data 53.701, Ensemble accuracy on global test data 52.822, Local accuracy on global train data 24.944, Local accuracy on local train data 99.792
Round  12, Devices participated 10, Average loss 0.014, Central accuracy on global test data 46.152, Ensemble accuracy on global test data 48.838, Local accuracy on global train data 21.611, Local accuracy on local train data 99.664
Round  13, Devices participated 10, Average loss 0.013, Central accuracy on global test data 51.289, Ensemble accuracy on global test data 51.660, Local accuracy on global train data 20.752, Local accuracy on local train data 99.703
Round  14, Devices participated 10, Average loss 0.016, Central accuracy on global test data 58.652, Ensemble accuracy on global test data 59.004, Local accuracy on global train data 25.791, Local accuracy on local train data 99.647
Round  15, Devices participated 10, Average loss 0.010, Central accuracy on global test data 61.777, Ensemble accuracy on global test data 58.945, Local accuracy on global train data 21.750, Local accuracy on local train data 99.758
Round  16, Devices participated 10, Average loss 0.013, Central accuracy on global test data 62.510, Ensemble accuracy on global test data 65.303, Local accuracy on global train data 23.555, Local accuracy on local train data 99.668
Round  17, Devices participated 10, Average loss 0.011, Central accuracy on global test data 67.803, Ensemble accuracy on global test data 66.494, Local accuracy on global train data 24.812, Local accuracy on local train data 99.751
Round  18, Devices participated 10, Average loss 0.015, Central accuracy on global test data 59.648, Ensemble accuracy on global test data 61.055, Local accuracy on global train data 24.819, Local accuracy on local train data 99.647
Round  19, Devices participated 10, Average loss 0.008, Central accuracy on global test data 68.701, Ensemble accuracy on global test data 69.424, Local accuracy on global train data 27.087, Local accuracy on local train data 99.818
Round  20, Devices participated 10, Average loss 0.012, Central accuracy on global test data 49.629, Ensemble accuracy on global test data 48.789, Local accuracy on global train data 24.675, Local accuracy on local train data 99.757
Round  21, Devices participated 10, Average loss 0.009, Central accuracy on global test data 60.068, Ensemble accuracy on global test data 58.662, Local accuracy on global train data 23.425, Local accuracy on local train data 99.802
Round  22, Devices participated 10, Average loss 0.009, Central accuracy on global test data 72.012, Ensemble accuracy on global test data 72.578, Local accuracy on global train data 32.734, Local accuracy on local train data 99.771
