python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --async_s2d 1 --weight_init kaiming --bias_init zeros

Round  36, Devices participated 10, Average loss 0.233, Central accuracy on global test data 67.461, Ensemble accuracy on global test data 66.973, Local accuracy on global train data 34.666, Local accuracy on local train data 95.683
Round  37, Devices participated 10, Average loss 0.259, Central accuracy on global test data 70.410, Ensemble accuracy on global test data 70.352, Local accuracy on global train data 34.646, Local accuracy on local train data 94.917
Round  38, Devices participated 10, Average loss 0.196, Central accuracy on global test data 72.754, Ensemble accuracy on global test data 72.314, Local accuracy on global train data 35.181, Local accuracy on local train data 96.200
Round  39, Devices participated 10, Average loss 0.138, Central accuracy on global test data 71.719, Ensemble accuracy on global test data 70.518, Local accuracy on global train data 32.219, Local accuracy on local train data 96.617
Round  40, Devices participated 10, Average loss 0.203, Central accuracy on global test data 71.934, Ensemble accuracy on global test data 72.393, Local accuracy on global train data 32.290, Local accuracy on local train data 95.433
Round  41, Devices participated 10, Average loss 0.218, Central accuracy on global test data 70.303, Ensemble accuracy on global test data 70.723, Local accuracy on global train data 36.887, Local accuracy on local train data 95.333
Round  42, Devices participated 10, Average loss 0.170, Central accuracy on global test data 70.518, Ensemble accuracy on global test data 70.332, Local accuracy on global train data 33.384, Local accuracy on local train data 96.367
Round  43, Devices participated 10, Average loss 0.180, Central accuracy on global test data 76.221, Ensemble accuracy on global test data 75.508, Local accuracy on global train data 28.403, Local accuracy on local train data 96.200
Round  44, Devices participated 10, Average loss 0.228, Central accuracy on global test data 71.846, Ensemble accuracy on global test data 71.221, Local accuracy on global train data 33.101, Local accuracy on local train data 95.150
Round  45, Devices participated 10, Average loss 0.190, Central accuracy on global test data 71.689, Ensemble accuracy on global test data 70.566, Local accuracy on global train data 40.647, Local accuracy on local train data 96.033
Round  46, Devices participated 10, Average loss 0.252, Central accuracy on global test data 73.398, Ensemble accuracy on global test data 73.076, Local accuracy on global train data 41.477, Local accuracy on local train data 94.833
Round  47, Devices participated 10, Average loss 0.147, Central accuracy on global test data 74.102, Ensemble accuracy on global test data 74.688, Local accuracy on global train data 34.585, Local accuracy on local train data 97.250
Round  48, Devices participated 10, Average loss 0.202, Central accuracy on global test data 77.715, Ensemble accuracy on global test data 77.139, Local accuracy on global train data 40.000, Local accuracy on local train data 95.667
Round  49, Devices participated 10, Average loss 0.144, Central accuracy on global test data 73.320, Ensemble accuracy on global test data 72.920, Local accuracy on global train data 37.644, Local accuracy on local train data 96.933
Round  50, Devices participated 10, Average loss 0.190, Central accuracy on global test data 73.096, Ensemble accuracy on global test data 72.793, Local accuracy on global train data 37.932, Local accuracy on local train data 96.000
Round  51, Devices participated 10, Average loss 0.179, Central accuracy on global test data 78.076, Ensemble accuracy on global test data 77.080, Local accuracy on global train data 41.738, Local accuracy on local train data 96.383
Round  52, Devices participated 10, Average loss 0.201, Central accuracy on global test data 72.500, Ensemble accuracy on global test data 70.000, Local accuracy on global train data 32.532, Local accuracy on local train data 96.017
Round  53, Devices participated 10, Average loss 0.189, Central accuracy on global test data 71.035, Ensemble accuracy on global test data 69.707, Local accuracy on global train data 34.739, Local accuracy on local train data 96.100
Round  54, Devices participated 10, Average loss 0.139, Central accuracy on global test data 71.162, Ensemble accuracy on global test data 71.406, Local accuracy on global train data 37.192, Local accuracy on local train data 96.933
Round  55, Devices participated 10, Average loss 0.181, Central accuracy on global test data 79.990, Ensemble accuracy on global test data 80.029, Local accuracy on global train data 37.778, Local accuracy on local train data 96.167
Round  56, Devices participated 10, Average loss 0.160, Central accuracy on global test data 80.576, Ensemble accuracy on global test data 80.723, Local accuracy on global train data 39.441, Local accuracy on local train data 96.567
Round  57, Devices participated 10, Average loss 0.134, Central accuracy on global test data 76.406, Ensemble accuracy on global test data 76.611, Local accuracy on global train data 39.797, Local accuracy on local train data 97.167
Round  58, Devices participated 10, Average loss 0.168, Central accuracy on global test data 77.197, Ensemble accuracy on global test data 77.617, Local accuracy on global train data 36.711, Local accuracy on local train data 96.150
Round  59, Devices participated 10, Average loss 0.143, Central accuracy on global test data 73.779, Ensemble accuracy on global test data 75.088, Local accuracy on global train data 39.180, Local accuracy on local train data 97.167
