python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 

Round  36, Devices participated 10, Average loss 0.095, Central accuracy on global test data 87.080, Ensemble accuracy on global test data 86.875, Local accuracy on global train data 63.550, Local accuracy on local train data 97.367
Round  37, Devices participated 10, Average loss 0.113, Central accuracy on global test data 85.488, Ensemble accuracy on global test data 85.498, Local accuracy on global train data 62.190, Local accuracy on local train data 96.483
Round  38, Devices participated 10, Average loss 0.091, Central accuracy on global test data 85.566, Ensemble accuracy on global test data 84.941, Local accuracy on global train data 62.122, Local accuracy on local train data 97.400
Round  39, Devices participated 10, Average loss 0.071, Central accuracy on global test data 88.389, Ensemble accuracy on global test data 88.418, Local accuracy on global train data 59.358, Local accuracy on local train data 98.050
Round  40, Devices participated 10, Average loss 0.086, Central accuracy on global test data 88.564, Ensemble accuracy on global test data 88.369, Local accuracy on global train data 58.462, Local accuracy on local train data 97.683
Round  41, Devices participated 10, Average loss 0.080, Central accuracy on global test data 87.324, Ensemble accuracy on global test data 87.295, Local accuracy on global train data 63.044, Local accuracy on local train data 97.550
Round  42, Devices participated 10, Average loss 0.069, Central accuracy on global test data 87.852, Ensemble accuracy on global test data 87.793, Local accuracy on global train data 61.782, Local accuracy on local train data 98.083
Round  43, Devices participated 10, Average loss 0.072, Central accuracy on global test data 88.818, Ensemble accuracy on global test data 88.779, Local accuracy on global train data 57.217, Local accuracy on local train data 98.317
Round  44, Devices participated 10, Average loss 0.094, Central accuracy on global test data 87.656, Ensemble accuracy on global test data 87.451, Local accuracy on global train data 60.381, Local accuracy on local train data 97.083
Round  45, Devices participated 10, Average loss 0.071, Central accuracy on global test data 88.125, Ensemble accuracy on global test data 87.930, Local accuracy on global train data 71.650, Local accuracy on local train data 98.017
Round  46, Devices participated 10, Average loss 0.081, Central accuracy on global test data 88.164, Ensemble accuracy on global test data 87.891, Local accuracy on global train data 65.496, Local accuracy on local train data 97.617
Round  47, Devices participated 10, Average loss 0.059, Central accuracy on global test data 87.139, Ensemble accuracy on global test data 86.914, Local accuracy on global train data 66.111, Local accuracy on local train data 98.267
Round  48, Devices participated 10, Average loss 0.068, Central accuracy on global test data 88.682, Ensemble accuracy on global test data 88.555, Local accuracy on global train data 65.706, Local accuracy on local train data 97.750
Round  49, Devices participated 10, Average loss 0.058, Central accuracy on global test data 86.494, Ensemble accuracy on global test data 86.143, Local accuracy on global train data 68.027, Local accuracy on local train data 98.250
Round  50, Devices participated 10, Average loss 0.065, Central accuracy on global test data 87.891, Ensemble accuracy on global test data 87.539, Local accuracy on global train data 67.131, Local accuracy on local train data 98.050
Round  51, Devices participated 10, Average loss 0.063, Central accuracy on global test data 89.551, Ensemble accuracy on global test data 89.385, Local accuracy on global train data 69.797, Local accuracy on local train data 98.100
Round  52, Devices participated 10, Average loss 0.063, Central accuracy on global test data 87.607, Ensemble accuracy on global test data 87.236, Local accuracy on global train data 64.724, Local accuracy on local train data 98.017
Round  53, Devices participated 10, Average loss 0.061, Central accuracy on global test data 87.158, Ensemble accuracy on global test data 86.699, Local accuracy on global train data 65.269, Local accuracy on local train data 98.083
Round  54, Devices participated 10, Average loss 0.039, Central accuracy on global test data 86.689, Ensemble accuracy on global test data 86.152, Local accuracy on global train data 67.283, Local accuracy on local train data 98.850
Round  55, Devices participated 10, Average loss 0.057, Central accuracy on global test data 89.521, Ensemble accuracy on global test data 89.209, Local accuracy on global train data 64.949, Local accuracy on local train data 98.233
Round  56, Devices participated 10, Average loss 0.054, Central accuracy on global test data 89.629, Ensemble accuracy on global test data 89.609, Local accuracy on global train data 66.472, Local accuracy on local train data 98.250
Round  57, Devices participated 10, Average loss 0.058, Central accuracy on global test data 88.594, Ensemble accuracy on global test data 88.486, Local accuracy on global train data 68.389, Local accuracy on local train data 98.383
Round  58, Devices participated 10, Average loss 0.061, Central accuracy on global test data 89.287, Ensemble accuracy on global test data 89.131, Local accuracy on global train data 66.555, Local accuracy on local train data 98.067
Round  59, Devices participated 10, Average loss 0.054, Central accuracy on global test data 88.623, Ensemble accuracy on global test data 88.389, Local accuracy on global train data 70.771, Local accuracy on local train data 98.367
Round  60, Devices participated 10, Average loss 0.057, Central accuracy on global test data 89.404, Ensemble accuracy on global test data 89.316, Local accuracy on global train data 65.205, Local accuracy on local train data 98.267
Round  61, Devices participated 10, Average loss 0.046, Central accuracy on global test data 89.912, Ensemble accuracy on global test data 89.805, Local accuracy on global train data 67.205, Local accuracy on local train data 98.700
Round  62, Devices participated 10, Average loss 0.050, Central accuracy on global test data 90.557, Ensemble accuracy on global test data 90.479, Local accuracy on global train data 66.597, Local accuracy on local train data 98.467
Round  63, Devices participated 10, Average loss 0.041, Central accuracy on global test data 90.127, Ensemble accuracy on global test data 89.990, Local accuracy on global train data 70.393, Local accuracy on local train data 98.533
Round  64, Devices participated 10, Average loss 0.043, Central accuracy on global test data 88.418, Ensemble accuracy on global test data 87.568, Local accuracy on global train data 69.702, Local accuracy on local train data 98.750
Round  65, Devices participated 10, Average loss 0.076, Central accuracy on global test data 89.912, Ensemble accuracy on global test data 89.844, Local accuracy on global train data 73.684, Local accuracy on local train data 97.733
Round  66, Devices participated 10, Average loss 0.051, Central accuracy on global test data 89.551, Ensemble accuracy on global test data 89.170, Local accuracy on global train data 71.787, Local accuracy on local train data 98.283
Round  67, Devices participated 10, Average loss 0.039, Central accuracy on global test data 89.629, Ensemble accuracy on global test data 89.580, Local accuracy on global train data 69.238, Local accuracy on local train data 98.867
Round  68, Devices participated 10, Average loss 0.035, Central accuracy on global test data 90.547, Ensemble accuracy on global test data 90.352, Local accuracy on global train data 72.268, Local accuracy on local train data 98.867
Round  69, Devices participated 10, Average loss 0.036, Central accuracy on global test data 88.105, Ensemble accuracy on global test data 87.617, Local accuracy on global train data 69.021, Local accuracy on local train data 98.767
Round  70, Devices participated 10, Average loss 0.062, Central accuracy on global test data 90.098, Ensemble accuracy on global test data 90.273, Local accuracy on global train data 71.448, Local accuracy on local train data 97.950
Round  71, Devices participated 10, Average loss 0.041, Central accuracy on global test data 89.551, Ensemble accuracy on global test data 89.570, Local accuracy on global train data 69.478, Local accuracy on local train data 98.667
Round  72, Devices participated 10, Average loss 0.051, Central accuracy on global test data 90.420, Ensemble accuracy on global test data 90.166, Local accuracy on global train data 71.335, Local accuracy on local train data 98.383
