python main_dfan_ensemble3.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 --weight_init random --bias_init random --noniid_hard

Round  36, Devices participated 10, Average loss 0.035, Central accuracy on global test data 60.820, Ensemble accuracy on global test data 59.375, Local accuracy on global train data 21.655, Local accuracy on local train data 98.783
Round  37, Devices participated 10, Average loss 0.044, Central accuracy on global test data 60.020, Ensemble accuracy on global test data 60.381, Local accuracy on global train data 23.872, Local accuracy on local train data 98.617
Round  38, Devices participated 10, Average loss 0.020, Central accuracy on global test data 66.143, Ensemble accuracy on global test data 66.719, Local accuracy on global train data 26.313, Local accuracy on local train data 99.300
Round  39, Devices participated 10, Average loss 0.017, Central accuracy on global test data 68.223, Ensemble accuracy on global test data 68.018, Local accuracy on global train data 30.913, Local accuracy on local train data 99.550
Round  40, Devices participated 10, Average loss 0.034, Central accuracy on global test data 61.406, Ensemble accuracy on global test data 61.826, Local accuracy on global train data 21.270, Local accuracy on local train data 98.967
Round  41, Devices participated 10, Average loss 0.034, Central accuracy on global test data 57.510, Ensemble accuracy on global test data 57.910, Local accuracy on global train data 21.313, Local accuracy on local train data 98.933
Round  42, Devices participated 10, Average loss 0.035, Central accuracy on global test data 64.189, Ensemble accuracy on global test data 63.789, Local accuracy on global train data 23.354, Local accuracy on local train data 99.067
Round  43, Devices participated 10, Average loss 0.034, Central accuracy on global test data 68.428, Ensemble accuracy on global test data 67.529, Local accuracy on global train data 30.051, Local accuracy on local train data 98.967
Round  44, Devices participated 10, Average loss 0.019, Central accuracy on global test data 66.387, Ensemble accuracy on global test data 66.660, Local accuracy on global train data 30.920, Local accuracy on local train data 99.500
Round  45, Devices participated 10, Average loss 0.031, Central accuracy on global test data 65.312, Ensemble accuracy on global test data 65.283, Local accuracy on global train data 34.792, Local accuracy on local train data 99.267
Round  46, Devices participated 10, Average loss 0.027, Central accuracy on global test data 61.328, Ensemble accuracy on global test data 62.227, Local accuracy on global train data 30.488, Local accuracy on local train data 99.133
Round  47, Devices participated 10, Average loss 0.026, Central accuracy on global test data 64.854, Ensemble accuracy on global test data 65.576, Local accuracy on global train data 32.917, Local accuracy on local train data 99.233
Round  48, Devices participated 10, Average loss 0.032, Central accuracy on global test data 65.908, Ensemble accuracy on global test data 66.982, Local accuracy on global train data 32.515, Local accuracy on local train data 99.167
Round  49, Devices participated 10, Average loss 0.032, Central accuracy on global test data 70.391, Ensemble accuracy on global test data 69.258, Local accuracy on global train data 22.874, Local accuracy on local train data 99.017
Round  50, Devices participated 10, Average loss 0.022, Central accuracy on global test data 71.719, Ensemble accuracy on global test data 70.430, Local accuracy on global train data 27.400, Local accuracy on local train data 99.350
Round  51, Devices participated 10, Average loss 0.017, Central accuracy on global test data 73.828, Ensemble accuracy on global test data 73.926, Local accuracy on global train data 28.159, Local accuracy on local train data 99.533
Round  52, Devices participated 10, Average loss 0.021, Central accuracy on global test data 65.322, Ensemble accuracy on global test data 64.277, Local accuracy on global train data 22.959, Local accuracy on local train data 99.450
Round  53, Devices participated 10, Average loss 0.021, Central accuracy on global test data 70.586, Ensemble accuracy on global test data 70.918, Local accuracy on global train data 31.858, Local accuracy on local train data 99.300
Round  54, Devices participated 10, Average loss 0.014, Central accuracy on global test data 62.393, Ensemble accuracy on global test data 63.350, Local accuracy on global train data 31.707, Local accuracy on local train data 99.633
Round  55, Devices participated 10, Average loss 0.030, Central accuracy on global test data 68.301, Ensemble accuracy on global test data 67.783, Local accuracy on global train data 29.573, Local accuracy on local train data 99.167
Round  56, Devices participated 10, Average loss 0.020, Central accuracy on global test data 70.156, Ensemble accuracy on global test data 69.395, Local accuracy on global train data 33.936, Local accuracy on local train data 99.467
Round  57, Devices participated 10, Average loss 0.022, Central accuracy on global test data 67.510, Ensemble accuracy on global test data 67.715, Local accuracy on global train data 34.951, Local accuracy on local train data 99.400
Round  58, Devices participated 10, Average loss 0.022, Central accuracy on global test data 64.932, Ensemble accuracy on global test data 65.957, Local accuracy on global train data 33.472, Local accuracy on local train data 99.283
Round  59, Devices participated 10, Average loss 0.022, Central accuracy on global test data 68.818, Ensemble accuracy on global test data 69.375, Local accuracy on global train data 34.011, Local accuracy on local train data 99.317
Round  60, Devices participated 10, Average loss 0.018, Central accuracy on global test data 67.246, Ensemble accuracy on global test data 67.734, Local accuracy on global train data 27.004, Local accuracy on local train data 99.367
Round  61, Devices participated 10, Average loss 0.023, Central accuracy on global test data 64.570, Ensemble accuracy on global test data 64.111, Local accuracy on global train data 26.272, Local accuracy on local train data 99.250
Round  62, Devices participated 10, Average loss 0.028, Central accuracy on global test data 67.061, Ensemble accuracy on global test data 67.227, Local accuracy on global train data 30.676, Local accuracy on local train data 99.083
Round  63, Devices participated 10, Average loss 0.036, Central accuracy on global test data 73.232, Ensemble accuracy on global test data 73.096, Local accuracy on global train data 23.486, Local accuracy on local train data 98.900
Round  64, Devices participated 10, Average loss 0.018, Central accuracy on global test data 68.438, Ensemble accuracy on global test data 69.795, Local accuracy on global train data 32.703, Local accuracy on local train data 99.483
Round  65, Devices participated 10, Average loss 0.025, Central accuracy on global test data 70.684, Ensemble accuracy on global test data 71.533, Local accuracy on global train data 22.256, Local accuracy on local train data 99.183
Round  66, Devices participated 10, Average loss 0.028, Central accuracy on global test data 62.617, Ensemble accuracy on global test data 61.182, Local accuracy on global train data 30.093, Local accuracy on local train data 99.217
Round  67, Devices participated 10, Average loss 0.033, Central accuracy on global test data 71.816, Ensemble accuracy on global test data 73.271, Local accuracy on global train data 25.298, Local accuracy on local train data 98.917
Round  68, Devices participated 10, Average loss 0.015, Central accuracy on global test data 68.867, Ensemble accuracy on global test data 68.213, Local accuracy on global train data 32.214, Local accuracy on local train data 99.550
Round  69, Devices participated 10, Average loss 0.013, Central accuracy on global test data 68.818, Ensemble accuracy on global test data 69.336, Local accuracy on global train data 35.918, Local accuracy on local train data 99.650
Round  70, Devices participated 10, Average loss 0.033, Central accuracy on global test data 70.361, Ensemble accuracy on global test data 70.469, Local accuracy on global train data 24.229, Local accuracy on local train data 99.050
Round  71, Devices participated 10, Average loss 0.029, Central accuracy on global test data 78.408, Ensemble accuracy on global test data 77.139, Local accuracy on global train data 30.151, Local accuracy on local train data 99.083
Round  72, Devices participated 10, Average loss 0.011, Central accuracy on global test data 73.340, Ensemble accuracy on global test data 73.369, Local accuracy on global train data 34.302, Local accuracy on local train data 99.667
Round  73, Devices participated 10, Average loss 0.019, Central accuracy on global test data 64.756, Ensemble accuracy on global test data 65.332, Local accuracy on global train data 36.350, Local accuracy on local train data 99.367
Round  74, Devices participated 10, Average loss 0.024, Central accuracy on global test data 72.764, Ensemble accuracy on global test data 74.375, Local accuracy on global train data 32.039, Local accuracy on local train data 99.283
Round  75, Devices participated 10, Average loss 0.024, Central accuracy on global test data 71.143, Ensemble accuracy on global test data 68.271, Local accuracy on global train data 24.565, Local accuracy on local train data 99.250
Round  76, Devices participated 10, Average loss 0.021, Central accuracy on global test data 69.814, Ensemble accuracy on global test data 70.977, Local accuracy on global train data 27.512, Local accuracy on local train data 99.333
Round  77, Devices participated 10, Average loss 0.018, Central accuracy on global test data 67.402, Ensemble accuracy on global test data 67.500, Local accuracy on global train data 32.349, Local accuracy on local train data 99.467
Round  78, Devices participated 10, Average loss 0.028, Central accuracy on global test data 71.582, Ensemble accuracy on global test data 72.236, Local accuracy on global train data 30.493, Local accuracy on local train data 99.067
Round  79, Devices participated 10, Average loss 0.012, Central accuracy on global test data 69.727, Ensemble accuracy on global test data 70.977, Local accuracy on global train data 30.227, Local accuracy on local train data 99.633
Round  80, Devices participated 10, Average loss 0.021, Central accuracy on global test data 68.701, Ensemble accuracy on global test data 68.320, Local accuracy on global train data 32.295, Local accuracy on local train data 99.333
Round  81, Devices participated 10, Average loss 0.014, Central accuracy on global test data 61.123, Ensemble accuracy on global test data 59.395, Local accuracy on global train data 29.414, Local accuracy on local train data 99.633
Round  82, Devices participated 10, Average loss 0.015, Central accuracy on global test data 61.787, Ensemble accuracy on global test data 61.865, Local accuracy on global train data 29.448, Local accuracy on local train data 99.433
Round  83, Devices participated 10, Average loss 0.045, Central accuracy on global test data 59.395, Ensemble accuracy on global test data 61.094, Local accuracy on global train data 25.986, Local accuracy on local train data 98.667
Round  84, Devices participated 10, Average loss 0.026, Central accuracy on global test data 68.477, Ensemble accuracy on global test data 68.203, Local accuracy on global train data 32.305, Local accuracy on local train data 99.217
Round  85, Devices participated 10, Average loss 0.029, Central accuracy on global test data 66.670, Ensemble accuracy on global test data 67.080, Local accuracy on global train data 27.268, Local accuracy on local train data 99.000
Round  86, Devices participated 10, Average loss 0.026, Central accuracy on global test data 71.914, Ensemble accuracy on global test data 70.332, Local accuracy on global train data 26.985, Local accuracy on local train data 99.300
Round  87, Devices participated 10, Average loss 0.029, Central accuracy on global test data 68.105, Ensemble accuracy on global test data 70.537, Local accuracy on global train data 28.208, Local accuracy on local train data 99.133
Round  88, Devices participated 10, Average loss 0.016, Central accuracy on global test data 72.891, Ensemble accuracy on global test data 73.145, Local accuracy on global train data 36.704, Local accuracy on local train data 99.483
Round  89, Devices participated 10, Average loss 0.022, Central accuracy on global test data 73.398, Ensemble accuracy on global test data 73.623, Local accuracy on global train data 39.280, Local accuracy on local train data 99.350
Round  90, Devices participated 10, Average loss 0.033, Central accuracy on global test data 65.127, Ensemble accuracy on global test data 62.744, Local accuracy on global train data 20.476, Local accuracy on local train data 99.000
