python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 
--nn_refresh 0 --noniid_hard --weight_init kaiming --bias_init zero

Round  35, Devices participated 10, Average loss 0.039, Central accuracy on global test data 75.898, Ensemble accuracy on global test data 73.916, Local accuracy on global train data 45.339, Local accuracy on local train data 98.917
Round  36, Devices participated 10, Average loss 0.047, Central accuracy on global test data 74.971, Ensemble accuracy on global test data 74.463, Local accuracy on global train data 42.922, Local accuracy on local train data 98.983
Round  37, Devices participated 10, Average loss 0.059, Central accuracy on global test data 73.467, Ensemble accuracy on global test data 71.279, Local accuracy on global train data 33.130, Local accuracy on local train data 98.700
Round  38, Devices participated 10, Average loss 0.025, Central accuracy on global test data 80.010, Ensemble accuracy on global test data 79.277, Local accuracy on global train data 40.479, Local accuracy on local train data 99.183
Round  39, Devices participated 10, Average loss 0.018, Central accuracy on global test data 81.045, Ensemble accuracy on global test data 81.016, Local accuracy on global train data 48.372, Local accuracy on local train data 99.383
Round  40, Devices participated 10, Average loss 0.029, Central accuracy on global test data 77.842, Ensemble accuracy on global test data 77.461, Local accuracy on global train data 40.828, Local accuracy on local train data 99.333
Round  41, Devices participated 10, Average loss 0.038, Central accuracy on global test data 78.428, Ensemble accuracy on global test data 77.451, Local accuracy on global train data 40.520, Local accuracy on local train data 99.200
Round  42, Devices participated 10, Average loss 0.029, Central accuracy on global test data 80.928, Ensemble accuracy on global test data 80.615, Local accuracy on global train data 42.261, Local accuracy on local train data 99.233
Round  43, Devices participated 10, Average loss 0.048, Central accuracy on global test data 81.074, Ensemble accuracy on global test data 80.527, Local accuracy on global train data 45.352, Local accuracy on local train data 98.917
Round  44, Devices participated 10, Average loss 0.021, Central accuracy on global test data 82.119, Ensemble accuracy on global test data 81.943, Local accuracy on global train data 50.681, Local accuracy on local train data 99.383
Round  45, Devices participated 10, Average loss 0.033, Central accuracy on global test data 81.777, Ensemble accuracy on global test data 81.885, Local accuracy on global train data 50.396, Local accuracy on local train data 99.283
Round  46, Devices participated 10, Average loss 0.024, Central accuracy on global test data 81.123, Ensemble accuracy on global test data 80.811, Local accuracy on global train data 55.247, Local accuracy on local train data 99.283
Round  47, Devices participated 10, Average loss 0.024, Central accuracy on global test data 80.469, Ensemble accuracy on global test data 80.361, Local accuracy on global train data 52.817, Local accuracy on local train data 99.350
Round  48, Devices participated 10, Average loss 0.032, Central accuracy on global test data 82.666, Ensemble accuracy on global test data 82.148, Local accuracy on global train data 54.338, Local accuracy on local train data 99.233
Round  49, Devices participated 10, Average loss 0.024, Central accuracy on global test data 80.498, Ensemble accuracy on global test data 79.502, Local accuracy on global train data 37.544, Local accuracy on local train data 99.333
Round  50, Devices participated 10, Average loss 0.022, Central accuracy on global test data 82.109, Ensemble accuracy on global test data 81.768, Local accuracy on global train data 49.526, Local accuracy on local train data 99.450
Round  51, Devices participated 10, Average loss 0.020, Central accuracy on global test data 81.885, Ensemble accuracy on global test data 81.709, Local accuracy on global train data 48.630, Local accuracy on local train data 99.400
Round  52, Devices participated 10, Average loss 0.026, Central accuracy on global test data 78.252, Ensemble accuracy on global test data 77.314, Local accuracy on global train data 35.449, Local accuracy on local train data 99.283
Round  53, Devices participated 10, Average loss 0.027, Central accuracy on global test data 84.209, Ensemble accuracy on global test data 83.594, Local accuracy on global train data 45.481, Local accuracy on local train data 99.317
Round  54, Devices participated 10, Average loss 0.019, Central accuracy on global test data 80.625, Ensemble accuracy on global test data 80.352, Local accuracy on global train data 46.841, Local accuracy on local train data 99.417
Round  55, Devices participated 10, Average loss 0.029, Central accuracy on global test data 83.047, Ensemble accuracy on global test data 82.861, Local accuracy on global train data 47.554, Local accuracy on local train data 99.350
Round  56, Devices participated 10, Average loss 0.019, Central accuracy on global test data 84.170, Ensemble accuracy on global test data 83.975, Local accuracy on global train data 53.525, Local accuracy on local train data 99.567
Round  57, Devices participated 10, Average loss 0.021, Central accuracy on global test data 82.969, Ensemble accuracy on global test data 82.578, Local accuracy on global train data 49.883, Local accuracy on local train data 99.283
Round  58, Devices participated 10, Average loss 0.019, Central accuracy on global test data 82.617, Ensemble accuracy on global test data 81.807, Local accuracy on global train data 49.314, Local accuracy on local train data 99.450
Round  59, Devices participated 10, Average loss 0.042, Central accuracy on global test data 83.291, Ensemble accuracy on global test data 82.891, Local accuracy on global train data 46.812, Local accuracy on local train data 99.083
Round  60, Devices participated 10, Average loss 0.017, Central accuracy on global test data 82.773, Ensemble accuracy on global test data 82.607, Local accuracy on global train data 46.985, Local accuracy on local train data 99.483
Round  61, Devices participated 10, Average loss 0.020, Central accuracy on global test data 79.922, Ensemble accuracy on global test data 79.619, Local accuracy on global train data 38.962, Local accuracy on local train data 99.367
Round  62, Devices participated 10, Average loss 0.024, Central accuracy on global test data 82.119, Ensemble accuracy on global test data 81.709, Local accuracy on global train data 54.780, Local accuracy on local train data 99.283
Round  63, Devices participated 10, Average loss 0.025, Central accuracy on global test data 85.117, Ensemble accuracy on global test data 84.629, Local accuracy on global train data 41.091, Local accuracy on local train data 99.267
Round  64, Devices participated 10, Average loss 0.017, Central accuracy on global test data 85.605, Ensemble accuracy on global test data 85.410, Local accuracy on global train data 47.285, Local accuracy on local train data 99.383
Round  65, Devices participated 10, Average loss 0.014, Central accuracy on global test data 84.639, Ensemble accuracy on global test data 84.580, Local accuracy on global train data 43.528, Local accuracy on local train data 99.550
Round  66, Devices participated 10, Average loss 0.022, Central accuracy on global test data 82.236, Ensemble accuracy on global test data 81.865, Local accuracy on global train data 50.828, Local accuracy on local train data 99.400
Round  67, Devices participated 10, Average loss 0.027, Central accuracy on global test data 84.707, Ensemble accuracy on global test data 84.473, Local accuracy on global train data 45.576, Local accuracy on local train data 99.333
Round  68, Devices participated 10, Average loss 0.014, Central accuracy on global test data 84.043, Ensemble accuracy on global test data 83.789, Local accuracy on global train data 49.500, Local accuracy on local train data 99.517
Round  69, Devices participated 10, Average loss 0.014, Central accuracy on global test data 84.531, Ensemble accuracy on global test data 84.502, Local accuracy on global train data 53.447, Local accuracy on local train data 99.583
Round  70, Devices participated 10, Average loss 0.022, Central accuracy on global test data 85.889, Ensemble accuracy on global test data 85.518, Local accuracy on global train data 45.923, Local accuracy on local train data 99.400
Round  71, Devices participated 10, Average loss 0.029, Central accuracy on global test data 85.400, Ensemble accuracy on global test data 85.264, Local accuracy on global train data 50.388, Local accuracy on local train data 99.217
Round  72, Devices participated 10, Average loss 0.015, Central accuracy on global test data 83.662, Ensemble accuracy on global test data 83.643, Local accuracy on global train data 52.778, Local accuracy on local train data 99.600
Round  73, Devices participated 10, Average loss 0.016, Central accuracy on global test data 83.457, Ensemble accuracy on global test data 83.643, Local accuracy on global train data 57.253, Local accuracy on local train data 99.500
Round  74, Devices participated 10, Average loss 0.013, Central accuracy on global test data 86.953, Ensemble accuracy on global test data 86.875, Local accuracy on global train data 50.474, Local accuracy on local train data 99.583
Round  75, Devices participated 10, Average loss 0.017, Central accuracy on global test data 86.172, Ensemble accuracy on global test data 85.869, Local accuracy on global train data 42.615, Local accuracy on local train data 99.517
Round  76, Devices participated 10, Average loss 0.023, Central accuracy on global test data 82.617, Ensemble accuracy on global test data 82.900, Local accuracy on global train data 51.011, Local accuracy on local train data 99.350
Round  77, Devices participated 10, Average loss 0.012, Central accuracy on global test data 82.578, Ensemble accuracy on global test data 82.246, Local accuracy on global train data 50.715, Local accuracy on local train data 99.733
Round  78, Devices participated 10, Average loss 0.020, Central accuracy on global test data 84.492, Ensemble accuracy on global test data 83.867, Local accuracy on global train data 45.854, Local accuracy on local train data 99.350
Round  79, Devices participated 10, Average loss 0.013, Central accuracy on global test data 80.957, Ensemble accuracy on global test data 80.068, Local accuracy on global train data 48.259, Local accuracy on local train data 99.617
Round  80, Devices participated 10, Average loss 0.016, Central accuracy on global test data 84.092, Ensemble accuracy on global test data 82.852, Local accuracy on global train data 46.118, Local accuracy on local train data 99.600
